Estaremos leyendo un salmo y reflexionando sobre el Señor, leyendo el Salmo 79.;We are going to be reading a psalm and reflecting on the Lord, reading Psalm 79.
Me encanta leer Salmos, porque en los Salmos encontramos tantas cosas hermosas,;I love to read Psalms, because in Psalms we find so many beautiful things,
y en los Salmos encuentro que Dios está tan cerca de nosotros,;and in Psalms I find that God is so close to us,
escuchándonos de tal manera que estas palabras sean llevadas a la vida,;listening to us in such a way that these words are brought to life,
estas frases maravillosas son traídas a la vida, y es como cuando el Señor nos habla en profecía;these wonderful phrases are brought to life, and it's like when the Lord speaks to us in prophecy
y Él hace Sus promesas y consuelos. Así me siento cuando leo Salmos, Salmo 79,;and He makes His promises and comforts us. That's how I feel when I read Psalms, Psalm 79,
y lee: 'Oh Dios, las naciones han entrado en Tu herencia, Tu templo santo, han contaminado,;and it reads, 'O God, the nations have come into Your inheritance, Your holy temple, they have defiled,
han puesto a Jerusalén en montones. Vale. Cuando leemos este versículo, algunos ya saben de qué se trata,;they have laid Jerusalem in heaps.' Okay. When we read this verse, some already know what it's about,
otros no saben de qué se trata este versículo. Para aquellos que no saben,;others don't know what this verse is about. For those who don't know,
Voy a hablar rápidamente contigo sobre eso. El pueblo de Israel, cuando Dios designó reyes;I'm going to quickly talk to you about it. The people of Israel, when God appointed kings
y jueces después de Moisés y Josué, Dios envió jueces para gobernar sobre el pueblo de Israel,;and judges after Moses and Joshua, God sent judges to rule over the people of Israel,
y entonces comenzó a nombrar reyes. El primero era Saúl, entonces era el rey David,;and then He began to appoint kings. The first was Saul, then it was King David,
y así sucesivamente, muchos reyes gobernaron sobre el pueblo de Israel.;and so continuously on, many kings ruled over the people of Israel.
El Señor había dicho desde el principio que Él estaría formando a Su pueblo, una nación especial singular,;The Lord had said from the beginning that He would be forming His people, a special singular nation,
donde Dios se manifestaría, y el Señor estaría con el pueblo,;where God would manifest Himself, and the Lord would then be with the people,
porque Él quería que el pueblo viviera una vida santa delante de Dios, para que Su pueblo le honrase, alabadle,;because He wanted the people to live a holy life before God, for His people to honor Him, praise Him,
para que no tengan ojos ni nada más que para Dios.;for them to have no eyes or anything else other than for God.
Y ese es el plan del Señor. Y eso es lo que le dijo a Moisés.;And that is what the Lord's plan was. And that's what He told Moses.
Ese era el plan maravilloso. El Señor eligió la ciudad de Jerusalén.;That was the wonderful plan. The Lord elected the city of Jerusalem.
Cuando el rey David gobernaba, escogió la ciudad de Jerusalén para que el rey David construyera una ciudad,;When King David was ruling, he chose the city of Jerusalem so that King David would build a city,
que era el monte santo o la ciudad de David, y allí el templo de Dios sería construido.;which was the holy mountain or the city of David, and there the temple of God would be built.
Porque el templo del Señor era un tabernáculo que podía ser derribado;For the temple of the Lord was a tabernacle that could be broken down
y juntos, pero el Señor quería un templo físico hecho con materiales;and put back together, but the Lord wanted a physical temple made with materials
y muchos lujos para que este templo sea construido, porque este era el templo que en el futuro representaría ese templo espiritual.;and many luxuries for this temple to be built, for this was the temple that would in the future represent that spiritual temple.
Así que quería que este templo físico tuviera todos los metales y bosques;So He wanted this physical temple to have all of the metals and woods
y piedras preciosas, todas las cosas más finas, las cosas más caras que existían en el momento de la tierra.;and precious stones, all of the finest things, the most expensive things that existed at the time on earth.
Él quería que fuera construido de esa manera, porque ese era el significado del templo futuro.;He wanted it to be built that way, for that was the significance of the future temple.
Ese templo futuro que el Señor conocía sería Sus, creyentes, Sus seguidores, ellos serían el templo del Señor.;That future temple that the Lord knew would be His, believers, His followers—they would be the temple of the Lord.
Y cuando sean santos y perfectos, cada uno de esos creyentes será verdaderamente ese gran tesoro;And when they are holy and perfect, each of those believers will then truly be that great treasure
y esas piedras preciosas en ese oro, esos metales preciosos.;and those precious stones in that gold, those precious metals.
Cada uno de nosotros hoy, los creyentes, las personas que agradan a Dios, Dios dice: 'Bueno, tú eres mi tesoro precioso,;Each one of us today, the believers, people who please God, God then says, 'Well, you are my precious treasure,
porque estás construido con las mejores piedras preciosas, medallas y oro, las mejores.;' because you are built with the best precious stones, medals and gold, the best.
Por eso el Señor en la antigüedad, lo que era físico;So this is why the Lord in antiquity, what was physical
y material, siempre lo hizo fuera de lo mejor;and material, He always made it out of the best
y cosas preciosas para representar simbólicamente ese templo espiritual. Por eso el Señor eligió esta Jerusalén física,;and precious things to symbolically represent that spiritual temple. So this is why the Lord chose this physical Jerusalem,
porque esa Jerusalén física, que significa la que hoy todavía existe,;because that physical Jerusalem, meaning the one that today still exists,
en ese tiempo representó en ese futuro esa Jerusalén espiritual.;in that time it represented in that future that spiritual Jerusalem.
Esa Jerusalén espiritual — es el corazón de cada creyente que sigue el camino del verdadero evangelio del Señor.;That spiritual Jerusalem—it is the hearts of each believer who follows the path of the true gospel of the Lord.
Y por eso Dios estaba tan preocupado, y estaba muy atento a esta Jerusalén física,;And so this is why God was so concerned, and He was very attentive to this physical Jerusalem,
al pueblo de Israel, porque el Señor sabía que en el futuro el pueblo de Israel sería ahora espiritual,;to the people of Israel, because the Lord knew that in the future the people of Israel would now be spiritual,
que Jerusalén sería espiritual, y Dios quería lo mejor para comprender realmente lo que Dios quiere para cada uno de nosotros.;that Jerusalem would be spiritual, and God wanted the best in order to truly understand what God wants for each of us.
Así como resulta, como el pueblo de Israel falló, no obedecieron al Señor.;So as it turns out, as the people of Israel failed, they did not obey the Lord.
Dios los echó, y Dios dijo: "Estas personas no están trabajando para mí.;God then cast them off, and God said, 'These people are not working out for me.
No alcanzarán esa santidad. No vivirán la vida que quiero que vivan.;They will not attain that holiness. They will not live the life that I want them to live.
Han fracasado. Ellos han pecado. Viven en idolatría;They have failed. They have sinned. They live in idolatry.'
Y por eso Dios determinó, después de tantos siglos, tantos reyes, tantos gobernantes, buenos reyes;And this is why God determined, after so many centuries, so many kings, so many rulers—good kings
y reyes malos, idólatras, aquellos que hicieron el mal a los ojos de Dios, Dios decidió entonces destruirlos.;and bad kings, idolaters, those who did evil in the eyes of God—God then decided to destroy them.
Dijo: "Voy a destruir a Jerusalén". Y allí el rey Salomón había construido ese majestuoso templo en Jerusalén,;He said, 'I'm going to destroy Jerusalem.' And there King Solomon had built that majestic temple in Jerusalem,
