Y así dice, y así os digo, haced amigos por vosotros mismos por hombres impíos.;And so it says, and so I say to you, make friends for yourselves by unread unrighteous men.
Y así, lo que esto significa es que los hijos de Dios, los creyentes, los que conocen la palabra de Dios,;And so, what this means is that the children of God, the Believers, those who know God's word,
cuando trabajan, o cuando están empleados en fábricas, en negocios de diferentes tipos de Comercio,;when they work, or when they are employed in factories, in businesses of different sorts of Commerce,
en lo que sea que estén trabajando como empleado, ya sea como empleado en la fábrica,;in whatever it might be that they are working as an employee, whether it be an employee at the factory,
un empleado de la Universidad, o en el centro comercial o el restaurante, usted es un empleado,;an employee at the University, or at the shopping center or the restaurant, you're an employee,
estás trabajando para gente del mundo. Así que dices, bueno, ya que son personas del mundo,;you are working for people of the world. So you say, Well, since these are people of the world,
no tienen a Dios, así que no voy a trabajar con honorabilidad, voy a robar su tiempo,;they don't have God, so I'm not going to work with honorability, I'm going to steal their time,
o voy a robar algunas cosas que tienen porque son muy, muy ricos,;or I'm going to maybe steal some, some things that they have because they are very, very rich,
no lo necesitan, y son del mundo, no tienen a Dios.;they don't need it, and they're from the world, they don't have God.
¿Dios va a mirar eso con buenos ojos?;Is God going to look at that with good eyes?
Bueno, según este Infiel Steward, Dios no ve esto como algo correcto.;Well, according to this Unfaithful Steward, God does not view this as something correct.
La gente necesita ser honorable, honesto y organizado, y debe trabajar con honorabilidad, para que Dios los bendiga,;People need to be honorable, honest, and organized, and must work with honorability, so that God may bless them,
y la gente misma, ellos ven en esa persona, esta persona es honorable, trabajan honestamente, son buenos trabajadores.;and people themselves, they see in that person, this person's honorable, they work honestly, they are good workers.
Así que todos van a confiar en esta persona, nunca les faltará un trabajo, porque la gente siempre los llamará;So everyone is going to trust this person, they will never lack a job, because people will always call them
y decir, quiero que vengas a trabajar para nosotros, eres una persona honesta en tu trabajo, eres honorable.;and say, I want you to come work for us, you are an honest person in your work, you're honorable.
Así que eso es lo que Dios quiere. Quiere que hagamos amigos a través de ser un empleado por gente del mundo.;So that is what God wants. He wants us to make friends through being an employee by people of the world.
Tal vez los dueños de esos negocios, son gente mala, tal vez son personas que hacen cosas desagradables, injustas,;Maybe the owners of those businesses, they are bad people, maybe they are people who do displeasing, unrighteous things,
pero no nos importa. Somos empleados, estamos trabajando. Me acabo de cumplir con mi responsabilidad;but we don't care. We're an employee, we're working. I just fulfill with my responsibility
y deberes. Así que en eso estoy siendo luz, estoy brillando, porque la gente dirá, ¿quién eres tú?;and duties. So in that I am being light, I am shining, because people will say, Well, who are you?
¿Quién eres? Estás tan organizado, y estás a tiempo,;Who are you? You are so organized, and you are on time,
y eres sincero, eres un buen empleado. ¿Quién eres?;and you're sincere, you're a good employee. Who are you?
Bueno, soy parte de una iglesia, soy parte de una iglesia,;Well, I'm a part of a church, I'm a part of a church,
y soy un Hijo de Dios. Conozco a Dios, practico la Biblia, sigo los caminos del Señor.;and I am a Son of God. I know God, I practice the Bible, I follow the Lord's ways.
Eso soy yo. Así que la gente nunca nos abandonará.;That's who I am. And so people, people will never forsake us.
Incluso si son personas del mundo, siempre le darán una mano;Even if they are people of the world, they will always lend a hand
ven aquí, te voy a emplear, porque eres un buen empleado.;and say, Come here, I'm going to employ you, because you are a good employee.
Eso es lo que nuestro Señor Jesús quiso decir: esto, haz amigos por vosotros mismos por Mamón injusto,;That is what our Lord Jesus wanted to say: this, make friends for yourselves by unrighteous Mammon,
significar un buen ejemplo, presentar buenas obras, ser luz;meaning set a good example, present good works, be light
y brillar en tinieblas con tus buenas obras, con tus buenas acciones. Eso es lo que el Señor quiere,;and shine in darkness with your good works, with your good actions. That is what the Lord wants,
y eso es lo que el Señor nunca prohíbe. El Señor nunca nos prohíbe ir;and that is what the Lord never prohibits. The Lord never forbids us to go
y trabajar o estar entre la gente del mundo trabajando, porque necesitamos hacerlo, debido al trabajo,;and work or be among the people of the world working, because we need to do it, because of work,
porque vamos a la escuela, debido a la socialización, necesitamos que sea entre personas de diferentes tipos.;because we go to school, because of socializing, we need it to be among people of different kinds.
Pero es muy diferente, por supuesto, de pecar con la gente, que si están cometiendo pecado, bien,;But it is very different, of course, from sinning with people, that if they are committing sin, well,
No voy a pecar, cumpliré con mis responsabilidades y deberes de mi trabajo;I'm not going to sin, I fulfill with my responsibilities and duties of my job
y trabajo, pero no voy a participar en su pecado.;and work, but I am not going to take part in their sin.
Eso es algo diferente. Así que Dios en ningún momento va a estar enojado con nosotros, con los creyentes,;That's something different. So God in no moment is he going to be angered with us, with the Believers,
si estamos entre la gente del mundo en el trabajo, en las fábricas, en estos diferentes negocios,;if we are among the people of the world at work, in the factories, in these different businesses,
en estos diferentes grupos, realizando y haciendo muchos tipos de tareas diferentes;in these different groups, realizing and doing a lot of different kinds of tasks
y trabajo. Dios no está enojado por eso. Lo que Dios quiere es que seamos luz, que brillemos,;and work. God is not angered by that. What God wants is that we be light, that we shine,
y que pongamos un buen ejemplo, un buen testimonio, para que la gente crea en Dios;and that we set a good example, a good testimony, so that people may believe in God
y en lo que predicamos, para que la gente pueda confiar en nosotros;and in what we preach, so that people may trust in us
y decir: Ese hombre, esa mujer, allí, de Dios, porque son honorables, hacen bien su trabajo.;and say, That man, that woman, there, of God, because they're honorable, they do their work right.
Y así esto es lo que Dios quiere, y al hacerlo mucha gente tendrá el deseo de conocer a Dios,;And so this is what God wants, and in so doing a lot of people will have the desire to know God,
para conocer los caminos del Señor. Dirán: Llévame a tu iglesia, quiero ir a tu iglesia,;to know the Lord's ways. They will say, Take me to your church, I want to go to your church,
Quiero estar allí, porque veo que eres una persona feliz, sonríes, eres feliz, eres optimista,;I want to be there, because I see that you are a happy person, you smile, you're happy, you're optimistic,
Quiero ir a donde vas. Y eso es lo que todo esto termina en: cuando somos luz,;I want to go where you go. And that is what all of this ends in: when we are light,
estamos en el mundo haciendo nuestro trabajo y al mismo tiempo estamos brillando, brillando;we are in the world doing our work and at the same time we are shining, shining
y siendo esa luz, brillando sobre todos, y la gente entonces conocerá el camino del Señor.;and being that light, shining on all, and people will then know the Lord's path.
Esto es lo normal. No vamos a malinterpretar esto.;This is what's normal. Now, we are not going to misinterpret this.
Cuando nuestro Señor oró por sus discípulos y oró al Padre;When our Lord prayed for his disciples and he prayed to the Father
y dijo: Protéjalos, Padre, protegerlos del mundo, mantenerlos del mundo,;and said, Protect them, Father, protect them from the world, keep them from the world,
No digo quitarlos del mundo, sino alejarlos de todos los pecados del mundo que la gente comete,;I'm not saying remove them from the world, but keep them away from all of the sins of the world that people commit,
mantenerlos alejados de eso, porque necesitan ser, sí, entre la gente del mundo,;keep them from that, because they need to be, yes, among the people of the world,
porque tienen que predicar y enseñar. Así que el Señor, en su oración, eso es lo que pidió.;because they have to preach and teach. So the Lord, in his prayer, that's what he asked for.
Y por eso es que hoy no hay razón para sentirse escandalizado cuando se trata de nuestro trabajo.;And so this is why today there is no reason to feel scandalized when it comes to our work.
Sí, hay algunos trabajos que son deshonrosos, esos tipos de trabajos que no participaremos,;Yes, there are some jobs that are dishonorable, those kinds of jobs we will not partake in,
y no vamos a inscribirnos en trabajos que son muy deshonrosos;and we're not going to sign up for jobs that are very dishonorable
y que tendríamos que alejarnos completamente de,;and that we would completely need to turn away from,
porque nuestra propia conciencia no nos permitirá estar allí;because our own conscience is not going to allow us to be there
y trabajo, por ejemplo en un burdel o algo similar. Entonces, ¿por qué estaría allí?;and work, for example in a brothel or something similar. So why would I be there?
Esto es incorrecto ante los ojos de Dios, e incluso mi religión lo prohíbe.;This is incorrect before the eyes of God, and even my religion forbids it.
¿Por qué la gente hace esto? ¿Por qué debo ir a trabajar allí como empleado?;So why are people doing this? Why should I go work there as an employee?
No. Estamos hablando de trabajo honorable, dando un buen ejemplo;No. We are talking about honorable work, setting a good example
y testimonio para la gente. Así que, una vez más, vinculé,;and testimony for people. So I, once again, I linked,
Enlacé los Mandamientos del Señor que dio a Moisés a su pueblo,;I linked the Commandments of the Lord that he gave to Moses to his people,
para que puedan ser luz y brillo, y nosotros somos hoy, el Señor Jesús nos dice,;so that they could be light and shine, and we today are, Lord Jesus tells us,
debes ser la luz del mundo, debes brillar y hacer buenas obras.;you must be the light of the world, you must shine and do good works.
Que Dios nos ayude para que podamos cumplir todo lo que Dios quiere,;May God help us so that we are able to fulfill everything God wants,
y así el nombre del Señor sea glorificado.;and in this way the name of the Lord be glorified.
extranjero.;foreign foreign.
