Mi pregunta es acerca de hasta qué punto podemos ser padres?;My question is in regards to up to what point can we as parents?
Bueno, mis hijos son pequeños, pero veo mucha permisividad de los niños,;Well, my children are small, but I see a lot of permissiveness from children,
especialmente durante el tiempo en que se convierten en adolescentes, y se les permite hacer muchas cosas en las escuelas.;especially during the time where they become adolescents, and they are allowed to do many things in schools.
Se les enseña diferentes filosofías, se les permite tomar decisiones trascendentales para su edad como niño, por ejemplo,;They are taught different philosophies, they are allowed to make transcendental decisions for their age as a child, for example,
decisiones tales como lo que la iglesia asistirá, decisiones tales como cuál es su sexualidad, qué género son,;decisions such as what church will they attend, decisions such as what is their sexuality, what gender they are,
lo que bajo ellos no son, y hay leyes que apoyan estas decisiones.;what under they are not, and there are laws that support these decisions.
Y me gustaría saber: nosotros como hijos de Dios que inspiran ser hijos de Dios;And I would like to know: we as children of God who inspire to be children of God
y con los valores que Dios nos ha enseñado que debemos enseñar a nuestros hijos,;and with the values that God has taught us that we must teach our children,
¿cómo podemos o hasta qué punto podemos permitir que tomen decisiones,;how can we or up to what point can we allow for them to make decisions,
y hasta qué punto podemos permitirles hacer cosas?;and up to what point can we allow them to do things?
Nuestros hijos de la iglesia, no van a tomar decisiones si ven buenos ejemplos en sus padres,;Our children of the church, they are not going to make decisions if they see good examples in their parents,
porque si sus padres tienen valores, tienen valores espirituales. Si sus padres tienen el miedo de Dios;because if their parents have values, they have spiritual values. If their parents have the fear of God
y buscan a Dios con sinceridad, la madre o el padre,;and they look for God with sincerity, the mother or the father,
porque hay hijos que viven sólo con la madre o sólo con el padre,;because there are children that live only with the mother or only with the father,
sus padres que vienen a la iglesia y tienen valores, tienen una vida espiritual abundante, miedo de Dios,;their parent who comes to church and they have values, they have an abundant spiritual life, fear of God,
se han convertido al Señor, no van a tener problemas con sus hijos,;they have converted to the Lord, they are not going to have problems with their children,
porque sus hijos van a seguir el ejemplo de sus padres del temor de Dios.;because their children are going to follow the example of their parents of the fear of God.
Los niños van a ver que mamá y papá aman a Dios, esa mamá;The children are going to see that mom and dad love God, that mom
y papá va a la iglesia, que Dios habla, oyen que Dios habla.;and dad go to church, that God speaks, they hear that God speaks.
Hay profecía de que debemos amar a Dios, que las personas fuera del mundo cometen pecado,;There is prophecy that we must love God, that people outside in the world they commit sin,
y hay muchos errores, y enseñan muchas cosas falsas, mentiras que confunden,;and there are many mistakes, and they teach a lot of false things, lies that confuse,
y los niños se dan cuenta de esto. Saben esto, y hacen lo que hacen sus padres, lo que ven que hacen sus padres.;and children realize this. They know this, and they do what their parents do, what they see their parents do.
Y si sus padres son personas espirituales que se han convertido a Dios, entonces el niño ya en la escuela,;And if their parents are spiritual people who have converted to God, then the child already at school,
no importa qué teorías les enseñen, no van a aceptarlo.;no matter what theories they teach them, they are not going to accept it.
Van a obedecer a sus maestros, y van a hacerlo tal vez, pueden tener deberes;They are going to obey their teachers, and they're going to maybe, they might have homework
y tener que completarlo, pero en sus corazones los niños no van a creer;and have to complete it, but in their hearts children are not going to believe
y aceptar, porque saben que eso no es de Dios,;and accept, because they know that that is not from God,
y que Dios se enoja porque los niños comienzan a amar a Dios cuando ven que sus padres aman a Dios.;and that God becomes angry because children begin to love God when they see that their parents love God.
Ese es el ejemplo. Por lo tanto no debes preocuparte.;That is the example. Therefore you must not be worried.
Y cuando el niño viene y dice que me enseñaron esto, les enseñas, dices, eso no es correcto,;And when the child comes and say they taught me this, you teach them, you say, that is not correct,
A Dios no le gusta esto. Él se enoja por esto, eso no es bueno ante el Señor.;God does not like this. He becomes angry because of this, that is not good before the Lord.
Ellos enseñan que allí porque no tienen a Dios, ellos no conocen a Dios, no creen.;They teach that there because they do not have God, they do not know God, do not believe.
Escucha lo que enseñan y hacen tus deberes, pero no aceptas esto porque a Dios no le gusta esto.;Listen to what they teach and do your homework, but do not accept this because God does not like this.
El niño va a entender. Ellos entienden, y saben distinguir.;The child is going to understand. They understand, and they know how to distinguish.
Hay muchos niños que dicen que no, nos dicen que hagamos esto;There are many children that say no, they tell us to do this
y eso, pero a Dios no le gusta. Por lo tanto, ya que a Dios no le gusta, no quiero hacer eso.;and that, but God doesn't like it. Therefore, since God doesn't like it, I don't want to do that.
Hay muchos niños que son así, por lo tanto no debes estar preocupado.;There are many children that are like this, therefore you must not be worried.
Pero hermanos y hermanas, si los padres viven en una vida injusta sin convicción;But brothers and sisters, if the parents are living in unrighteous life without conviction
y no están dedicados a Dios, no se convierten a Dios,;and they are not dedicated to God, they are not converted to God,
entonces no vas a tener buenos hijos. Se convertirán en rebeldes;then you are not going to have good kids. They are going to become rebellious
y terco, van a hacer lo que quieran, lo que quieran, no van a obedecerte,;and stubborn, they are going to do whatever they will, whatever they want, they are not going to obey you,
porque eso es lo que les estás dando, les estás dando un mal ejemplo.;because that is what you are giving them, you are giving them a bad example.
Por lo tanto debemos decidir, debemos tomar una decisión para convertirnos a Dios con todo nuestro corazón;Therefore we must decide, we must make a decision to convert to God with all of our heart
y amar a Dios para que nuestros hijos puedan seguir nuestros pasos. Por lo tanto aprenden doctrina, aprenden;and to love God so that our children may follow our footsteps. Therefore they learn doctrine, they learn
y saben que todo lo que se les enseña no es correcto;and they know that everything that they are being taught there is not correct
y disgusta al Señor. Eso es lo que es, eres muy simple.;and it displeases the Lord. That is what that is, it's very simple you.
