Hermana, tengo una pregunta que se encuentra en Isaías capítulo 53 versículo 2.;Sister, I have a question found in Isaiah chapter 53 verse 2.
Dice: 'Porque subirá cual renuevo delante de él, y como raíz de tierra seca. No hay parecer en él, ni hermosura.;Le veremos, mas sin atractivo para que le deseemos.'It states, 'For he shall grow up before him as a tender plant and as a root out of dry ground. He has no form or comeliness. And when we see him, there is no beauty that we should desire him.'
Hermana, en un audio que grabó sobre idolatría el 30 de octubre, sugirió que debemos tener cuidado con ver películas o telenovelas en televisión que hablen sobre el Señor Jesucristo, así como de Moisés y otros.;Sister, in an audio you recorded about idolatry on October 30th, you suggested that we should be careful about watching movies or soap operas on television that speak about the Lord Jesus Christ, as well as Moses and others.
Lo que pasa, hermana, es que en todas las películas o telenovelas siempre retratan al Señor Jesucristo como un hombre de apariencia física muy atractiva.;What happens, sister, is that in all the movies or soap operas, they always portray the Lord Jesus Christ as a man with a very handsome physical appearance.
Por eso no deberíamos ver esas películas o telenovelas porque la imagen del actor se nos queda grabada.;That's why we shouldn't watch those movies or soap operas because you see the actor's image stays with us.
Por favor, continúe, hermana. Le pregunto esto, hermana, porque aquí en Bolivia están transmitiendo una telenovela sobre la vida del Señor Jesucristo.;Please, continue, sister. I ask you this, sister, because here in Bolivia, they're broadcasting a soap opera about the life of the Lord Jesus Christ.
Así que por favor, me gustaría que nos explicara un poco más sobre qué le pasa a nuestra vida espiritual si, aunque sea por curiosidad, vemos un solo episodio de la telenovela.;So, please, I would like you to explain to us a little more about what happens to our spiritual life if, even out of curiosity, we watch a single episode of the soap opera.
Esta pregunta es para personas que son invitadas por primera vez a la iglesia o incluso para quienes ya llevan algún tiempo congregándose aquí en la iglesia.;This question is for people who are first-time guests in the church or even for those who have already been congregating here in the church for some time.
Gracias y que Dios la bendiga.;Thank you and may God bless you.
Gracias, hermana. Para mí es una falta de respeto hacia Dios hacer películas o telenovelas sobre el Señor Jesucristo o Dios.;Thank you, sister. To me, it's disrespectful towards God to make movies or soap operas about the Lord Jesus Christ or God.
Es una falta de respeto porque la Biblia dice que nadie ha visto jamás a Dios, y la gente, como dice la hermana, pone a un actor protagonista muy guapo, muy hermoso.;It's disrespectful because the Bible says that no one has ever seen God and people, as the sister says, cast a very handsome, very beautiful lead actor.
Pero la Biblia dice que el Señor Jesús no era físicamente atractivo para que nadie le deseara.;But the Bible says that the Lord Jesus wasn't physically attractive so that no one would desire him.
La belleza del Señor Jesús era espiritual. Dice que su belleza espiritual lo hacía el más hermoso entre todos los hombres, pero no su belleza física para que nadie comenzara a desearle.;The beauty of the Lord Jesus was spiritual. It says that his spiritual beauty made him the most beautiful among all men, but not his physical beauty so that no one would start to desire him.
¿Verdad? Para enamorarse, ya sea hombres o mujeres, enamorarse de Él.;Right? To fall in love, whether men or women, in love with him.
Y creo que es una falta de respeto hacia Dios ver eso porque no quiero que los hermanos y hermanas se distraigan viendo eso.;And I think it's disrespectful towards God to watch that because I don't want the brothers and sisters to get distracted by watching that.
Es mejor ver cualquier otra película, cualquier otra telenovela sobre seres humanos, y no faltarle el respeto a Dios mostrando un personaje, y también inventando cosas que no sucedieron en la vida del Señor, sino que son solo invenciones e imaginaciones de las personas.;It's better to watch any other movie, any other soap opera about human beings, and not disrespect God by showing a character, and also inventing things that didn't happen in the Lord's life, but are just inventions and imaginations of people.
Así que eso es una falta de respeto. Como alguien que ama a Dios y busca a Dios, no sería correcto para mí sentarme allí a ver eso.;So, that's disrespectful. As someone who loves God and seeks God, it wouldn't be right for me to sit there watching that.
Porque pensaría que también es una distracción, y también sentiría que mi propia conciencia me acusa de perder la bendición espiritual o de faltarle el respeto al Señor con solo ver eso.;Because I would think that it's also a distraction, and I would also feel like my own conscience accusing me of losing spiritual blessing or disrespecting the Lord just by watching that.
Así que los que hacen eso le están faltando el respeto a Dios, y los que lo ven también le están faltando el respeto a Dios, especialmente nosotros que sabemos del Señor.;So, those who do that are disrespecting God, and those who watch it are also disrespecting God, especially us who know about the Lord.
No la gente del mundo porque a ellos no les importa y todo les da igual, pero nosotros que conocemos a Dios, sí, también le estaríamos faltando el respeto al Señor al participar.;Not the people of the world because they don't care, and it's all the same to them, but we who know about God, yes, we would also be disrespecting the Lord by participating.
Porque recuerda que la Biblia también enseña que no solo el que peca sino también el que participa.;Because remember that the Bible also teaches that it's not only the one who sins, but also the one who participates.
¿Verdad? Dice: 'No participes en los pecados ajenos.' Así que el que participa también está ofendiendo a Dios al estar allí con la persona que está pecando, acompañándola juntos y como si lo aceptara.;Right? It says, 'Do not participate in others' sins.' So, the one who participates is also offending God by being there with the person who is sinning, accompanying them together and as if accepting it.
Así que dice que está participando, y eso no le agrada al Señor. Así que aconsejo a los hermanos y hermanas que tengan cuidado con estas cosas.;So, it says that he is participating, and that is not pleasing to the Lord. So, I advise the brothers and sisters to be careful with these things.
Los recién llegados, si no han entendido las cosas del Señor, pues ese es el problema de cada persona.;Newcomers, if they haven't understood the things of the Lord, well, that's each person's problem.
Pero el que es espiritual debería más bien analizar y tomar su propia decisión y ejercer su propio juicio.;But the one who is spiritual should rather analyze and make their own decision and exercise their own judgment.
