El Señor recientemente en su misericordia nos trajo a esta nación con mi esposa por trabajo.;The Lord recently in his mercy brought us to this nation with my wife for work.
Usted en una reflexión compartió con nosotros y nos enseñó a tener cuidado con la curiosidad de visitar, por ejemplo, templos, basílicas o todos esos lugares donde se practica alguna forma de idolatría.;You in a reflection shared with us and taught us to beware of the curiosity of visiting for example temples, basilicas or well all these places where some form of idolatry is practiced.
Mi pregunta personal es: entiendo que en estos lugares donde la gente se reúne activamente y practica estas actividades, el Señor está disgustado con esto.;My personal question is I understand that in these places where people actively gather and practice these activities the Lord is displeased with this.
Pero, ¿ve el Señor como algo malo que nosotros, digamos, asistamos a sitios arqueológicos que son ruinas que quizás hace mil o dos mil años sirvieron como templos pero que hoy son sitios turísticos arqueológicos e históricos?;But does the Lord see it as wrong let's say for us to attend archaeological sites which are ruins that once perhaps a thousand or two thousand years ago served as temples but today are tourist archaeological historical sites?
¿Le disgusta eso al Señor? Porque, por ejemplo, vienen familiares o nosotros como extranjeros en esta nación vemos muchas cosas interesantes y queremos hacer turismo.;Is the Lord displeased with that because for example I don't know relatives come or we as foreigners in this nation see many interesting things and want to do tourism.
Pero me gustaría saber si el Señor está disgustado con eso.;But well I would like to know if the Lord is displeased with that.
Pues eso es Dios quien trata con cada persona como quiere y también depende de la madurez, la madurez espiritual de la persona.;Well that is God who deals with person as he wants and it also depends on the maturity the spiritual maturity of the person.
La madurez espiritual de la persona es de lo que depende, porque hay personas de mente débil que se corrompen, se dejan influenciar por las cosas, así que les hace daño, les perjudica.;The spiritual maturity of the person is what it depends on because there are people who are weak-minded and they corrupt themselves they let themselves be influenced by things are way so it hurts them it harms them.
Quizás a esas personas Dios les diría: no hagas eso, no vayas a esos lugares, no creas en eso, no hagas esas costumbres o ritos o costumbres que la gente hace, las supersticiones.;Perhaps to those people God would say don't do that don't go to those places don't believe in that don't do that the customs or the rights or customs that people do the superstitions.
Porque hay tantas creencias y tantas supersticiones. Pues no hagas eso, evítalas completamente.;Because there are so many beliefs and so many superstitions. Well, don't do that, avoid them completely.
Una persona madura que ya tiene la doctrina, que ya entiende muchas cosas, pues no se va a volver loca si no puede ir a ver o participar en lo que la gente hace o dice.;A mature person who already has the doctrine who already understands many things well will not be going crazy if they cannot go and look or participate in what people do or say.
Cada persona debe considerar las circunstancias, considerar el momento, la circunstancia, el hecho, considerar todo y tomar una decisión.;Each person must consider the circumstances consider the moment the time the circumstance the fact consider everything and make a decision.
Por ejemplo, recuerdo que en la vida a muchas personas el Señor les prohibió asistir a una iglesia católica, a misa, a una boda, a un bautismo, a una presentación o ir a misa.;For example I remember that in life to many people the Lord forbade them to attend a Catholic Church to mass to a wedding to a baptism to a presentation or to go to mass.
Había personas que estaban en la iglesia, supuestamente ya estaban en nuestra iglesia, y de repente por su familia fueron a esos lugares para que la familia no se disgustara.;There were people who were in the church supposedly they were already in our church and suddenly because of their family they went to those places so that the family would not get upset.
Así que fueron a la boda, a la misa o al bautismo, y cuando llegaron a la iglesia el Espíritu Santo los amonestó y les dijo que no tenían que estar en esos lugares.;So they went to the wedding to the mass or to the baptism and when they came to the church the Holy Spirit admonished them and told them you don't have to be in those places.
Una vez recuerdo que un joven fue, no sé, había estado en la iglesia un tiempo, ya estaba bautizado por nuestra iglesia, era un creyente constante.;Once I remember that a young man went I don't know he had been in the church for a while he was already baptized by our church he was a consistent believer.
Pero una vez dice que tenía unos amigos y que uno de ellos lo invitó a la misa de la iglesia católica, y que fue allí a la misa de la iglesia católica.;But once he says he had a friends some friends and that one of them invited him to the mass of the Catholic church and that he went there to the mass of the Catholic church.
Y comenzó a orar mentalmente orando a Dios, y pues pensó que había hecho bien y que había dejado una muy buena impresión en su amigo.;And he began to pray mentally praying to God and well so he thought he had done well and that he had left a very good impression on his friend.
Sin embargo, cuando fue a nuestra iglesia, cuando estábamos en el servicio de adoración, el Señor le habló.;However when he went to our church when we were in the worship service the Lord spoke to him.
El Señor le dijo, porque él no le había dicho a nadie lo que había hecho: ¿y por qué me oras allí en ese lugar donde yo no estoy, donde yo no me manifiesto?;The Lord said to him because he didn't tell anyone what he had done and the Lord said to him and why do you pray to me there in that place where I am not where I do not manifest myself.
Estás allí en ese lugar donde no deberías estar y estás orando. Yo no escucho las oraciones. Eso fue lo que dijo.;You are there in that place where you should not be and you are praying. I do not listen to prayers. That's what he said.
Entonces fue cuando esa persona confesó porque estaba asombrado. Pensó que no era malo, que le había pedido perdón a Dios seguramente.;So that's when that person confessed because he was amazed. He thought it wasn't bad that he had asked God for forgiveness surely.
Pero Dios le enseñó, le enseñó a no hacer eso, y dijo: sí, es verdad, oré allí, oré mentalmente, y Dios lo amonestó.;But God taught him he taught him not to do that and he said yes it's true I prayed there I prayed mentally and God admonished him.
Le dijo que no había escuchado. Ven, Dios sabía que había orado pero no lo aceptó.;He told him that he had not heard. You see God knew that he prayed but he did not accept his prayer.
Dios escucha todo pero aceptarlo es otra cosa. Así que la gente puede clamar a Dios por muchas cosas y Dios escucha, están clamando a mí, me están pidiendo, pero no voy a actuar ni voy a concederles porque lo hacen mal.;God hears everything but accepting it is another thing. So people can cry out to God for many things and God hears they are crying out to me they are asking me but I am not going to act nor am I going to grant them because they do it wrong.
También recuerdo una vez que había algunas iglesias evangélicas que en ese tiempo nos tenían celos porque estábamos en la iglesia.;I also remember once that there were some evangelical churches that at that time were jealous of us because we were in the church.
