Buenas noches, hermana Mary Louisa. Recibir un cordial saludo de los hermanos;Good evening, Sister Mary Louisa. Receive a warm greeting from the brothers
y hermanas de Victoria Guest Days, Hermana Maria Lisa, en Zacarías 3.;and sisters of Victoria Guest Days, Sister Maria Lisa, in Zechariah 3.
Del versículo 1 al 8, habla de la visión de Josué el sumo sacerdote, Hermana María Visa.;From verse 1 to 8, it speaks of the vision of Joshua the high priest, Sister Maria Visa.
Tengo, bueno, mi pregunta es que dice que Josué en esta visión se vio con ropas sucias,;I have, well, my question is that it says that Joshua in this vision saw himself with filthy garments,
y miré la definición de suciedad, y es sucio o inmundo.;and I looked up the definition of filthy, and it's dirty or unclean.
Y también tengo una pregunta donde dice, porque son una señal maravillosa.;And also I have a question where it says, for they are a wondrous sign.
Si puedes, por favor contesta esto, hermana Melissa. Gracias,;If you can, please answer this, Sister Melissa. Thank you,
y Dios te bendiga. Muy bien, hermana, ¿ahora todos han encontrado el capítulo tres de Zachariah?;and God bless you. Very well, Sister, now has everyone found Zachariah chapter three?
Zachariah capítulo tres? Ahora, lo primero, volvamos a la historia, porque si no volvemos a la historia,;Zachariah chapter three? Now, first thing, let's go back in history, because if we don't go back in history,
entonces no vamos a entender. Entonces Zacarías fue uno de los últimos profetas.;then we're not going to understand. So Zechariah was one of the last prophets.
Entonces Zacarías, Hageo y Malaquías, fueron uno de los últimos profetas que existían entre Israel después del Señor.;So Zechariah, Haggai, and Malachi, they were one of the last prophets that existed among Israel after the Lord.
No sé, aquellos que han leído historia o aquellos que han leído la Biblia,;I don't know, those who have read history or those who have read the Bible,
y les pido a los hermanos un favor para leer la Biblia mucho para que sean informados;and I do ask the brothers and sisters a favor to read the Bible a lot so that you are informed
y eres capaz de entender mejor la doctrina, y recibirás bendiciones de Dios.;and you're able to understand the doctrine better, and you will receive blessings from God.
Debes leer la Biblia. Zacarías, Hageo y Malaquías, los tres últimos profetas del Antiguo Testamento que existían cuando Daniel.;You must read the Bible. Zechariah, Haggai, and Malachi, the three last prophets of the Old Testament that existed when Daniel.
No sé si has oído sobre la historia de Daniel, que estaba en Babilonia,;Now, I don't know if you've heard about the story of Daniel, who was in Babylon,
y allí, cuando Daniel estaba en Babilonia, estaba con un grupo de personas alrededor de 4 800 que iban de Jerusalén.;and there, when Daniel was in Babylon, it was with a group of people about 4 800 who went from Jerusalem.
Fueron llevados cautivos, prisioneros a Babilonia. Allí Daniel encontró gracia ante el rey,;They were taken captives, prisoners to Babylon. There Daniel found grace before the king,
y por eso era segundo para el rey.;and this is why he was second to the king.
Pero había unos 4800 judíos o israelitas que eran los principados del pueblo que había sido llevado a Babilonia.;But there were about 4 800 Jews or Israelites who were the principalities of the people who had been taken to Babylon.
Eran cautivos, y entre ellos profetas y sacerdotes,;They were captives, and among them were prophets and priests,
y Zacarías, Hageo, y Malaquías estaban allí. También estaban en Babilonia junto a Daniel,;and Zechariah, Haggai, and Malachi were there. They too were in Babylon alongside Daniel,
sólo que no se mencionan en la historia de Daniel. Ahora, cuando 70 años pasaron después de ser cautivos en Babilonia,;only that they are not mentioned in Daniel's story. Now, when 70 years passed after being captives in Babylon,
Dios les permitió regresar a Jerusalén para reconstruir de nuevo la ciudad;God allowed for them to return to Jerusalem to once again rebuild the city
y reconstruir el templo de Dios que había sido quemado. Había sido destruido.;and to rebuild the temple of God which had been burned down. It had been destroyed.
Los envió, y cuando los envió de regreso a Jerusalén, allí está Zacharia, allí está Hageo, Malaquías,;He sent them, and when he sends them back to Jerusalem there is Zachariah, there is Haggai, Malachi,
ahí está Zerbabel, allí está Shealtiel, allí está Josué. Este Josué que leemos fue un sacerdote.;there is Zerbabel, there is Shealtiel, there is Joshua. This Joshua that we're reading about was a priest.
Era profeta, y Josué estaba allí. Así que Dios,;He was a prophet, and Joshua was there. So God,
llamó a Josué como sacerdote para que siguieran,;he named Joshua as the priest so that they would follow,
y cuando construyeran el edificio él seguiría ministrando por Dios.;and when they would build the building he would continue to minister for God.
Por eso ahora vamos a leer para ver qué pasó con esta gente cuando regresen a Jerusalén.;This is why now we're going to read to see what happened with these people when they return back to Jerusalem.
Y dice que Zacarías, siendo profeta, vio en visiones, tuvo una visión,;And it says that Zachariah, being a prophet, he saw in visions, he had a vision,
así que por eso en el capítulo 3 verso 1 dice, entonces me mostró a Josué el sumo sacerdote,;so this is why in chapter 3 verse 1 it says, then he showed me Joshua the high priest,
significa que Zachariah estaba orando a Dios y tenía una visión,;meaning Zachariah was praying to God and had a vision,
y Dios mostró al sumo sacerdote, le mostró a Josué sumo sacerdote,;and God showed the high priest, he showed him Joshua the high priest,
y los que habían vuelto de Babilonia, volvieron á Jerusalem,;and those who had returned from Babylon, they had returned back to Jerusalem,
josué estaba allí con sus compañeros, observando, analizando,;and so Joshua was there with his companions, observing, analyzing,
y proyectando cómo iban a reconstruir el templo del Señor una vez más.;and projecting how they were going to rebuild the temple of the Lord once again.
Así que en la visión dice que este Josué estaba delante del ángel del Señor,;So in the vision it says that this Joshua, he was standing before the angel of the Lord,
así que estaba delante del ángel del Señor en la visión,;so he was standing before the angel of the Lord in the vision,
y Satanás de pie a su mano derecha para oponerse a él.;and Satan standing at his right hand to oppose him.
Entonces Satanás estaba allí para oponerse a Josué, para acusarlo ante Dios. ¿Por qué?;So Satan was there to oppose Joshua, to accuse him before God. Why?
Bueno, Josué, este sumo sacerdote, había vivido 70 años en Babilonia,;Well, Joshua, this high priest, had lived 70 years in Babylon,
y nunca ofreció sacrificios ni hizo nada por el Señor,;and he never offered sacrifices nor done anything for the Lord,
y eso es lo que la ley de Moisés había ordenado.;and that is what the law of Moses had ordered.
Él no había hecho ninguna de esas cosas porque en Babilonia estaba prohibido.;He had not done any of those things because in Babylon it was forbidden.
Todos tenían que alabar a sus dioses y sus estatuas,;They all had to praise their gods and their statues,
y por eso Josué pasó 70 años y no pudo servir por Dios.;and this is why Joshua spent 70 years and he was not able to minister for God.
Josué, pues, no estaba en buena posición delante del Señor en esos aspectos, sin alabanza, sin sacrificio,;So Joshua, he was not in good standing before the Lord in those aspects, without praising, without offering sacrifice,
sin que Dios se manifieste. Se sentía mal. Se sentía como un pecador, un gran pecador ante Dios.;without God manifesting himself. He felt bad. He felt like a sinner, a great sinner before God.
