Buenas tardes, hermana Mary Lisa. En Hebreos 8:11 dice: Ninguno de ellos enseñará a su prójimo,;Good afternoon, Sister Mary Lisa. In Hebrews 8:11 it reads, 'None of them shall teach his neighbor,
y ninguno su hermano, diciendo: 'Conoce al Señor, porque todos me conocerán desde el menor de ellos hasta el mayor de ellos.';and none his brother, saying, 'Know the Lord, for all shall know Me from the least of them to the greatest of them.'
'Y en Efesios 4:11 dice: 'Y él mismo dio algunos a los apóstoles, algunos profetas, algunos evangelistas,;' And in Ephesians 4:11 it reads, 'And He Himself gave some to the apostles, some prophets, some evangelists,
y algunos pastores y maestros. Por favor, hermana, ¿cómo sucede esto?;and some pastors and teachers.' Please, Sister, how does this happen?
¿Cómo nos enseña Dios? ¿A quién se refiere, si lee 'todo' - es a nosotros,;How are we taught by God? Who is it referring to, whether it reads 'all' — is it us,
¿La Iglesia? Y si todos somos enseñados por Dios, entonces cuáles son los maestros, evangelistas,;the Church? And if we are all taught by God, then what are the teachers, evangelists,
y pastores para? Y también, Hermana, si pudieras por favor darme la claridad de entender si el evangelio;and pastors for? And also, Sister, if you could please give me the clarity to understand if the gospel
y la doctrina es lo mismo. Gracias, hermana.;and the doctrine are the same thing. Thank you, Sister.
Si el evangelio y la doctrina son iguales. Muy bien,;If the gospel and doctrine are the same. Very well,
aquí en Hebreos 8 donde el hermano está leyendo Hebreos 8 verso 11.;here in Hebrews 8 where the brother is reading Hebrews 8 verse 11.
Esta es una palabra que fue pronunciada por el profeta Jeremías.;This is a word that was spoken by the prophet Jeremiah.
Creo que fue Jeremías, el profeta, quien profetizó eso,;I believe it was Jeremiah, the prophet, who prophesied that,
que dice que para el futuro Dios le diría al pueblo lo siguiente: 'Ninguno de ellos enseñará a su prójimo,;who says that for the future God would tell the people the following: 'None of them shall teach his neighbor,
y ninguno su hermano. Esto es redundancia aquí — su vecino;and none his brother.' This is redundancy here — his neighbor
y su hermano, son lo mismo, porque un vecino es la persona más cercana a ti.;and his brother, they are the same thing, because a neighbor is the person closest to you.
Así que 'ninguno de ellos enseñará a su prójimo' sería el mismo que 'ninguno de ellos enseñará a su hermano,;So 'none of them shall teach his neighbor' would be the same as 'none of them shall teach his brother,
"Conoce al Señor". Aquí está diciendo que es conocer al Señor,;saying, 'Know the Lord.' ' Here he is saying that it is to know the Lord,
y no conocer la doctrina de Dios, que es diferente.;and not to know the doctrine of God, which is different.
Dice: 'Porque todos me conocerán.' Sí, todos conocerán a Dios,;It says, 'For all shall know Me.' Yes, everyone will know God,
pero no todos conocerán o tendrán doctrina de los más pequeños a los más grandes de ellos.;but not everyone will know or have doctrine from the least of them to the greatest of them.
Sí, porque los niños - si le preguntas a un niño de tres, cuatro, cinco años,;Yes, because children — if you ask a child who is three, four, five years old,
¿Dónde está la verdadera iglesia? ¿Quién es el verdadero Dios?;and you ask them, 'Where is the true church? Who is the true God?
- ¿Qué dice el niño? Esa es la primera cosa que dicen: 'Mi iglesia, Iglesia de Dios,;' — what does the child say? That is the first thing that they say: 'My church, Church of God,
