Hermana, buenas noches. En nombre de la Lorne, te doy gracias,;Sister, Good evening. In the name of the Lorne, I give you thanks,
porque esta es una promesa cumplida de hace más de 4 años.;because this is a fulfilled promise from over 4 years ago.
Hermana, mi pregunta está en Hechos capítulo 2, Hechos 2 verso 16 y 17,;Sister, my question is in Acts chapter 2, Acts 2 verse 16 and 17,
y dice: Pero esto es lo que fue dicho por el profeta Joel,;and it states: But this is what was spoken by the prophet Joel,
y pasará en los últimos días,;and it shall come to pass in the last days,
dice Dios que derramaré mi Espíritu en toda carne. Tus hijos;says God that I will pour out my Spirit on all flesh. Your sons
y sus hijas profetizarán, vuestros jóvenes verán visiones, Todos vuestros hombres soñarán sueños.;and your daughters shall prophesy, your young men shall see visions, Your all men shall dream dreams.
Hermana, mi pregunta es: Hoy cuando estamos pasando por tiempos difíciles nos han enseñado que en muchas veces el Señor se manifiesta a sí mismo a los sueños,;Sister, my question is: Today when we are going through difficult times we have been taught that in many times the Lord manifests himself to dreams,
donde nos da revelaciones, ya sea para la edificación de la iglesia,;where he gives us revelations, whether for the edification of the church,
para edificación personal o revelaciones sobre bendiciones que estamos a punto de recibir, o bendiciones para hermanos en la congregación.;for personal edification or revelations about blessings that we're about to receive, or blessings for brothers in the congregation.
Entonces, la pregunta es, ¿cómo podemos distinguir? Y me gustaría que te vieras como podemos distinguir los sueños,;So, the question is, how can we distinguish? And I would like you to delve into how can we distinguish dreams,
discernirlos y cuando los sueños vienen de Dios? Cuando Dios está haciendo algo con nosotros,;discern them and when do dreams come from God? When God is doing something with us,
cuando nos está dando una bendición o cuando los sueños son de la carne?;when he is granting us a blessing or when dreams are from the flesh?
Hermana, me gustaría en el amor del Señor para que usted pueda profundizar en este tema,;Sister, I would like in the love of the Lord for you to delve into this topic,
porque el enemigo a veces usa estas herramientas, y si no somos maduros;because the enemy sometimes uses these tools, and if we aren't mature
y no tenemos doctrina, tendemos a cometer errores. Hermana,;and don't have doctrine, we tend to make mistakes. Sister,
en el amor del Señor me gustaría que me enseñaras. Sí, hermana.;in the love of the Lord I would like you to teach me. Yes, Sister.
Bueno, como acabas de decir muchas veces, por ignorancia o no tener madurez cometes muchos errores.;Well, like you just said many times, because of ignorance or not having maturity you make many mistakes.
Entonces, lo que preferiríamos ser es prudente cuando se trata de sueños.;So, what we would should rather be is be prudent when it comes to dreams.
Cada vez que tienes un sueño, ya que es difícil de discernir,;Every time you have a dream, since it is difficult to discern,
porque tienes que tener el don del discernimiento para poder distinguir si esos sueños son una revelación de Dios,;because you have to have the gift of discernment to be just able to distinguish if those dreams are a revelation from God,
o si es un sueño de mi corazón, mi carne o mis emociones,;or if it's a dream from my heart, my flesh or my emotions,
o es un sueño que el diablo ha puesto para distorsionar mi vida espiritual.;or it's a dream the devil has placed to distort my spiritual life.
Así que, ya que no somos capaces de distinguir estos asuntos ¿qué podemos hacer entonces?;So, since we are not able to distinguish these matters what can we do then?
Bueno, cuando tienes un sueño, y en el sueño ves que hay enfermedad, una catástrofe un accidente,;Well, when you have a dream, and in the dream you see that there's sickness, a catastrophe an accident,
ora a Dios y pide a Dios que te proteja de lo que acabas de soñar,;pray to God and ask God to protect you from what you have just dreamt,
que no te gusta este sueño, así que por favor, protegeme de todas estas cosas.;that you don't like this dream, so please protect me from all of these things.
No permitas que esto suceda. Si tienes un sueño con cosas hermosas y maravillosas que te agradan,;Do not allow this to happen. If you have a dream with beautiful, wonderful things that please you,
entonces escríbelo y di, en este día en esta fecha tuve este sueño;then write it down and say, on this day on this date I had this dream
y guardar eso en tu corazón y guardar la escritura que hiciste;and keep that in your heart and keep the scripture that you made
y espera en el tiempo. Si es un sueño de Dios, entonces en el tiempo se cumplirá;and wait in the time. If it's a dream from God, well then in time it will be fulfilled
y entonces puedes decir, bueno este fue el sueño que tuve;and then you can say, well this was the dream I had
y así, cuando usted mismo sigue sus sueños se convierte en un intérprete de sus propios sueños.;and so, when you yourself you follow up on your dreams you then become an interpreter of your own dreams.
Entonces te conoces y dices, bien, cuando tenga un sueño con esto es porque esto va a pasar porque esto ha pasado antes.;You then know yourself and you say, well okay, when I have a dream with this it's because this is going to happen because this has happened before.
Así que ahora sé lo que ocurrirá. Así que empiezas a aprender en la medida en que tus sueños se cumplen.;So now I know what will occur. So you begin to learn in the measure in which your dreams are fulfilled.
Pero si ves que pasa el tiempo y tus sueños nunca se cumplen, entonces ya no dará demasiada importancia a lo que estás soñando.;But if you see that time goes by and your dreams are never fulfilled will then no longer give too much importance to what you're dreaming about.
No le des demasiada importancia, porque eso es lo que necesitas hacer.;Don't give too much importance to it, because that's what you need to do.
Cada uno de nosotros somos intérpretes de nuestros propios sueños.;Each of us we become interpreters of our own dreams.
Pero si quieres que Dios te guíe a través de los sueños,;But if you want God to guide you through dreams,
entonces tú también deberías ganar esa voluntad de Dios con tu vida, con tu testimonio,;well then you too should win over that will of God with your life, with your testimony,
con la buena manera de vivir tu vida. Necesitas ganar sobre Dios para que te revele cosas en sueños.;with the good way you live your life. You need to win over God so that he reveals things to you in dreams.
También, para que él pueda guiarte a través de los sueños, porque Dios ha guiado y guía a muchas personas con sueños.;As well, so that he may guide you through dreams, because God has guided and guides many people with dreams.
Pero debemos ser sinceros con Dios. No podemos ser hipócritas con Dios.;But we must be sincere with God. We cannot be hypocrites with God.
¿Qué significa ser un hipócrita con Dios?;What does it mean to be a hypocrite with God?
Significa que estoy pareciendo creer en Dios pero estoy viviendo en pecado.;It means I am appearing to believe in God but I'm living in sin.
Estoy pecando que es hipocresía con Dios. Entonces, sé sincero;I am sinning that is hypocrisy with God. So, be sincere
y verás cómo Dios te guiará a través de los sueños.;and you will see how God will guide you through dreams.
Y no te preocupes, escríbelos y espera en el momento en que lleguen a pasar.;And do not worry, write them down and wait in the time when they come to pass.
Bueno, entonces interpretarás tus sueños y empezarás a comprender cuando Dios te está revelando cosas a través de los sueños.;Well, then you will interpret your dreams and you will begin to understand when God is revealing things to you through dreams.
Así que no te preocupes por eso, tú.;So don't worry about it, you.
