Aclaremos esto antes.;Let’s clear this up and move ahead.
Aunque cometió errores, logró recuperarse y terminar el trabajo.;Even though he made mistakes, he managed to bounce back and finish the job.
Cancelaron el evento por fallas técnicas.;They called off the event because the systems broke down.
Debemos aumentar los ingresos este trimestre.;We need to step up revenue and bring in stronger results this quarter.
Debemos calmarnos y hablar las cosas antes de sacar conclusiones.;We should calm down and talk things through before jumping to conclusions.
Debemos controlar la situación.;We need to keep this under control and deal with it.
Debemos incrementar las ventas.;We need to step up sales and bring in better numbers.
Debemos mantener esta situación bajo control.;We need to keep this under control and deal with it properly.
Debemos reducir costos y mantener la calidad.;We need to cut down on costs and keep up the quality.
Debemos reducir el tiempo de espera.;We need to cut down the waiting time and speed things up.
Debemos seguir las normas para evitar conflictos.;We need to stick to the rules and stay out of trouble.
Debemos seguir las normas.;We need to stick to the rules and stay out of trouble.
Debemos seguir las reglas para evitar problemas.;We need to stick to the rules and stay out of trouble.
Debes anotar cada detalle para revisarlo después.;You should write every detail down and look it over later.
Debes anotar los detalles para no olvidarlos.;You should write the details down and look them over later.
Debes anotar todo cuidadosamente.;You should write everything down and look it over later.
Debes apagar las distracciones y concentrarte en tu objetivo.;You need to switch off distractions and focus on your goal.
Debes apagar las luces al salir.;You should turn off the lights before heading out.
Debes apagar las luces antes de salir.;You should turn off the lights before heading out.
Debes apagar todo antes de irte.;You need to turn off everything before heading out.
Debes apagar tu teléfono y concentrarte en lo importante.;You need to switch off your phone and focus on what matters.
Debes bajar el volumen para concentrarte.;You need to turn down the volume and tune in better.
Debes bajar el volumen.;You need to turn down the volume and tune in.
Debes concentrarte y dejar de distraerte.;You need to focus on the task and cut out distractions.
Debes dejar atrás el pasado y enfocarte en lo que viene.;You need to move on from the past and focus on what lies ahead.
Debes dejar atrás los errores y enfocarte en mejorar.;You need to move on from your mistakes and work on improving.
Debes dejar atrás tus errores y seguir adelante.;You need to move on from your mistakes and keep going.
Debes descansar más.;You need to switch off and slow down.
Debes desconectar un poco y descansar.;You need to switch off and slow down for a while.
Debes desconectarte y descansar.;You need to switch off and slow down for a while.
Debes enfocarte y dejar de distraerte.;You need to focus on the task and cut out distractions.
Debes enfocarte y eliminar distracciones.;You need to focus on the task and cut out distractions.
Debes probar distintas opciones primero.;You should try out different options and narrow them down first.
Debes probar distintas soluciones.;You should try out different solutions and narrow them down.
Debes probar varias opciones antes de decidir.;You should try out different options and narrow them down first.
Debes reducir el ruido para concentrarte.;You need to turn down the noise and tune in better.
Debes repartir el trabajo equitativamente.;You need to break the work up and hand it out fairly.
Debes repartir las tareas.;You need to break the tasks up and hand them out.
Debes revisar bien antes de enviar.;You need to go through everything and hand it in properly.
Debes revisar bien el documento antes de entregarlo.;You need to go through the document and hand it in carefully.
Debes revisar el documento con atención.;You need to go through the document and hand it in properly.
Después de pensarlo mucho, decidí rechazar la oferta y buscar algo mejor.;After thinking it over, I decided to turn down the offer and look for something better.
Él aceptó el reto y siguió con el proyecto.;He took on the challenge and carried on with the project.
Él apareció sin avisar y alteró todos nuestros planes.;He showed up without warning and threw all our plans off.
Él apareció sin avisar y arruinó todo.;He showed up unexpectedly and threw everything off.
Él apareció sin avisar y arruinó todos nuestros planes.;He showed up unexpectedly and messed up all our plans.
Él asumió el mando y cambió el rumbo.;He stepped in and turned things around.
Él canceló el proyecto justo cuando estábamos a punto de lanzarlo.;He called off the project just when we were about to roll it out.
Él dejó el cargo y pasó la responsabilidad.;He stepped down and handed over responsibility.
Él dejó el cargo y pasó la responsabilidad.;He stepped down and handed over the responsibility.
Él dejó el equipo y alguien más tomó su lugar.;He dropped out of the team and someone stepped in for him.
Él dejó el proyecto y otro lo continuó.;He dropped out of the project and someone else carried it on.
Él dejó pasar la oportunidad por inseguridad.;He passed up the opportunity and backed away because of insecurity.
Él dejó pasar la oportunidad por miedo.;He passed up the opportunity and backed away because of fear.
Él dejó pasar la oportunidad.;He passed up the chance and backed away.
Él descubrió el problema y lo comentó en la reunión.;He found out about the issue and brought it up in the meeting.
Él descubrió el problema y lo mencionó en la reunión.;He found out about the issue and brought it up in the meeting.
Él descubrió la verdad y la reveló.;He found out the truth and brought it up.
Él detectó el error y explicó cómo resolverlo.;He pointed out the error and talked it through clearly.
Él insistió hasta conseguirlo.;He kept on pushing until they gave in.
Él inventó una excusa para justificar su ausencia.;He made up an excuse to cover up his absence.
Él inventó una excusa y evitó el problema.;He made up an excuse and got away from the issue.
Él inventó una excusa y trató de escapar del problema.;He made up an excuse and got away from the issue.
Él inventó una historia para justificar por qué llegó tarde.;He made up a story to cover up why he showed up late.
Él inventó una historia y trató de ocultarlo.;He made up a story and tried to cover it up.
Él llamó para confirmar y hacer seguimiento.;He called up to check in and follow up later.
Él llamó para verificar y dar seguimiento.;He rang up to check in and follow up.
Él llamó y confirmó todo.;He called up and followed up on everything.
Él recuperó la confianza después del fracaso.;He bounced back and carried on after the failure.
Él recuperó su confianza rápidamente.;He bounced back and pushed through quickly.
Él recuperó su motivación después del fracaso.;He bounced back and pushed through after the failure.
Él renunció y comenzó algo nuevo.;He stepped down and moved on to something new.
Él se alejó después de la discusión.;He walked away and shut down after the argument.
Él se alejó después del desacuerdo.;He walked away and shut down after the disagreement.
Él se fue tras la discusión.;He walked away and shut down afterward.
Él se retiró del proyecto y alguien más lo continuó.;He dropped out of the project and someone else carried it on.
