Buenas tardes, hermana María Luisa. Que Dios la bendiga grandemente.;Good afternoon, Sister Maria Louisa. May God bless you greatly.
Hermana, mi pregunta está en Marcos 9, versículos 38 al 41.;Sister, my question is in Mark 9, verses 38 to 41.
Los versículos 38 al 41 dicen: 'Ahora Juan le respondió diciendo: Maestro, vimos a alguien que no nos sigue echando fuera demonios en tu nombre, y se lo prohibimos porque no nos sigue.'Verses 38 to 41 state, now;John answered him, saying, 'Teacher, we saw someone who does not follow us casting out demons in your name, and we forbade him because he does not follow us.'
Pero Jesús dijo: 'No se lo prohíban. Porque ninguno que haga un milagro en mi nombre puede luego hablar mal de mí.'But;Jesus said, 'Do not forbid him. For no one who works a miracle in my name can soon afterward speak evil of me.
Porque el que no está contra nosotros, está de nuestra parte. Porque cualquiera que les dé un vaso de agua a beber en mi nombre porque pertenecen a Cristo, de cierto les digo que no perderá su recompensa.'For he who is not against us is on our side.;For whoever gives you a cup of water to drink in my name because you belong to Christ, assuredly I say to you, he will by no means lose his reward.'
Hermana, mi pregunta surge de algo que he escuchado decir a algunos hermanos y hermanas en la iglesia.;Sister, my question comes from something I've heard some brothers and sisters in the church say.
Por ejemplo, hay algunas personas judías en los Estados Unidos que son cristianas, que siguen a Jesús y comparten sus testimonios diciendo que también han recibido dones espirituales como el don de profecía o sanidad.;For example, there are some Jewish people in the United States who are Christians who follow Jesus and they share their testimonies saying that they too have received spiritual gifts like the gift of prophecy or healing.
Pero he escuchado a algunos hermanos y hermanas decir que esas cosas vienen del diablo.;But I've heard some brothers and sisters say that those things come from the devil.
Entonces, basándome en este pasaje bíblico y también en lo que usted explicó sobre experiencias cuando era muy joven y recibió profecía de algunas hermanas que no eran de nuestra iglesia pero que sí se congregaban en el Señor y tenían el don de profecía.;So based on this Bible passage and also on what you explained in experiences when you were very young and received prophecy from some sisters who weren't from our church but who did gather in the Lord and had the gift of prophecy.
Mi pregunta es esta: ¿qué tan cierto es que otros hermanos y hermanas que también están en la fe de Jesucristo, aunque no sean parte de nuestra iglesia, podrían tener dones espirituales, o realmente es del diablo?;My question is this. How true is it that other brothers and sisters who are also in the faith of Jesus Christ even if they're not part of our church could have spiritual gifts or is it really from the devil?
Muy bien. No estamos aquí para juzgar. No estamos aquí para juzgar a las personas.;All right. We're not here to judge. We're not here to judge people.
Se enseña que el Señor Jesucristo es Dios y que Él es el Hijo de Dios. Un misterio que quizás no comprendamos del todo, pero debemos creerlo porque eso es lo que Dios dijo y tenemos que creerlo.;It's taught that the Lord Jesus Christ is God and that he is the son of God. A mystery that perhaps we may not fully understand, but we must believe because that's what God said and we have to believe it.
Que Él es Dios y que Él es el Hijo de Dios y que Él es el camino por el cual toda la humanidad será salva.;That he is God and that he is the son of God and that he is the path through which all of humankind will be saved.
Los que creen en Jesucristo creen en Jesucristo. Pero ¿qué es lo que debemos creer acerca de Jesucristo?;Those who believe in Jesus Christ believe in Jesus Christ. But what is it that we must believe about Jesus Christ?
Porque no es suficiente decir: creo en Jesucristo. Porque yo podría decir: creo en este reloj.;Because it's not enough to say I believe in Jesus Christ. Because I could say I believe in this watch.
¿Saben por qué creo en ese reloj? Porque lo estoy mirando. Si no lo viera, pues no creería en el reloj. Así es como todos empiezan.;Do you know why I believe in that watch? Because I'm looking at it. If I didn't see it, well, I wouldn't believe in the watch. That's it. That's how everyone starts.
Creo en Dios. Dicen que sí, que creen en Dios. Pero creer es una cosa. Hacer la voluntad de Dios y entender en qué creemos acerca de Él es otra.;I believe in God. They say yes, they believe in God. But believing is one thing. Doing God's will and understanding what we believe about him is another.
Entonces la gente dice: sí, creo en Jesucristo. Pero ¿qué es Jesucristo para ti?;So people say, yes, I believe in Jesus Christ. But what is Jesus Christ to you?
Alguien dice: fue un profeta. Fue solo un hombre, un siervo de Dios. Pues están equivocados.;Someone says he was a prophet. He was just a man, a servant of God. Well, they're mistaken.
Porque el Señor Jesús nos enseñó y la Biblia enseña que creer en Jesucristo es aceptar, creer, aceptar que Jesucristo es Dios, que Jesucristo es el Hijo de Dios.;Because the Lord Jesus taught us and the Bible teaches that believing in Jesus Christ is to accept to believe to accept that Jesus Christ is God, that Jesus Christ is the son of God.
Que fue enviado y que Él es el único camino que lleva a la vida eterna. Nadie nos va a salvar.;That he was sent and that he is the only path that leads to everlasting life. No one is going to save us.
Ni Pedro, ni Juan, ni Pablo, ni María la madre de Jesucristo, ni María Magdalena, ni ninguna de esas personas nos va a salvar ni nos llevará a la vida eterna. Solo Jesucristo.;Not Peter, not John. Neither Peter, nor John, nor Paul, nor Mary, the mother of Jesus Christ, nor Mary Magdalene, nor any of those people are going to save us, are going to lead us to everlasting life. Only Jesus Christ.
Por lo tanto, digamos que usted menciona que hay algunos judíos que creen en Cristo. Sí, es bueno que crean en Jesucristo.;Therefore, let's say you mention there are some Jews who believe in Christ. Yes, it's good that they believe in Jesus Christ.
Ahora, esperemos que hagan la voluntad de Jesucristo. Muy bien, eso es asunto de ellos.;Now, let's hope they do the will of Jesus Christ. All right, that's their business.
La Biblia está ahí enseñándonos el camino y lo que debemos hacer para estar completamente seguros de que estamos caminando por el verdadero camino.;The Bible is there teaching us the way and what we must do to be completely sure that we are walking on the true path.
Que no se trata solo de creer. No se trata solo de decir: Señor, Señor. Se trata de hacer la voluntad de Dios.;That it's not just about believing. It's not just about saying Lord, Lord. It's about doing the will of God.
Se trata de no cometer pecado y saber quién es realmente Jesucristo.;It's about not committing sin and know who Jesus Christ really is.
Así podemos decir: entiendo el camino y estoy siguiendo este camino, y por eso no voy a juzgar a las personas, sino que les enseñaré.;So we can say I understand the path and I am following this path and so I'm not going to judge people but I will teach them.
