Buenas tardes, hermana. Tengo una pregunta sobre Mateo 8, versículos 28 al 34.;Good afternoon, sister. I have a question for you in Matthew 8, from verse 28 to 34.
Después de liberar a los endemoniados de los espíritus malignos, la gente injustamente le pidió al Señor Jesucristo que se fuera.;After delivering the demon-possessed men from the evil spirits, the people unjustly asked the Lord Jesus Christ to leave.
¿Fue porque no querían que liberara más almas o porque no creían en él?;Was it because they did not want him to deliver more souls or because they did not believe in him?
En Mateo 8:28-34, esa región estaba llena de gente incrédula que vivía de la brujería, la hechicería y la adoración de demonios.;In Matthew 8:28-34, that region was filled with unbelieving people who lived off witchcraft, sorcery, and worshiping demons.
Por supuesto, también tenían sus adivinos, magos y hechiceros, y entonces apareció el Señor Jesucristo predicando el evangelio y haciendo milagros.;Of course, they also had their fortune tellers, magicians, and sorcerers, and then the Lord Jesus Christ appeared there preaching the gospel and performing miracles.
El Señor liberó a estas dos personas que estaban poseídas por muchos demonios, y cuando quedaron libres, la gente dijo: esto no nos conviene.;The Lord delivered these two people who were possessed by many demons, and when they were set free, the people said: this is not good for us.
No nos conviene porque él vino a quitarnos el negocio que tenemos aquí. Es competencia. Así que no nos conviene.;It is not good because he came to take away our business here. He is competition. So it is not good for us.
Jesús de Nazaret, vete a otro territorio y déjanos aquí en paz. Estamos bien aquí con nuestras brujas y hechiceros.;Jesus of Nazareth, go to another territory and leave us here in peace. We are fine here with our witches and sorcerers.
Eso fue lo que pasó en ese pueblo. Como vivían tan mal y tan injustamente ante Dios, eran instrumentos del diablo.;That is what happened in that town. Since they were living so badly and so unrighteously before God, they were instruments of the devil.
Eran esclavos del diablo y no querían que el Señor hiciera milagros para bien, sino que querían seguir viviendo del negocio.;They were slaves of the devil and did not want the Lord to perform miracles for good, but wanted to keep living off the business.
Porque por la brujería y los hechizos cobran dinero, mientras que la obra de Dios no se cobra, es gratuita.;Because for witchcraft and spells they charge money, while God's work is not charged for, it is free.
El Señor libera gratis, sin cobrar. Pero las brujas, los hechiceros y los magos sí tienen que ganar dinero.;The Lord delivers for free, without charging. But the witches, sorcerers, and magicians do have to earn money.
Por eso se molestaron, porque ellos eran los que mandaban en el pueblo, y por eso echaron al Señor Jesús porque les arruinaba el negocio.;That is why they were upset, because they were the ones who ruled the town, and that is why they drove out the Lord Jesus because he was ruining their business.
No les interesaba la vida eterna ni tener paz, felicidad o vivir con Dios. Esas cosas no les importaban.;They were not interested in everlasting life, nor in having peace, happiness, or living with God. Those things did not matter to them.
Aprendemos de todo, ¿verdad? Y hoy también habrá lugares donde la gente piense de la misma manera.;We learn from everything, do we not? And today there will also be places where people will think the same way.
Pero nosotros estamos preparados. Estamos con nuestro Dios, y Dios sí da la verdadera felicidad.;But we are prepared. We are with our God, and God does give true happiness.
