Buenas tardes, hermana Mary Louisa. Que el Señor te bendiga, hermana María Louisa.;Good afternoon, Sister Mary Louisa. May the Lord bless you, Sister Maria Louisa.
Tengo una pregunta en la Biblia, si la permites, en el Salmo 25 14.;I have a question in the Bible, if you will allow it, in Psalm 25 14.
Salmo 25 14. ¿Puedo leer el Salmo 25 14? Sí, hermana, adelante;Psalm 25 14. May I read Psalm 25 14? Yes, Sister, go ahead
"El secreto del Señor está con los que le temen,;and read: 'The secret of the Lord is with those who fear him,
y les mostrará su pacto. Así que ahora quería hacerte esta pregunta:,;and he will show them his covenant.'? So now I wanted to ask you this question: if you could,
por favor explíquenos y díganos cuál es el secreto del Señor,;please explain and tell us what the secret of the Lord is,
y cómo podemos alcanzar esa justicia para cumplir estos versículos de la Biblia.;and how can we reach that righteousness in order to fulfill these verses of the Bible.
Muy bien. Los hermanos y hermanas, ¿tienen el Salmo 25 14?;Very well. The brothers and sisters, do you all have Psalm 25 14?
Sí, por favor lea el Salmo 25 14. Muy bien, así que el secreto, o la comunión,;Yes, please read Psalm 25 14. All right, so the secret, or the fellowship,
es parte de esa comunicación entre Dios y el hombre.;it's a part of that communication between God and man.
Así que el secreto, o la comunión, es estar allí juntos, comunicándose entre sí.;So the secret, or fellowship, is to be there together, communicating with one another.
Dios conoce mi vida, conoce mis secretos, y Dios me habla.;God knows my life, he knows my secrets, and God speaks to me.
¿Qué sé yo de Dios? Sé que me habla, me hace promesas, me conforta,;So what do I know about God? I know he speaks to me, he makes me promises, he comforts me,
siempre me habla. Así dice el secreto del Señor, o la comunión del Señor,;he is always speaking to me. So it says the secret of the Lord, or the fellowship of the Lord,
está con los que le temen. Ahora, los que le temen, no es que tengan miedo de Dios,;is with those who fear him. Now, those who fear him, it's not that they're afraid of God,
son los que aman a Dios, los que obedecen al Señor, creen en él, confían en él,;they are those who love God, those who obey the Lord, they believe in him, they trust in him,
anhelan hacer la voluntad de Dios, se preparan para Dios, son los que temen al Señor, dice.;they long to do God's will, they prepare themselves for God, they are who fear the Lord, it says.
Y él, este pueblo, él, Dios, les mostrará su pacto.;And he, these people, he, God, will show them his covenant.
Dios les mostrará, él mostrará a esta persona, él les dará a conocer sus promesas, su pacto,;God will show them, he will show this person, he will make known to them his promises, his covenant,
todo lo que Dios desea y anhela para el hombre, él les hace conocer, muestra a esta persona.;everything that God desires and longs for man, he makes known to them, shows this person.
Es por eso que nosotros, y hermanos y hermanas, os digo, peleamos.;This is why we, and brothers and sisters, I tell you, fight.
Peleemos para tener esta comunión con Dios, esta íntima comunión con él,;Let us fight to have this fellowship with God, this intimate fellowship with him,
¿porque sabes lo que es tener comunicación?;because do you know what it is to have communication?
Tal vez no entendimos esta palabra beca o secreto, como está aquí,;Now, maybe we didn't understand this word fellowship, or secret, as it is here,
porque es una comunión es una palabra que tal vez no se usa tanto, es un poco viejo,;because it's a fellowship is a word that's maybe not used so much, it's a bit old,
pero hoy tenemos la palabra comunicación. ¿Qué entiende por la palabra de comunicación?;but today we have the word communication. Now, what do you understand by the word of communication?
¿Se comunica con su marido? ¿Tiene comunicación con su marido o su esposa,;Do you communicate with your husband? Do you have communication with your husband or your wife,
lo que quieras llamarlos, ¿tu cónyuge? Te dicen, 'Oh, no tenemos dinero, tenemos que trabajar,;whatever you want to call them, your spouse? They tell you, 'Oh, we have no money, we have to work,
todos los niños en la escuela, tenemos que hacer esto y eso.'?;all the children in school, we have to do this and that.'?
Te estás comunicando, ¿verdad? Tú haces esto, yo hago esto, vas de compras,;You're communicating, right? You do this, I do this, you go grocery shopping,
Haré las cosas aquí en la casa, iré a la lavandería;I'll do the things here in the house, I'm gonna go do the laundry
y para lavar ropa, no sé lo que quieres llamar así, así que eso es comunicación.;and to wash clothes, I don't know what you want to call that, so that's communication.
Tenemos que pagar el alquiler la próxima semana. ¿Cuánto dinero tienes?;We have to pay the rent next week. How much money do you have?
Tengo tanto. ¿Cuánto tienes? Entonces pagaremos el alquiler la próxima semana.;I have so much. How much do you have? So then we'll pay the rent next week.
Eso es comunicación, ¿verdad? Y aquí dice que Dios tiene comunión con los que lo aman.;That's communication, right? And it says here that God, he has fellowship with those who love him.
Y así le decimos al Señor: "Señor, mira mi situación, Señor,;And so we tell the Lord, 'Lord, look at my situation, Lord,
¿Ves que esta semana no tenía trabajo, no había dinero que hacer,;do you see that this week I didn't have work, there was no money to make,
no hay dinero para comprar comida, ¿qué voy a hacer, Señor?;there's no money to buy food, what am I going to do, Lord?
'Y como tienes comunión con él, donde tienes comunicación con él, el Señor te dice: 'No te preocupes,;' And as you have fellowship with him, where you have communication with him, the Lord tells you, 'Don't worry,
Voy a proporcionar ese dinero, o voy a proporcionarte comida, pero tú,;I'm going to provide that money, or I'm going to provide you with food, but you,
no vas a ir a la cama hambriento. ¿Y por qué Dios hace eso contigo?;you're not going to go to bed hungry.'? And why does God do that with you?
Porque amas a Dios, le temes, porque adoras al Señor, quieres hacer su voluntad,;Because you love God, you fear him, because you adore the Lord, you want to do his will,
porque estás preparado y amando al Señor para hacer su voluntad;because you are prepared and loving the Lord to do his will
y agradarle. Por eso Dios está contigo, está cerca de ti,;and please him. So this is why God is with you, he's near you,
y oye tus oraciones, oye todos tus ruegos;and he hears your prayers, he hears all your pleas
y petición. Eso es lo que Dios hace. Salmos, son tan alentadores.;and petition. That is what God does. Psalms, they are so encouraging.
Cuando leemos Salmos, levantan nuestro corazón y espíritus,;When we read Psalms, they lift our heart and spirits,
porque aprendemos aquí que Dios tiene comunión con los seres humanos, que Dios está escuchando a los seres,;because we learn here that God does have fellowship with human beings, that God is listening to beings,
escucha las oraciones de la gente. Pero aquellos que sólo quieren vivir en pecado;he hears the prayers of people. But those who only want to live in sin
y hipocresía con Dios, entonces Dios se aparta de ellos, Dios no está con ellos,;and hypocrisy with God, well then God turns away from them, God is not with them,
y es por eso que la gente vive mal y las cosas difíciles les suceden en la vida.;and this is why people live badly and difficult things happen to them in life.
Vamos a evaluarnos. Examinemos nosotros mismos para que digamos, tengo comunión con Dios,;Let us evaluate ourselves. Let us examine ourselves so that we may say, I have fellowship with God,
Tengo esta comunicación con el Señor, y él va a escuchar mis oraciones.;I have this communication with the Lord, and he's going to hear my prayers.
Y le digo en oración: Señor, si es tu voluntad, quiero esto en mi vida,;And I tell him in prayer, 'Lord, if it is your will, I want this in my life,
Quiero que me ayudes y me ayudes a cumplir este deseo, este anhelo que tengo,;I want you to help me and to help me fulfill this desire, this longing I have,
si es tu voluntad, si esto es lo mejor para mí, Señor.;if it is your will, if this is what's best for me, Lord.
Si no, entonces continuaré esperando, pero confiando en ti. Confío en ti.";If not, well, then I'll continue, I'll continue waiting, but trusting in you. I trust in you.'
Eso es lo que Dios quiere, y ese es el secreto del Señor, o la comunión con el Señor.;That is what God wants, and that is the secret of the Lord, or the fellowship with the Lord.
Eso es lo que Dios quiere: quiere tener comunicación y comunión con su iglesia,;That's what God wants: he wants to have communication and fellowship with his church,
y anhelamos esto, bien, y anhelamos tener esa comunión con el Señor para que nuestra vida sea mejor en todos los sentidos.;and we long for this, right, and we long to have that fellowship with the Lord so that our life is better in every way you.
