Luisa, tengo una pregunta en La Canción del Libro de Salomón capítulo uno verso 5;Luisa, I have a question in The Book Song of Solomon chapter one verse 5
6. Sí, Canciones de Salomón, déjame leer el capítulo 1 verso 5;and 6. Yes, Songs of Solomon, let me read chapter 1 verse five
y seis, sí, verso 5. Soy oscuro pero encantador, hija de Jerusalén, como la tensa de Pedro,;and six, yes, verse 5. I am dark but lovely, o daughter of Jerusalem, like the tense of Peter,
como las corrientes de Salomón. Versículo 6. No me mires porque estoy oscuro,;like the currents of Solomon. Verse 6. Do not look upon me because I am dark,
porque el sol me ha manchado. Hijo de mi madre estamos enfadados conmigo,;because the sun has Stained me. My mother's son we're angry with me,
me hicieron el guardián de los viñedos por mi propia viña que no he guardado.;they made me the keeper of The Vineyards by my own Vineyard I have not kept.
Hermana Mona Luisa, con esta lectura tengo un par de preguntas, pero también quiero destacar.;Sister Mona Luisa, with this reading I have a couple questions, but I want to highlight too.
Primero, ¿qué significa que donde lee no me miren porque estoy oscuro porque el sol tiene declaración?;First, what does it mean where he reads do not look upon me because I am dark because the sun has statement?
Y segundo, ¿por qué debemos entender dónde lee que me hicieron el guardián de los viñedos por mi propia viña que he desnudo.;And second, why should we understand where it reads they made me the keeper of The Vineyards by my own Vineyard I have naked.
Gracias, hermana Mara Luisa, por su respuesta. Muy bien,;Thank you, sister Mara Luisa, for your answer. Very well,
y que Dios continúe bendiciendo. El libro de la Canción de Salomón está hablando de alabanzas del marido a la esposa;and may God continue blessing. The book of The Song of Solomon is talking about Praises from the husband to the wife
y viceversa, el Señor Jesucristo y su iglesia, la iglesia;and vice versa, the Lord Jesus Christ and his church, the church
y el Señor Jesucristo. Así que cuando dice que estoy oscuro, es beautificante,;and the Lord Jesus Christ. So when it says I am dark, it is beautifying,
y también el uso de diferentes tipos de expresión en poesía.;and also using different types of figure of speech in poetry.
Hay diferentes figuras de discurso donde hay diferentes palabras para magnificar o embellecer algo o alguien.;There are different figures of speech where there are different words to magnify or beautify something or someone.
Así que aquí, cuando la iglesia dice que estoy oscuro, ella está diciendo que el sol Shone sobre ella;So here, when the church says I am dark, she is saying that the sun Shone on her
y quemó su piel, no que ella había fallado a Dios o ha estado fallando a Dios,;and burnt her skin, not that she had failed God or has been failing God,
por lo tanto, no teniendo su justicia como el Señor dijo que usted será blanco blanco como la nieve blanca como una nube,;therefore not having her fairness like the Lord said you'll be white white as snow white as a cloud,
como cuando el Señor dice que nos vestirá con vestiduras blancas,;just as when the Lord says that he will clothe us with white garments,
y tan blanco significa pureza, Santidad, Perfección. Y aquí con la iglesia,;and so white means pureness, Holiness, Perfection. And here with the church,
cuando dijo que estaba oscura porque el sol le disparó fue sólo por un momento,;when she said she was dark because the sun Shone on her it was just for a moment,
pero se irá. Mi piel ahora está bronceada;but it will go away. My skin right now is tan
y oscuro, pero me voy a convertir en blanco y puro porque el Señor me va a perfeccionar,;and dark, but I'm going to become white and pure because the Lord is going to perfect me,
porque esa blancura que la justicia es un sentido espiritual no un sentido físico,;because that whiteness that fairness is a spiritual sense not a physical one,
porque Dios no se preocupa por la parte física o el color sino por la espiritualidad, el corazón, el alma;because God doesn't care about the physical part or the color but about spirituality, the heart, the soul
y la pureza de una persona, y es por eso que debemos entender;and pureness of a person, and that is why for us to understand
y comprender lo que Dios quiere hacer con su iglesia cuando dice que será una iglesia perfecta sin mancha ni arruga,;and comprehend what God wants to do with his church when it says that it'll be a perfect church with no spot or wrinkle,
una iglesia santa. Y es por eso que lo compara con la blancoidad que significa pureza,;a holy church. And this is why he Compares it to whiteness which means pureness,
pero no significa que el Señor estaba hablando sobre la parte física material en los colores pero espiritualmente simbólicamente.;but it doesn't mean that the Lord was speaking about the material physical part in colors but spiritually symbolically.
Es por eso que aquí como el hermano leyó el capítulo 1 versículo 6, ¿verdad?;That is why here as the brother read which chapter chapter 1 verse 6, right?
Así que aquí son palabras poéticas, así que aquí dice las hijas de Jerusalén, siendo Jerusalén la iglesia,;So here it's poetic words, so here it says the daughters of Jerusalem, Jerusalem being the church,
