Extranjero. Quiero hacerte una pregunta sobre Mercy.;Foreign. I want to ask you a question regarding Mercy.
Le había preguntado al Señor si el dinero y el poder perjudicaban a la gente,;I had asked the Lord if money and power harmed people,
y el Señor me dio un sueño y me dijo:,;and the Lord gave me a dream and said to me, No,
lo que les impide es lo que está en sus corazones. Mientras estaba leyendo la Biblia,;what hinders them is what is in their hearts. While I was reading the Bible,
Dios habla mucho sobre la misericordia en los Salmos y Proverbios,;God speaks a lot about Mercy in Psalms and Proverbs,
pero encontré un versículo muy hermoso en Efesios 2 versículo 4 y 5.;but I found a very beautiful verse in Ephesians 2 verse 4 and 5.
Hermana, ¿me permite leer? Sí, hermana. Sí.;Sister, will you allow me to read? Yes, sister. Yes.
Dice: Pero Dios, que es rico en misericordia, por su gran amor con el que nos amó,;It says, But God, who is rich in Mercy, because of his great love with which he loved us,
incluso cuando estábamos muertos y los delitos nos hicieron vivos junto con Cristo.;even when we were dead and trespasses made us alive together with Christ.
Así que respetuosamente te pregunto si podrías hablar en la muerte sobre Mercy.;So I respectfully ask you if you could speak in death about Mercy.
Muchas gracias hermana. Tener misericordia, tener compasión, pensar en los demás.;Thank you very much sister. To have mercy, to have compassion, to think about others.
En otras palabras, para ponerte en los zapatos de otra persona, para sentir lo que siente la otra persona.;In other words, to put yourself in someone else's shoes, to feel what the other person feels.
Cuando alguien dice que quiero ponerme en tus zapatos significa lo que sientes?;When someone says I want to put myself in your shoes it means what are you feeling?
¿Estás ansioso? ¿Estás triste? ¿Estás enfermo? ¿Estás en necesidad?;Are you anxious? Are you sad? Are you sick? Are you in need?
¿Y si fuera yo quien estaba en esa condición lo que querría de la gente?;And I say if it were me who was in that condition what would I want from people?
¿Qué esperaría de otros? Espero que otros me ayuden.;What would I expect from others? I would hope that others would help me.
Consígueme. Extender una mano de ayuda. Dame una palabra de esperanza.;Comfort me. Extend a helping hand. Give me a word of hope.
Eso es lo que uno esperaría, ¿verdad? Eso es ponerte en los zapatos de alguien más.;That that is what one would expect, right? That is to put yourself in someone else's shoes.
Cuando haces esto entonces se llama tener misericordia, porque hay que pensar que la persona está sufriendo,;When you do this then that is called having Mercy, because one needs to think that person is suffering,
esa persona siente dolor o tristeza, se pierde algo básico.;that person is feeling pain or sadness, they are missing something basic.
Así que si fuera yo lo que haría para que esa persona espere lo mejor de mí, Mercy.;So if it were me what would I do so that person expects the best of me Mercy.
Por eso dice que el Señor tenía tanta Misericordia porque la humanidad estaba muerta como resultado del pecado viviendo una vida pecaminosa constantemente;So that is why it says that the Lord had so much Mercy because humankind was dead as a result of sin living a sinful life constantly
y estaban muertos a Dios. Pero Dios en esa misericordia dijo que voy a tener misericordia con toda esta gente;and they were dead to God. But God in that Mercy said I am going to have mercy with all of these people
y les voy a dar una forma de salvación.;and I am going to give them a way of Salvation.
Voy a enviarles al Mesías para que pueda salvarlos, cuidarlos, mantenerlos,;I am going to send them the Messiah so that he may save them, care for them, keep them,
los protege, los pastorea para que les dé felicidad.;protect them, Shepherd them so that he may give them happiness.
Y lo que Dios hizo como un ejemplo para que también podamos hacerlo unos con otros que es Misericordia tener esa compasión;And that which God did as an example so that we also may do it with one another that is Mercy to have that compassion
y sentir el dolor de alguien más. Y si la otra persona está sufriendo entonces también sufro por esto;and to feel someone else's pain. And if the other person is suffering then I also suffer because of this
y si son felices entonces también voy a ser feliz por su felicidad.;and if they are happy then I'm also going to be happy because of their happiness.
Así que soy feliz porque eres feliz. Soy alegre pero me pongo triste si estás triste.;So I am happy because you're happy. I am joyful but I become sad if you are sad.
¿Por qué estás triste por esto y que yo también entonces así que voy a pedir a Dios que tenga misericordia;Why are you sad because of this and that me too then so I'm going to ask God to have mercy
y para ayudarte porque eso me pone triste. Esa es Mercy.;and to help you because that makes me sad. That is Mercy.
Así que, nosotros, ya que cada día estamos tratando de encontrar diferentes maneras de agradar a Dios,;So, we, since each day we are trying to find different ways to please God,
