Hermana, quisiera hacer una pregunta. Está en el libro de Proverbios 25:15.;Sister, I would like to ask a question. It is in the Book of Proverbs 25:15.
Dice: con larga paciencia se aplaca el príncipe, y la lengua blanda quebranta los huesos.;It says: by long forbearance a ruler is persuaded, and a gentle tongue breaks a bone.
Hermana, ¿podría explicar este versículo y cómo podemos aplicarlo en nuestra vida?;Sister, could you explain this verse and how we can apply it in our life?
El versículo 15 dice: con larga paciencia se aplaca el príncipe, y la lengua blanda quebranta los huesos.;Verse 15 says: by long forbearance a ruler is persuaded, and a gentle tongue breaks a bone.
Esto se refiere a una persona que tiene mucha paciencia, que no se deja llevar por la ira, el enojo ni su mal genio.;This is referring to a person who has a lot of patience, who does not get carried away by anger, rage, or their bad temper.
Al contrario, es calmada, pacífica, tranquila y tiene paciencia con su superior, que puede ser su jefe o el gerente de una empresa.;On the contrary, they are calm, peaceful, quiet, and have patience with their superior, who can also be their boss or the manager of a company.
Ese superior puede ser alguien que se enoja y te grita. Eres empleado o trabajador allí y él te grita y te humilla.;That superior can also be someone who is wrathful and yells at you. You are an employee or worker there and he yells and humiliates you.
Y tú tienes tanta paciencia con él que dice que esa persona se aplaca al ver tu actitud pacífica.;And you have so much patience with him that it says that this person is appeased by seeing your peaceful demeanor.
A eso a veces lo llamamos un buen testimonio, porque tenemos que enfrentar a quienes estudian, a sus maestros, a sus supervisores.;We sometimes call that a good testimony, because we have to face those who study, their teachers, their supervisors.
Los empleados con sus jefes o empleadores, y las personas que tienen sus negocios o empresas se convierten en jefes de sus empleados.;Employees with their bosses or employers, and people who have their businesses or companies become bosses of their employees.
Si el empleado tiene tanta paciencia con estas personas que de repente se enojan y humillan a otros, los aplaca.;If the employee has so much patience with these people who suddenly get upset and humiliate others, they appease them.
El maestro también puede ser iracundo con los estudiantes, pero si ese estudiante tiene paciencia, aplaca a su maestro y lo hace calmarse.;The teacher can also be wrathful with students, but if that student has patience, they appease their teacher and make them calm down.
Así es en sentido general: la paciencia nos ayuda a apaciguar a muchas personas fuertes e iracundas.;That is the way it is in a general sense: patience helps us appease many strong and wrathful people.
Por eso Dios dice que debemos ser pacientes, mansos, modestos y humildes. Dios siempre nos enseña eso.;That is why God says we should be patient, meek, modest, and humble. God always teaches us that.
Dice: ¿cómo será beneficiosa esa paciencia? Que quebranta los huesos, ilustrando simbólicamente que esta paciencia quebranta incluso un hueso que es difícil de romper.;It says: how will that patience be beneficial? It breaks a bone, illustrating symbolically that this patience breaks even a bone that is hard to break.
La ablanda. Así que nuestra paciencia ayuda a muchas personas, y Dios quiere que seamos pacientes, mansos, modestos y humildes en todos los aspectos de la vida.;It softens it. So our patience helps many people, and God wants us to be patient, meek, modest, and humble in all aspects of life.
En nuestro matrimonio, nuestra familia, el trabajo, el estudio, los negocios, en todo debe prevalecer nuestra paciencia. Eso es todo.;In our marriage, our family, work, study, business, in everything our patience should prevail. That is it.
