Quería empezar, hermana, mi pregunta con una premisa,;I wanted to start, sister, my question with a premise,
y es que nuestro Dios nos creó para elogiar Su gloria,;and it is that our God created us to praise His glory,
y quiero que yo quisiera correlacionar esto con el versículo en la Biblia en Eclesiastés 5 versículo1.;and I want I wanted to correlate this with the verse in the Bible in Ecclesiastes 5 verse1.
Sí, lee, 'Walk prudentemente cuando vas a la casa de Dios;Yes, it reads, 'Walk prudently when you go to the house of God
y acercarse a escuchar, en lugar de dar el sacrificio de los tontos,;and draw near to hear, rather than to give the sacrifice of fools,
porque no saben que hacen el mal. Hermana Mar Lisa, guarda estos Las cosas en mente,;for they do not know that they do evil.' Sister Mar Lisa, keeping these St things in mind,
Quería preguntarle si puede enseñarnos, hermana, cuando nos presentamos ante Dios para alabarle,;I wanted to ask you if you can teach us, sister, when we present ourselves before God to praise him,
para honrarlo, ¿cómo podemos hacer por Dios para recibir verdaderamente esa alabanza;to honor him, how can we do for God to truly receive that praise
y tal vez no estar ofreciendo un sacrificio de tontos, pero que Dios está satisfecho con la alabanza que presentamos?;and not maybe be offering a sacrifice of fools, but that God is pleased with the praise we present?
Bien, bien, físicamente, de vuelta en ese momento cuando el templo existía, cuando el Templo del Señor estaba alrededor;Okay, well, physically, back in that time when the temple existed, when the Temple of the Lord was around
y la gente iría a alabar y glorificar a Dios,;and people would go to praise and and glorify God,
se les da el consejo de acercarse para escuchar las cosas de Dios, para escuchar;they are given the advice to draw near to hear the things of God, to hear
y no concentrarse en los tontos, los tontos;and not to focus on the fools, those who are foolish
y que no están sanos, aquellos que no están haciendo las cosas bien, no mirarlas y su mal ejemplo,;and that are not sane, those who are not doing things right, not looking at them and their bad example,
y aparte, si lo haces, entonces lo que vas a perder es cuál fue el propósito de que vayas al templo?;and aside, if you do, then what you will be losing is what was the purpose of you going to the temple?
Era adorar a Dios o era para mirar a los que están perdiendo su tiempo;It was to worship God or was it to to look at those who are wasting their time
y no se están centrando en las cosas del Señor? Así que eso es lo que físicamente esta era la guía;and are not focusing on the things of the Lord? So that is what physically this was the guidance
y la recomendación, pero hoy como Iglesia de Dios, como es espiritual,;and the recommendation, but today as the Church of God, as it is spiritual,
y el Templo del Señor es realmente nuestro corazón, nuestro corazón debe ser el Templo del Señor,;and the Lord's Temple is really our heart, our heart should be the Temple of the Lord,
así que necesitamos proteger ese Templo para estar listos y preparados para que Dios mora en él,;so we need to protect that Temple to be ready and prepared for God to dwell in it,
y estar preparado significa sinceridad, la sinceridad de la alabanza;and to be prepared it means sincerity, the sincerity of praising
y glorificar a Dios y no enfocarse en malos testimonios o malos ejemplos de aquellos que me rodean.;and glorifying God and not focusing on bad testimonies or bad examples of those who surround me.
No debería concentrarme en eso o prestar atención, porque eso entonces se centraría en los tontos,;I should not focus on that or pay attention, because that would then be focusing on the foolish,
el sacrificio de los tontos en ese tiempo era físico, ahora es sobre mí vivir mi vida;the sacrifice of fools back in that time it was physical, now today it's about me living my life
y hacer cosas agradables a Dios y no enfocarse en los malos ejemplos de aquellos que me rodean,;and doing things pleasing God and not focusing on the bad examples of those who surround me,
Que no debería hacer lo mismo, que no debería decir, vale, bueno, él está haciendo eso,;That I shouldn't do the same, that I shouldn't say, okay, well, he is doing that,
así que por qué no debería hacerlo, bueno, él dijo eso, así que lo diré también, él vive de esa manera,;so why shouldn't I do it, well, he said that, so I'll say it too, he lives that way,
así que viviré de esa manera, porque veo que no pasa nada, pero no, cada uno de nosotros seguimos nuestro camino.;so I'll live that way, because I see that nothing happens, but no, each of us we follow our path.
y ponemos un buen ejemplo para los demás y no recibimos el mal ejemplo de los otros más bien ponemos el buen ejemplo;and we set a good example for others and we do not receive the bad example of others rather we set the good example
y continuamos y si vemos malos ejemplos, no pongo atención en mi camino;and we continue and if we do see bad examples I don't pay attention I continue in my path
y les enseño que enseño y tengo cuidado;and I teach them I teach and I am careful
y me aseguro de que Dios está contento conmigo esto es lo que quiero que Dios esté complacido conmigo;and I make sure that God is pleased with me this is what I want I want God to be pleased with me
y todo el mundo bien ese es su problema les doy un buen ejemplo;and everyone else well that's their problem I give them a good example
y si no quieren seguir bien ese ejemplo entonces no voy a ser su ejemplo esto es lo que hacemos;and if they don't want to follow that example well then I'm not going to be your example this is what we do
y esto es lo que necesitamos hacer necesitamos prestar atención usando todos nuestros sentidos siguiendo los caminos del Señor;and this is what we need to do we need to pay attention using all of our senses in following the Lord's ways
y agradar a Dios sí lo es.;and pleasing God yes is.
