Hermana Maria Louisa, tengo una pregunta sobre la Biblia si me permites.;Sister Maria Louisa, I have a question about the Bible if you allow me.
En diferentes momentos, encontramos que los siervos fieles de Dios expresaron dolor en su silencio.;At different times, we find that faithful servants of God expressed sorrow at his silence.
El rey David, por ejemplo, clamó en el Salmo 10 versículo 1.;King David, for example, cried out in Psalm 10 verse 1.
Si puedo leer, ¿por qué es usted un Señor?;If I may read, why do you stand a Lord?
¿Por qué te escondes en tiempos de problemas? Incluso vemos cómo ese silencio de Dios acompañó al pueblo de Israel durante 400 años.;Why do you hide in times of trouble? We even see how that silence from God accompanied the people of Israel for 400 years.
Ese silencio de Dios cuando no hay respuesta inmediata o inmediata es a veces más difícil de soportar que el juicio mismo.;That silence from God when there is no prompt or immediate answer is sometimes harder to bear than the trial itself.
Sin embargo, entendemos que él es Dios. Fuimos creados por él;However, we understand that he is God. We were created by him
y sabemos que debemos respetar su silencio. Pero ¿cómo podemos vivir a través de ese silencio de Dios sin caer en angustia o perder corazón?;and we know that we must respect his silence. But how can we live through that silence from God without falling into anguish or losing heart?
¿Qué debemos hacer mientras esperamos? ¿Cómo podemos mantener la firmeza;What should we do while we wait? How can we keep steadfastness
y paz en nuestros corazones sabiendo que el mismo Dios que permanece en silencio es también el que conforta;and peace in our hearts knowing that the same God who remains silent is also the one who comforts
y respuestas en su propio tiempo? Gracias. Sí. Salmo 10 verso1.;and answers in his own time? Thank you. Yes. Psalm 10 verse1.
Muy bien, hermana. En el Salmo 10:1, dice: "¿Por qué te levantas, oh Señor?;All right, sister. In Psalm 10:1, it says, 'Why do you stand aar off, O Lord?
¿Por qué te escondes en tiempos de problemas? Ya sabemos que los Salmos son profecías.;Why do you hide in times of trouble? ' We already know that the Psalms are prophecies.
Son canciones o profecías cantadas por los cantantes de Israel;They are songs or rather prophecies sung by the singers of Israel
y también por el rey David. Y el rey David, profetizó;and also by King David. And King David, he prophesied
y parecía como si estuviera orando ante Dios.;and it seemed as if he were praying before God.
Pero no era realmente David mismo quien se quejaba o rezaba al Señor.;But it wasn't really David himself who was complaining or praying to the Lord.
En cambio, fue el espíritu de Dios quien lo llevó a hablar sobre todo sobre las experiencias del Señor Jesucristo.;Instead, it was the spirit of God who took him to speak mostly about the experiences of the Lord Jesus Christ.
Los Salmos son como las experiencias del Señor Jesucristo.;The Psalms are like the experiences of the Lord Jesus Christ.
Contienen toda su vida, lo que sufrió, lo que experimentó cuando era un ser humano en la tierra.;They contain his entire life, what he suffered, what he experienced when he was a human being on earth.
Y en los Salmos encontramos todos los sufrimientos del Señor Jesucristo.;And in the Psalms, we find all the sufferings of the Lord Jesus Christ.
Porque en los Evangelios, hay muy poco sobre el Señor. Pero en los Salmos encontramos mucha profundidad;Because in the Gospels, there's very little about the Lord. But in the Psalms we find much depth
y vemos que el Señor oró día y noche perdurando muchas tribulaciones mucha persecución, malos tratos;and we see that the Lord prayed day and night enduring many tribulations much persecution, mistreatment
y humillación. Rezó constantemente. Pero hubo momentos en que el padre no respondió a su oración.;and humiliation. He prayed constantly. Yet there were times when the father did not answer his prayer.
Tenga en cuenta que el Señor Jesús se comporta como un ser humano;Keep in mind that the Lord Jesus behaved as a human being
y ese ser humano era el que necesitaba la misericordia del padre, necesitaba protección, la bendición del padre.;and that human being was the one who needed the father's mercy, needed protection, the father's blessing.
Y por eso tenía que orar constantemente. Y aquí en su oración dice:,;And that's why he had to be praying constantly. And here in his prayer he says,
¿Por qué estás lejos? ¿Por qué te escondes en tiempos de problemas?;'Why are you far away? Why do you hide in times of trouble?
Porque tenía tribulaciones. Y cuando oró, vio que nada estaba resuelto.;' Because he had tribulations. And when he prayed, he saw that nothing was resolved.
Nosotros como seres humanos experimentamos constantemente estas cosas. Vivimos constantemente a través de las tribulaciones, persecuciones por el enemigo.;We as human beings constantly experience these things. We constantly live through tribulations, persecutions by the enemy.
Vienen enfermedades, ocurren accidentes, días difíciles, escasez, problemas, enemistades con personas, calumnias, muchas cosas que se levantan,;Diseases come, accidents happen, difficult days, scarcity, problems, enmities with people, slander, many things that rise up,
se presentan contra todos nosotros. Y hay momentos en la vida cuando decimos que tenemos tanta tribulación.;present themselves against all of us. And there are times in life when we say we have so much tribulation.
Tengo tanta angustia. Hay personas que lloran amargamente por su situación, lo que están experimentando.;I have so much distress. There are people who are crying bitterly because of their situation, what they are experiencing.
Así que cuando ya tenemos conocimiento de Dios, sabemos la solución para orar a Dios;So when we already have knowledge of God, we know the solution to pray to God
y pregunte a Dios. Bueno, hay gente que dice: "Dios no me oye.;and ask God. Well, there are people who say, 'God does not hear me.
Dios no me escucha. No sé qué está pasando;God does not listen to me. I don't know what is happening.'
Bueno, eso también sucedió aquí con el Señor Jesucristo.;Well, that also happened here to the Lord Jesus Christ.
