Tengo una pregunta de la Biblia, hermana, en Eclesiastés 7:16.;I have a question from the Bible, sister, in Ecclesiastes 7:16.
No seas demasiado justo, ni seas demasiado sabio. ¿Por qué habrías de destruirte?;Do not be overly righteous, nor be overly wise. Why should you destroy yourself?
Si fuera tan amable de explicármelo. Gracias.;If you would be so kind as to explain it to me. Thank you.
Muy bien. El versículo 15 dice: todo lo he visto en mis días de vanidad. Hay un hombre justo que perece en su justicia, y hay un hombre impío que prolonga su vida en su maldad.;All right. Verse 15 states, I have seen everything in my days of vanity. There is a just man who perishes in his righteousness, and there is a wicked man who prolongs life in his wickedness.
Así que sucede lo contrario. El hombre justo perece a causa de su justicia. ¿Qué podemos decir del Señor Jesucristo? El Señor Jesucristo pereció por ser justo.;So the opposite happens. The righteous man perishes because of his righteousness. What can we say about the Lord Jesus Christ? The Lord Jesus Christ perished for being righteous.
Por otro lado, el malvado, el malo, está allí disfrutando haciendo malas obras. No, su castigo aún no ha llegado, pero llegará.;On the other hand, the wicked, the evil one is there enjoying doing evil deeds. No, his punishment hasn't come yet, but it will.
Así que lo que está diciendo es que la gente no debe ser demasiado confiada. La gente no debe ser demasiado confiada diciendo: oh, no, soy justo, soy perfecto, soy recto, no peco, así que nada malo me va a pasar.;So what it's saying is that people shouldn't be overconfident. People shouldn't be overconfident saying, 'Oh, no. I'm righteous. I'm perfect. I'm upright. I don't sin, so nothing bad is going to happen to me.'
Por otro lado, esa persona de allá, es un pecador y es malvado. Creo que le van a pasar cosas malas muy pronto, cosas desagradables.;On the other hand, that person over there, he is a sinner and he is evil. I believe that bad things are going to happen to him very soon, unpleasant things.
Y resulta que sucede lo contrario. Cuando eso sucede, la gente se desanima. La gente se descorazona. La gente se asombra.;And it turns out that the opposite happens. When that happens, people get discouraged. People get disheartened. People are astonished.
¿Por qué pasó eso? No lo esperaba. Esperaba que el malvado fuera castigado y que el bueno viviera bien.;Why did that happen? I didn't expect that. I expected the wicked to be punished and the good to live well.
No. Por lo tanto, Dios nos enseña que en la vida, en la vida material que llevamos, pueden suceder muchas cosas.;No. Therefore, God teaches us that in life, in the material life we lead, many things can happen.
El malvado puede vivir muchos años y puede tener mucho dinero y vivir bien. Y los justos, los que agradan a Dios, pueden vivir apenas con lo que necesitan y carecer de muchas cosas o tener una vida muy corta.;The wicked can live many years and can have a lot of money and live well. And the righteous, those who please God, may live just barely with what they need and lack many things or have a very short life.
Quizás eso sucede porque eso es lo que Dios enseña. Que no son tanto las cosas materiales en la vida lo que más importa. La vida eterna, nuestra vida espiritual es lo más importante.;Perhaps that happens because that is what God teaches. That it's not so much the material things in life that matter so much. Everlasting life, our spiritual life is the most important thing.
Ese es un lado. Por otro lado, dice que después de ver al hombre justo perecer a pesar de su justicia mientras el malvado a través de su maldad prolonga sus días, uno no debe ser demasiado justo ni demasiado sabio.;That's one side of it. On the other hand, it says that after seeing the righteous man perish despite his righteousness while the wicked man through his wickedness prolongs his days, one should not be overly righteous nor overly wise.
En otras palabras, una persona debe ser moderada, justa, equilibrada y no extrema en sus acciones o en los asuntos de la vida.;In other words, a person must be moderate, fair, balanced and not extreme in their actions or in matters of life.
Así que se vuelve demasiado justo y por eso empieza a juzgar a los demás, señalando sus faltas y negándose a perdonarlos.;So he becomes overly righteous and because of that he starts judging others, pointing out their faults and refusing to forgive them.
Como resultado, a la gente empieza a disgustarle y hasta busca maneras de hacerle daño, pensando que es demasiado estricto, demasiado extremo.;As a result, people begin to dislike him and even look for ways to harm him, thinking he's too strict, too extreme.
Ya no lo ven como justo sino como duro o inhumano. Preguntan: ¿cómo es que no se pone en el lugar de otro? ¿Por qué no muestra compasión? ¿Por qué no es más flexible?;They no longer see him as righteous, but as harsh or inhumane. They ask, 'How can he not put himself in someone else's shoes? Why doesn't he show compassion? Why isn't he more flexible?'
Así que eso es lo que enseña. En la vida debemos ser flexibles y no ser demasiado exagerados ni demasiado indulgentes o tolerantes, ¿verdad? Ni demasiado estrictos tampoco.;So that's what it teaches. In life, we must be flexible and not be too exaggerated nor too lenient or tolerant, right? Not too strict either.
Pero debe haber flexibilidad y equidad en nuestro comportamiento hacia los demás para que todos estén bien, haya armonía, la gente esté feliz y todo vaya bien.;But there should be flexibility and fairness in our behavior toward others so that everyone is well so that there's harmony, people are happy and everything goes well.
Así que no vayas al extremo, sino sé moderado y equilibrado. Encuéntrate en el punto medio. Eso es lo que enseña, ¿verdad?;So don't go to the extreme, but be measured and moderate. Meet in the middle. That's what it teaches, right?
La práctica de las cosas de la vida, sea lo que sea, el trabajo, los cargos, los gobiernos, pues todo. Está dando una lección general.;The practice of the things of life, whatever it is, work, positions, governments, well, everything. It's giving a general lesson.
Y él estaba allí observando lo que la gente hacía. Así que muchas veces una persona por ser demasiado estricta y recta a la perfección es llevada a la muerte.;And he was there watching what people were doing. So many times a person for being too strict and upright to perfection is then led to death.
Porque por ejemplo la acusan de algo y entonces ella por decir la verdad enfrenta la muerte. Entonces de repente alguien le dice: no digas eso, di que no sabes nada o hazte el desentendido.;Because for example they accuse him of something and then he for telling the truth faces death. Then suddenly someone tells him no don't say that say that you don't know anything or pretend to be clueless.
Así que se hace el desentendido y entonces no es acusado. Pero como era tan estricto, se acusó a sí mismo en lugar de hacerse el desentendido para defender su vida.;So he pretends to be clueless and then he isn't accused. But because he was so strict, he accused himself instead of pretending to be clueless to defend his life.
Y al acusarse a sí mismo, lo llevan a la muerte o a la cárcel. ¿Verdad? Estas son las cosas que suceden en la vida.;And by accusing himself, they lead him to death or to jail. Right? These are the things that happen in life.
Haz todo con sabiduría, todo con sabiduría para que no perjudiquemos a nadie. Haz las cosas con moderación.;Do everything wisely, everything with wisdom so that we don't harm anyone. Do things in moderation.
Con moderación para que todos estén felices y no haya errores ni fracasos en la vida de los demás. No en mí, no en los demás, no en los involucrados.;In moderation so that everyone is happy and there are no mistakes or failures in the lives of others. Not in me, not in others, not in those involved.
Sino para que la gente, todas las personas, puedan recibir una lección, una experiencia, una bendición o un castigo, y que todo sea justo.;But so that people, all people, can receive a lesson, an experience, a blessing or a punishment, and that everything is fair.
Así que lo que enseña es: haz las cosas con moderación, sé sabio.;So what it's teaching is do things in moderation, be wise.
