¿Estás completamente seguro?;Are you absolutely sure?
¿Hasta qué punto es cierto?;How true is that?
¿No crees que algo no encaja?;Don’t you think something doesn’t add up?
¿No crees que es arriesgado?;Don’t you think it’s risky?
¿No crees que esto podría fallar?;Don’t you think this could fail?
¿No crees que falta algo?;Don’t you think something is missing?
¿No estaremos apresurando las cosas?;Could we be rushing things?
¿No estaremos asumiendo demasiado?;Could we be assuming too much?
¿No estaremos complicándolo demasiado?;Could we be overcomplicating it?
¿No estaremos dejando algo fuera?;Could we be leaving something out?
¿No estaremos dejando pasar algo importante?;Could we be overlooking something important?
¿No estaremos exagerando?;Could we be overreacting?
¿No estaremos yendo demasiado rápido?;Could we be moving too fast?
¿No existe otra alternativa?;Isn’t there another option?
¿No faltará información?;Could we be missing information?
¿No habría otra salida?;Could there be another way out?
¿No hay otra forma?;Isn’t there another way?
¿No podría generar problemas?;Couldn’t that create problems?
¿No podría salir distinto?;Couldn’t this turn out differently?
¿No podría salir mal?;Couldn’t this go wrong?
¿No podría tener consecuencias?;Couldn’t this have consequences?
¿No será demasiado arriesgado?;Could this be too risky?
¿No será demasiado pronto para decidir?;Could it be too soon to decide?
¿No será demasiado tarde después?;Could it be too late later on?
¿No será demasiado tarde?;Wouldn’t it be too late?
¿No será muy pronto?;Could it be too soon?
¿No te deja dudas?;Doesn’t it leave you with doubts?
¿No te genera dudas?;Doesn’t that raise questions for you?
¿No te genera incertidumbre?;Doesn’t this create uncertainty for you?
¿No te parece demasiado optimista?;Doesn’t that seem too optimistic?
¿No te parece demasiado pronto?;Doesn’t it seem too soon?
¿No te parece raro?;Doesn’t that seem odd to you?
¿No te parece una apuesta muy alta?;Doesn’t that seem like a big gamble?
¿No te parece una decisión apresurada?;Doesn’t that seem like a rushed decision?
¿Qué pasa si cambia todo?;What if everything changes?
¿Qué pasa si esto empeora?;What if this gets worse?
¿Qué pasa si esto no cambia nada?;What if this changes nothing?
¿Qué pasa si no funciona?;What happens if it doesn’t work?
¿Qué pasa si no obtenemos resultados?;What happens if we don’t get results?
¿Qué pasa si todo cambia?;What happens if everything changes?
¿Qué tan confiable es eso?;How reliable is that?
¿Qué tan confiable te parece?;How reliable does it seem to you?
