¿Obedecer? ¿En qué momento, o de qué tipo de obediencia estás preguntando?;Obey? In what moment, or what type of obedience are you asking about?
¿Es obedecer a Dios, o obedecer las profecías, obedecer a la gente en su casa, a sus seres queridos?;Is it obeying God, or obeying prophecies, obeying people in your home, your loved ones?
¿En qué sentido, la profecía del Señor? ¿Obedece? Sí. Bueno, quizás,;In what sense, the Lord prophecy? So, obeying? Yes. Well, perhaps,
tal vez la gente no entiende el mensaje de lo que Dios quiere que hagamos o que seamos,;maybe people don't understand the message of what God wants us to do or to be,
y como no entendemos, nos volvemos desobedientes. Pero eso es a veces porque no entendemos el mensaje.;and since we don't understand, we become disobedient. But that's sometimes because we don't understand the message.
No entiendo lo que Dios está tratando de decirme.;I don't understand what God is trying to tell me.
No comprendo, o tal vez no estoy reflexionando sobre lo que Dios me ordena hacer.;I'm, I'm not comprehending, or maybe I'm not reflecting on what God is commanding me to do.
Por ejemplo, hermanos y hermanas, la mayoría de nosotros, tal vez incluso lleguemos a un punto de perder confianza,;For example, brothers and sisters, the majority of us, we maybe even reach a point of losing trust,
y nos olvidamos de Dios. Dudamos de Dios y perdemos nuestra confianza en Él, porque tal vez lo estás haciendo bien;and we forget about God. We doubt God and lose our trust in Him, because maybe you're doing well
y la tribulación viene a su manera. Entonces te desesperas, gritas, lloras, estás angustiado, intentas;and tribulation comes your way. Then you become despaired, you scream, you cry, you're anguished, you try
y encontrar a alguien para arreglar tu problema, y olvidaste que Dios existe.;and find someone to fix your problem, and you forgot that God exists.
Olvidaste que Dios dijo: 'Confía en mí, cree en mí.;You forgot that God said, 'Trust in me, believe in me.
Cuando tengas tribulación, dolor, problema, llámame;When you have tribulation, pain, a problem, cry out to me.'
Y te olvidaste, y en ese momento lo que haces es intentarlo;And you forgot, and in that moment what you do is try
y encontrar a alguien más. 'Oh, estás herido, tuviste un ataque que tenías que ir al médico,';and find someone else. 'Oh, you're hurt, you had an attack that you had to go to the doctor,'
y luego lloras y llamas a todas tus familias diciendo: "¿Qué hago?;and then you cry and call all your families saying, 'What do I do?
Y todos gritan y están desesperados. En ese momento has olvidado que Dios existe, en lugar de decir: "Señor,;' and everyone screams and are in despair. In that moment you have forgotten God exists, rather than saying, 'Lord,
ten piedad,' en lugar de decir, 'Oh Señor, vale, si vas a tomar a este ser querido, bien,;have mercy,' rather than saying, 'Oh Lord, okay, if you're going to take this loved one, fine,
pero si no, entonces sane. Eso es lo que necesitas hacer: 'Señor, cura, protegenos de este problema,;but if not, well then heal them.' That's what you need to do: 'Lord, heal, protect us from this problem,
de este accidente, o de esta catástrofe. Quizá haya un terremoto;from this accident, or from this catastrophe.' There's maybe an earthquake
