Mi pregunta se basa en Efesios 6 12. 612. ¿Puedo leer seis doce en Efesios 6 12?;My question is based on Ephesians 6 12. 612. May I read six twelve in Ephesians 6 12?
Sí, de nosotros no luchamos contra la carne y la sangre, sino contra los principados, contra los Poderes,;Yes, from we do not wrestle against flesh and blood, but against principalities, against Powers,
contra los gobernantes de la oscuridad de esta era, porque el ejército espiritual de la maldad en los lugares celestiales.;against the rulers of the darkness of this age, because spiritual host of wickedness in the Heavenly places.
Antes de venir a esta iglesia, no creía en Satanás ni en la manifestación del diablo.;Before I came to this church, I did not believe in Satan or the manifestation of the devil.
Para mí fue bastante sorprendente cuando aprendí esto de ti, e incluso fui resistente a aceptarlo.;For me it was rather surprising when I learned this from you, and I was even resistant in accepting it.
Creo más en la maldad del hombre, pero no que alguien como Satanás pueda estar haciendo tanto mal,;I believe more in the wickedness of man, but not that someone like Satan could be doing so much evil,
y aprendí esto de ti. Y tuve una experiencia que empeoró a través de la pandemia,;and I learned this here from you. And I had an experience that became worse through the pandemic,
acoso por mis vecinos, y ha llevado a través del tiempo.;harassment for my neighbors, and it has carried Through Time.
Aquí estoy recibiendo gran ayuda y principalmente concentrándome en la manifestación de Satanás o el diablo que está tomando posesión de estos vecinos.;Here I'm receiving great help and mostly concentrating on the manifestation of Satan or the devil who is taking hold of these neighbors.
Pero cuando rezo, lo que también viene a la mente es la maldad del hombre,;But when I pray, what also comes to mind is the wickedness of man,
que es lo que sabía antes de venir a la iglesia, especialmente cuando se prolonga. ¿Cómo puede alguien ser tan malo?;which is what I knew before I came to church, especially when it's prolonged. How could someone be so wicked?
Para que alguien sea usado, si alguien es amable, ¿cómo puede el diablo utilizarlos durante tanto tiempo?;For someone to be used, if someone is kind, how can the devil use them for such a long time?
Y cuando oramos y reaccionamos contra esto, ¿deberíamos concentrarnos en el diablo o también en el componente humano?;And when we pray and react against this, should we just concentrate on the devil or also the human component?
Muy bien. Al diablo siempre le gusta usar humanos, pero a veces los humanos dan esa oportunidad.;Very well. The devil always likes using humans, but sometimes humans give that opportunity.
Los humanos dan la oportunidad al diablo de hacer algo malo,;Humans give the opportunity to the devil to do something wicked,
por eso hay pensamientos malvados en los seres humanos. Nosotros como seres humanos, siempre tenemos pensamientos,;that is why there are wicked thoughts in human beings. Us as human beings, we always have thoughts,
y entre esos pensamientos tenemos buenos pensamientos y tenemos malos pensamientos.;and among those thoughts we have good thoughts and we have bad thoughts.
El diablo sabe, conoce los comportamientos de la gente, y si esta persona da la oportunidad al diablo para envidiar,;The devil knows, he knows people's behaviors, and if this person gives the opportunity to the devil to Envy,
por ejemplo, entonces la persona siente envidia por su vecino porque su vecino prospera o está prosperando o progresando,;for example, then the person feels Envy about their neighbor because their neighbor prospers or is prospering or progressing,
así que sienten envidia, y el diablo está sabiendo que están sintiendo envidia.;so they feel envy, and the devil is knowing that they are feeling Envy.
Así que el diablo viene y viene con fuerza y pone un espíritu de envidia para que pueda estar profundamente arraigado;So the Devil comes and comes with strength and places a spirit of Envy so it can be deeply rooted
y más fuerte, para que la envidia de esa persona se sienta en contra de su vecino.;and stronger, so that Envy of that person is feeling against their neighbor.
Sólo quieren hacerles daño. Pero al contrario, si este vecino siente algún tipo de envidia,;They just want to harm them. But on the contrary, if this neighbor feels some sort of Envy,
pero esta persona tiene el temor de Dios, cuando hay temor de Dios,;but this person has the fear of God, when there is fear of God,
cuando hay conocimiento de Dios o conocimiento de hacer el bien de ser benevolente, entonces sienten esa envidia;when there is knowledge of God or knowledge of doing good of being benevolent, then they feel that envy
y dicen, oh, me siento envidia. No, que Dios me mantenga alejado de esto, que me mantenga alejado de esto,;and they say, oh I'm feeling Envy. No, may God keep me from this, keep me from this,
porque no quiero sentir envidia contra esa persona, ya ves. Así que Dios viene;because I do not want to feel envy against that person, you see. So God comes
y los ayuda y los ayuda porque la persona reconoce;and helps them and helps them because the person acknowledges
y dice, no quiero sentir envidia, quiero tener miedo de Dios;and says, no I don't want to feel Envy, I want to have fear of God
y agradar al Señor en todo. Mientras que la otra persona que le gusta;and please the Lord in everything. While the other person who likes
y siente la envidia, y dan más oportunidades, por lo que no se preocupan por Dios o agradan a Dios en nada,;and feels the envy, and they give more opportunities, so they do not care about God or pleasing God in anything,
pero esa es su tendencia, y así estos espíritus malvados vienen los posee;but that is their tendency, and so this wicked spirits come possesses them
y la maldad es peor. Así que el comportamiento de esta persona se vuelve peor contra otras personas,;and the wickedness is worse. So the behavior of this person becomes worse against other people,
y eso es lo que sucede continuamente si la persona da esas oportunidades al diablo,;and that is what happens continuously if the person gives those opportunities to the devil,
y otras cosas también, otros comportamientos también, hasta que la persona se convierte en un lugar de residencia para los espíritus malignos.;and other things as well, other behaviors as well, until the person becomes a dwelling place for Wicked spirits.
Y es por eso que el Apóstol dice esto aquí, que no luchamos contra Flesh;And that is why the Apostle says this here, that we do not wrestle against Flesh
y Sangre contra los seres humanos pero contra los principados, contra los espíritus malignos.;and Blood against human beings but against principalities, against Wicked spirits.
Eso es lo que estamos luchando contra. Nosotros que conocemos bien, tenemos el miedo de Dios;That is what we are fighting against. We who know good, we have the fear of God
y queremos complacer al Señor. Luchamos contra lo que sentimos.;and we want to please the Lord. We are fighting against what we're feeling.
Así que siento, siento que estoy enfadada con esta persona;So I feel, I feel that I'm angry against this person
y no me han dado ninguna razón. ¿Qué podría ser eso?;and they haven't given me any reasons to. What could that be?
¿Soy envidiable? ¿Me siento envidia? No. Si es así, el Señor me mantiene alejado de eso,;Am I envious? Am I feeling Envy? No. If it's so then Lord keep me from that,
porque no quiero sentir esto. Señor, me siento celoso o rencor contra esta persona,;because I do not want to feel this. Lord I am feeling jealousy or grudges against this person,
mantenme de este Señor, porque no quiero sentir esto. Estoy luchando, esa es nuestra lucha.;keep me from this Lord, because I don't want to feel this. I am fighting, that is our fight.
Así que el diablo quiere que tengamos esos rencores;So the devil at from one point wants for us to have those grudges
y para que yo haga cosas malas. Pero al otro lado, ya que quiero complacer al Señor;and for me to do wicked things. But on the other side, since I want to please the Lord
y sé benevolente, digo que el Señor me ayude, ayúdame a quitarme esto.;and be benevolent, I say Lord help me, help me to take this away.
Así que estoy luchando y esta lucha es constante. Esta es una batalla constante cada día,;So I am fighting and this fight is constant. This is a constant battle every day,
porque cada día el diablo pone trampas y obstáculos en nuestro camino;because every day the devil places traps and obstacles in our way
y trabajar en la escuela en la compañía de la ciudad en su casa con su familia con sus amigos en todo.;and work at school at the company in the city in your home with your family with your friends in everything.
El diablo está allí colocando esas piedras humillantes, esas dificultades, para que caigamos en el Trampa.;The devil is there placing those humbling Stones, those difficulties, for us to fall in the Trap.
Esa es la lucha constante que tenemos, y vamos contra esos principados,;That is the constant fight that we have, and we are going against those principalities,
los gobernantes de la oscuridad de esta era, contra los ejércitos espirituales de la maldad.;the rulers of the darkness of this age, against spiritual hosts of wickedness.
Pero aquí dice, para ir en contra de esa batalla constante,;But it says here, in order to go against that constant battle,
tenemos que poner en la armadura de Dios, y la armadura es ésta: creer a Dios,;we need to put on the armor of God, and the armor is this: to believe God,
confiar en él, querer hacer su voluntad, tener Doctrina;to trust in him, to want to do his will, to have Doctrine
y conocimiento del Señor, para agradar al Señor en todo, para ser firmes en el Señor,;and knowledge of the Lord, to please the Lord in everything, to be steadfast in the Lord,
orar mucho, rechazar todas esas cosas negativas y malas.;to pray a lot, to reject all those negative and wicked things.
Aunque esa es nuestra lucha y esa es la armadura que debemos poner,;Though that is our fight and that is the armor that we must put on,
esa fe que tenemos en el Señor, nuestra confianza en él, esa es la lucha.;that faith that we have in the Lord, our trust in him, that is the fight.
Así que también por otro lado, de lo que hablaremos más tarde sobre Witchcraft;So also on the other hand, which we will speak of later on about Witchcraft
y maldiciones, eso es otra cosa. Ese es el pan de la gente que está fuera del mundo que hace la vida de hacer estas cosas.;and curses, that is something else. That is the bread of the people outside in the world that make a living off of doing these things.
Así es como viven constantemente cuando Brujería y maldiciones;That is how they make a living constantly when Witchcraft and curses
y hacer cosas malas por envidia. Y nosotros como iglesia somos víctimas a veces de todas estas cosas,;and doing wicked things out of envy. And we as a church we are victims sometimes of all of these things,
porque la gente que nos envidia, envidian porque vas a la iglesia porque cambias porque estás viviendo una buena vida porque eres feliz;because people they Envy us, they envious because you go to church because you change because you're living a good life because you're happy
y son envidiables. Así que tratan de maldecir, que también son Espíritus Brutos.;and they're envious. So then they try to curse, which are also Wicked Spirits.
¿Cuál es la pelea? Debemos orar y pedir al Señor que me mantenga alejado de la brujería, que me mantenga alejado de las maldiciones,;So what is the fight? We must pray and ask the Lord keep me from witchcraft, keep me from curses,
mantenerme alejado de las enfermedades, porque la gente llama a los espíritus malignos que otras personas enferman para que tengan enfermedades;keep me from illnesses, because people they call upon Wicked spirits that other people get sick so that they may have illnesses
y accidentes que puedan ser empobrecidos por lo que sea.;and accidents that they may be impoverished for whatever it may be.
Esa es una lucha constante que tenemos consistentemente. Por eso rezamos.;That is a constant fight that we have consistently. That is why we pray.
Alguien podría decir, pero cada día en la iglesia ¿por qué rezamos todo el tiempo leyendo la Biblia pidiendo a Dios?;Someone might say, but every day at church why do we pray all the time reading the Bible asking God?
Sí, porque lo necesitamos, porque necesitamos a Dios,;Yes, because we need it, because we need of God,
porque esa es una lucha que tenemos contra el enemigo y los espíritus constantemente.;because that is a fight that we have against the enemy and the spirits constantly.
Así que si tenemos paz, estamos bien, tenemos felicidad, es porque nuestras oraciones han funcionado,;So if we have peace, we are well, we have happiness, it's because our prayers have worked,
nuestra lucha que hemos trabajado. Así que nuestra lucha es dura, como diría la gente,;our fight that we have has worked. So our fight is a tough one, as people might say,
una dura. Es difícil que tengamos esta pelea constantemente.;a tough one. It's a tough one that we have this fight constantly.
Pero también tenemos al Señor, él nos da una solución.;But we also have the Lord, he gives us a solution.
Él dice estar de pie y ceñir sus caminos con la verdad, habiendo puesto el pectoral de la justicia;He says stand and gird your ways with truth, having put on breastplate of righteousness
y habiendo disparado vuestros pies con el evangelio, el verdadero Evangelio del Señor,;and having shot your feet with the gospel, the true Gospel of the Lord,
tomar el escudo que es nuestro Señor Jesucristo Nuestro escudo que nos ayuda, Nuestro casco,;to take the shield which is our Lord Jesus Christ Our Shield who helps us, Our helmet,
que es algo que pones en tu cabeza, ese es el casco de nuestro Dios, el Espíritu Santo,;which is something you put on your head, that's the helmet of our God, the Holy Spirit,
que está con nosotros, que nos habla, que nos hace promesas. y así nos volvemos más fuertes;that is with us, who speaks to us, who makes us promises. and so we become stronger
y confiamos más. Eso es lo que es esto. Así que ponemos la armadura de Dios, el poder de Dios,;and we trust more. That is what this is. So we put on the armor of God, God's power,
La protección de Dios, y ponemos esa armadura y luchamos contra el enemigo.;God's protection, and we put on that armor and we fight against the enemy.
¿Hasta cuándo terminará esta pelea? Cuando es que este versículo donde dice que no luchamos contra la carne;Up until when will this fight end? When is it that this verse where it says that we do not wrestle against flesh
y sangre pero contra principados contra el enemigo hasta cuando tenemos esta batalla?;and blood but against principalities against the enemy up until when do we have this battle?
Hasta el día que morimos. Así que ese es el día que termina la batalla,;Until the day that we die. So that's the day that the battle ends,
y el Señor dirá que has vencido, has ganado, has triunfado, el Señor dirá:,;and the Lord will say you overcame, you won, you triumphed, the Lord will say,
y nos dará la corona de la vida. Esa es nuestra lucha.;and he will give us the crown of life. That is our fight.
Tenemos que salir. Que el Señor nos ayude.;We have to go forth. May the Lord help us.
Que el Señor te ayude a entender las cosas de Dios;May the Lord help you to understand the things of God
y el camino del Señor y seguir adelante.;and the way of the Lord and to press on.
Gracias.;Thank you.
