Hermana, tengo dos preguntas, una personal y una de la Biblia.;Sister, I have two questions, one personal and one from the Bible.
El de la Biblia se refiere a lo que está escrito en Apocalipsis en el capítulo 13 donde habla de las dos bestias.;The one from the Bible refers to what's written in Revelation in chapter 13 where it talks about the two beasts.
Y es algo que no está claro para mí. Ah, sí.;And it's something that's not quite clear to me. Ah, yes.
Dos bestias. Sobre las dos bestias. Sí. Sí. ¿Y qué significa eso?;Two beasts. About the two beasts. Yes. Yes. And so you ask, 'What does that mean?
Sí, señora. Muy bien. Apocalipsis es un libro lleno de misterios.;' Yes, ma'am. All right. Revelation is a book full of mysteries.
En el primer capítulo cuando Dios dio la revelación a Juan porque esta es la revelación que Dios dio al apóstol Juan.;In the first chapter when God gave the revelation to John because this is the revelation that God gave to the apostle John.
La historia dice que John era prisionero en una isla llamada la isla de Patmas.;The story says that John was a prisoner on an island called the island of Patmas.
Él estaba allí en la cárcel y mientras allí recibió la revelación;He was there in prison and while there he received the revelation
y el Señor le dijo en el capítulo uno porque a veces para comprender tenemos que leer desde el principio.;and the Lord said to him in chapter one because sometimes to understand we have to read right from the beginning.
Así que aquí en el capítulo 1 versículo uno dice la revelación de Jesucristo que Dios le dio para mostrar a sus siervos cosas que deben ocurrir en breve.;So here in chapter 1 verse one it states the revelation of Jesus Christ which God gave him to show his servants things which must shortly take place.
Dice cosas que deben ocurrir en breve. Y él envió;It says things which must shortly take place. And he sent
y lo significó por su ángel a su siervo Juan que dio testimonio de la palabra de Dios;and signified it by his angel to his servant John who bore witness to the word of God
y al testimonio de Jesucristo a todas las cosas que vio.;and to the testimony of Jesus Christ to all things that he saw.
Así que dice que esto era para el propósito de lo que iba a suceder en breve.;So it says that this was for the purpose of what was going to happen that shortly.
Que en poco tiempo del pozo de Dios puede durar muchos años porque no es nuestro momento.;That shortly of God's well it can last many years because it's not our shortly.
Cuando digo en breve, podría ser meses sin duda. Pero con el Señor, bueno, ha pasado más de 2,;When I say shortly, it could be months surely. But with the Lord, well, it's been over 2,
000 años desde que el Señor estaba en la tierra. Él dijo a Juan, cosas que pronto deben tener lugar,;000 years since the Lord was on earth. He said to John, things which must shortly take place,
cosas que van a suceder. Por eso hay muchos misterios.;things that are going to happen. That's why there are many mysteries.
Hay mucha revelación de que Dios no quería explicarle a Juan.;There's a lot of uh revelation that God didn't want to explain to John.
Hay muchas cosas que entendemos y comprendemos acerca de la revelación pero hay otras que no podemos entender.;There are many things that we understand and comprehend about revelation but there are others that we can't understand.
Así que cuando uno lee por ejemplo sobre las dos bestias dice que Juan dice que estaba sobre la arena del mar.;So when one reads for example about the two beasts it says John says that he stood on the sand of the sea.
Estas revelaciones llegaron a través de visiones. Dios dio a Juan visiones y en las visiones fue transportado en espíritu a muchos lugares;These revelations came through visions. God gave John visions and in the visions he was transported in spirit to many places
y Dios lo puso en un lugar determinado y allí le dio una revelación de algo.;and God placed him in a certain place and there gave him a revelation of something.
Y así dice aquí, me quedé sobre la arena del mar.;And so he says here, I stood on the sand of the sea.
Significando que el Espíritu Santo lo llevó allí en esa visión;Meaning the Holy Spirit took him there in that vision
y le pareció que estaba en la orilla del mar.;and it seemed to him that he was on the shore of the sea.
Y ahí es cuando dice que vio a una bestia levantarse que tenía siete cabezas;And that's when he says he saw a beast rising up that had seven heads
y 10 cuernos. Esas siete cabezas y diez cuernos aparentemente eran el Imperio Romano.;and 10 horns. Those seven heads and 10 horns apparently were the Roman Empire.
El Imperio Romano porque el Imperio Romano gobernó durante 500 años;The Roman Empire because the Roman Empire ruled for 500 years
y gobernó casi todo el mundo. Nombraron a los Césares.;and it ruled almost the entire world. They appointed the Caesars.
No eran reyes sino Césares. Y muchas de estas personas eran muy malas.;They weren't kings but Caesars. And many of these people were very evil.
Y como el evangelio del Señor Jesucristo ya estaba allí,;And since the gospel of the Lord Jesus Christ was already there,
había mucha persecución de los cristianos, los seguidores del Señor;there was a lot of persecution of the Christians, the followers of the Lord
y también el pueblo, los que creían en el Señor en el evangelio.;and also the people, those who believed in the Lord in the gospel.
Bueno, ya que vinieron de los romanos que eran ídolos que tenían todos sus ídolos, sus dioses,;Well, since they came from the Romans who were idoltors who had all their idols, their gods,
por cada cosa había un Dios. Esos romanos mezclaron sus ideas religiosas idólatras con el cristianismo con la palabra del Señor.;for each thing there was a God. Those Romans mixed their idolatrous religious ideas with Christianity with the word of the Lord.
Es por eso que el Señor enfatiza tanto aquí en el capítulo que estamos viendo 13 que dice que la bestia tenía siete cabezas;That's why the Lord emphasizes so much here in the chapter we're looking at 13 that says that beast had seven heads
10 cuernos y en sus cuernos 10 coronas y en sus cabezas un nombre blasfemo porque blasfemaron la palabra de Dios.;and 10 horns and on his horns 10 crowns and on his heads a blasphemous name because they blasphemed the word of God.
Y dice que la bestia que vi era como un leopardo.;And it says the beast which I saw was like a leopard.
Así que en la historia vemos que había ese gobierno y todos esos gobernantes, Césares;So in history we see that there was that government and all those rulers, Caesars
