Levántense con energía;Wake up with energy;Alzatevi con energia;Levantem-se com energia
Vamos a desayunar juntos;Let's have breakfast together;Facciamo colazione insieme;Vamos tomar café da manhã juntos
No olviden peinarse;Don't forget to comb your hair;Non dimenticate di pettinarvi;Não se esqueçam de pentear o cabelo
Hoy es un nuevo día;Today is a new day;Oggi è un nuovo giorno;Hoje é um novo dia
Es momento de organizar la mochila;It's time to organize the backpack;È il momento di organizzare lo zaino;É hora de organizar a mochila
Revisen que tengan sus cuadernos;Check you have your notebooks;Controllate di avere i quaderni;Confiram se têm os cadernos
Cierren bien la puerta;Close the door well;Chiudete bene la porta;Fechem bem a porta
No olviden darle de comer a la mascota;Don't forget to feed the pet;Non dimenticate di dare da mangiare all'animale;Não se esqueçam de alimentar o animal de estimação
Vamos a cantar una canción antes de dormir;Let's sing a song before bed;Cantiamo una canzone prima di dormire;Vamos cantar uma música antes de dormir
Lean un libro antes de dormir;Read a book before sleeping;Leggete un libro prima di dormire;Leiam um livro antes de dormir
Ayuden a poner la mesa;Help set the table;Aiutate ad apparecchiare la tavola;Ajudem a arrumar a mesa
Ayuden a recoger la mesa;Help clear the table;Aiutate a sparecchiare la tavola;Ajudem a tirar a mesa
Vamos a preparar la cena;Let's prepare dinner;Prepariamo la cena;Vamos preparar o jantar
Vayan a lavarse los pies;Go wash your feet;Andate a lavarvi i piedi;Vão lavar os pés
Dejen de correr por la casa;Stop running around the house;Smettetela di correre per casa;Parem de correr pela casa
Compartan la televisión;Share the TV;Condividete la televisione;Compartilhem a televisão
Vamos a preparar la lonchera;Let's prepare the lunchbox;Prepariamo la merenda;Vamos preparar a lancheira
No olviden su botella de agua;Don't forget your water bottle;Non dimenticate la bottiglia d'acqua;Não se esqueçam da garrafa de água
Abracen a sus abuelos;Hug your grandparents;Abbracciate i nonni;Abrace os avós
Llamemos a los abuelos;Let's call the grandparents;Chiamiamo i nonni;Vamos ligar para os avós
Es hora de salir al colegio;It's time to go to school;È ora di andare a scuola;É hora de ir para a escola
