Mi segunda pregunta está en Santiago 3, versículos 6 al 9.;My second question is in James 3, verses 6 to 9.
"Y la lengua es un fuego, un mundo de maldad. La lengua está puesta entre nuestros miembros y contamina todo el cuerpo.";And the tongue is a fire, a world of iniquity. The tongue is so set among our members that it defiles the whole body.
"E inflama el curso de la naturaleza, y ella misma es inflamada por el infierno.";And sets on fire the course of nature and it is set on fire by hell.
"Porque toda naturaleza de bestias, y de aves, y de serpientes, y de seres del mar, se doma y ha sido domada por la naturaleza humana.";For every kind of beast and bird of reptile and creature of the sea is tamed and has been tamed by mankind.
"Pero ningún hombre puede domar la lengua. Es un mal que no puede ser refrenado, llena de veneno mortal.";But no man can tame the tongue. It is an unruly evil full of deadly poison.
"Con ella bendecimos al Dios y Padre, y con ella maldecimos a los hombres, que están hechos a la semejanza de Dios.";With it we bless our God and father and with it we curse men who have been made in the similitude of God.
Hermana, ¿cómo podemos? Lo que dice el apóstol es verdad, ¿no es así? Con la lengua bendecimos a Dios y con la lengua maldecimos y causamos tanto daño.;Sister, how can we? What the apostle says is true, isn't it? With the tongue we bless God and with the tongue we curse and cause so much harm.
Él se enfoca aquí en el poder del habla. Y bueno, tiene toda la razón en lo que dice.;He's focusing here on the power of speech. And well, he has every reason for what he says.
Entonces, ¿qué podría estar tratando de enseñarnos Dios a través del apóstol Santiago y sus reflexiones sobre la lengua?;So what might God be trying to teach us through the apostle James and his reflections on the tongue?
Este miembro pequeño pero poderoso del cuerpo.;This small but powerful member of the body.
Por supuesto, esta lengua y este miembro se usa tanto para el bien como para el mal.;Of course, this tongue and this member is used for both good and evil.
Por eso en las guerras entre naciones, ¿qué juega un papel? La lengua.;That's why in wars between nations, what plays a role? The tongue.
Por qué un jefe de estado da la orden a otro y envía los misiles para destruir al otro país.;Why a head of state gives the order to another and sends the missiles to destroy the other country.
Habló, ¿no es así? Fue la lengua la que dijo eso para destruir.;He spoke, didn't he? It was the tongue that said that to destroy.
Otros dicen no, que haya paz para que las cosas se calmen. Para que eso no suceda. Para que venga la paz. Todo viene de la lengua.;Others say no, let there be peace so things calm down. So that doesn't happen. So peace comes. Everything comes from the tongue.
Sí, tiene toda la razón. Pero veamos más de cerca por qué. Antes de eso, ¿cuál era tu pregunta?;Yes, he's absolutely right. But let's take a closer look at why. Before that, what was your question?
La pregunta es, hermana, ¿cómo podemos hablar lo que es bueno?;The question is, sister, how can we speak what is good?
