¿Cuáles son los vínculos espirituales, y cómo afectan nuestra relación con el Señor?;What are spiritual bonds, and how do they affect our relationship with the Lord?
¿Qué son estos vínculos espirituales? ¿Qué son?;Okay, you're asking, what are these spiritual bonds? What are they?
Los vínculos espirituales son impedimentos, cierto. Algo que me impide recibir la bendición de Dios.;Spiritual bonds are impediments, right. Something that prevents me from receiving God's blessing.
Esta bendición puede ser material o espiritual. Bendiciones materiales, Casa, vivienda, ropa, viaje, dinero, bendición material, Salud, bendición material;This blessing can be material or spiritual. Material blessings, House, housing, clothes, travel, money, material blessing, Health, material blessing
y bendiciones espirituales, los dones espirituales y el apoyo que Dios puede darme para trabajar,;and spiritual blessings, the spiritual gifts and the support that God can give me to work,
es una bendición espiritual. Y cuando tenemos vínculos espirituales, ciertamente no podemos recibir estas bendiciones,;that is a spiritual blessing. And when we have spiritual bonds, we surely cannot receive these blessings,
material o espiritual. Un vínculo espiritual es cuando cometemos un error,;either material or spiritual. A spiritual bond is when we make a mistake,
cuando tenemos en nuestro corazón un pecado que no podemos quitar: ira, rencor, disputas, envidia o codicia,;when we have in our heart a sin that we cannot remove: anger, grudges, quarrels, Envy or greed,
o tal vez la persona es envidiable de su vecino o amigo de la familia;or perhaps person is envious of their neighbor or friend of the family
y va a hacer brujería o brujería para desearles daño.;and is going to do witchcraft or sorcery to wish them harm.
Todo esto, todos estos se convierten en vínculos espirituales que impiden que Dios me bendiga espiritual o materialmente.;All of this, all of these become spiritual bonds that prevent God from blessing me spiritually or materially.
Hay personas que pueden no hacer brujería o brujería, pero luego andan con rencor;There are people who may not do witchcraft or sorcery, but then they walk around with grudges
y enojo, no saludando a otros. La persona es I rate, habla palabras obscenos, ofende amigos;and anger, not greeting others. The person is I rate, speaks obscene words, offend friends
y tiene peleas en su matrimonio, argumentos, altercados, y por su temperamento, por su ira,;and has fights in their marriage, arguments, altercations, and because of their temper, because of their anger,
todos estos son vínculos espirituales. También hay personas que dudan.;all of these are spiritual bonds. There are also people who doubt.
Llegan a la congregación, a la iglesia, pero dudan.;They come to the congregation, to the church, but they doubt.
Ellos no creen que Dios habla. Ellos no creen que Dios los bendiga,;They do not believe that God speaks. They do not believe that God will bless them,
por lo que estos también se convierten en vínculos espirituales porque tienen incredulidad. Esos son vínculos espirituales.;so these also become spiritual bonds because they have disbelief. Those are spiritual bonds.
Los vínculos espirituales consisten en la reunión de muchas cosas que vienen a nosotros;Spiritual bonds consist of the Gathering of many things that come to us
y envuelvenos para que no podamos recibir la bendición de Dios.;and wrap us so that we cannot receive God's blessing.
