Mi pregunta está en el Evangelio según Juan 3:5.;My question is in the Gospel according to John 3:5.
Dice: "Jesús respondió: De cierto, de cierto te digo, que el que no naciere de agua y del Espíritu, no puede entrar en el reino de Dios.";It says, "Jesus answered, most assuredly I say to you, unless one is born of water and the spirit he cannot enter the kingdom of God."
Mi pregunta es, hermana, ¿cómo se experimenta nacer del agua y del espíritu en los niños que ahora son jóvenes en la iglesia?;My question is, sister, how is being born of water and of the spirit experienced by the children who are now young people in the church?
Que nacieron en la iglesia, que no han vivido en un mundo de pecado, que no viven en el libertinaje.;Who were born in the church, who have not lived in a world of sin, who do not live in debauchery.
Pero que tienen los dones espirituales, asisten a la iglesia continuamente y sirven a Dios.;But who have the spiritual gifts, attend church continually, and serve God.
¿Cómo sería nacer del agua y del espíritu en los que no han vivido en el mundo?;How would being born of water and of the spirit be in those who have not lived in the world?
Su nacimiento es todo lo que reciben de sus padres o de las personas mayores que los llevan a la iglesia.;Their birth is all they receive from their parents or from the older people who bring them to church.
Porque algunos niños no tienen padres.;Because some children don't have parents.
A menudo tienen abuelos o tíos que los llevan a la iglesia. Su ejemplo, los niños ven el ejemplo de lo que se les inculca sobre el camino de Dios.;They often have grandparents or aunts and uncles who bring them to church. Their example, children see the example of what is instilled in them about God's path.
Y comienzan a entender y comprender.;And they begin to understand and comprehend.
Ves, los niños pueden parecer que están jugando durante los estudios bíblicos, pero están prestando mucha atención.;You see, children may seem to be playing during Bible studies but they are paying a lot of attention to it.
Así que comienzan a aprender el camino del Señor y allí están naciendo del agua y del espíritu.;So they start learning the way of the Lord and there they are being born of water and spirit.
Porque nacer del agua y del espíritu es creer en el Señor Jesucristo, creer que él es Dios.;Because to be born of water and spirit is to believe in the Lord Jesus Christ, to believe that he is God.
Creer que él es el Hijo de Dios, que él es el Salvador.;To believe that he is the Son of God, that he is the savior.
Y si creemos, por lo tanto él nos da el Espíritu Santo.;And if we believe therefore he gives us the Holy Spirit.
Y el Espíritu Santo viene a morar en nuestros corazones y a enseñarnos el camino a la vida eterna.;And the Holy Spirit comes to abide in our hearts and to teach us the way to everlasting life.
Y él es quien nos pastoreará, nos guiará y nos enseñará todas las cosas.;And he is the one who will shepherd us, guide us and teach us all things.
Y eso es de lo que se trata nacer del agua y del espíritu.;And that is what being born of water and spirit is all about.
Así que nacer del agua y del espíritu se menciona aquí en el último versículo. El hermano leyó el versículo tres. Correcto. Sí.;So being born of water and spirit is mentioned here in the last verse. The brother read verse three. Correct. Yes.
Capítulo 3 de Juan versículo 5. Allí está la respuesta.;Chapter 3 of John verse 5. There is the answer.
Aquí está la respuesta. Cuando el Señor Jesús le dijo que uno debe nacer del agua y del espíritu.;Here is the answer. When the Lord Jesus told him that one must be born of water and spirit.
El hombre pensó que era físico, pero el Señor dijo: "No, no, no, no es físico. Es algo espiritual.";The man thought it was physical but the Lord said, "No, no, no, it's not physical. It's something spiritual."
Y al final da la respuesta. Aquí dice en el versículo 13: "Nadie subió al cielo, sino el que descendió del cielo, el Hijo del Hombre, que está en el cielo.";And in the end he gives the answer. Here it says in verse 13, "No one has ascended to heaven but he who came down from heaven, that is the son of man who is in heaven."
"Y como Moisés levantó la serpiente en el desierto, así es necesario que el Hijo del Hombre sea levantado.";And just as Moses lifted up the serpent in the wilderness, even so must the son of man be lifted up.
Allí está la respuesta en el versículo 15, o la respuesta a nacer del agua y del espíritu.;There is the answer in verse 15, or the answer to being born of water and spirit.
Que todo aquel que cree en él, en Jesucristo que vino del cielo y que también va a ascender al cielo.;That whoever believes in him, in Jesus Christ who came from heaven and who is also going to ascend to heaven.
No perezca, sino que tenga vida eterna.;Should not perish but have everlasting life.
Así que creer en Jesucristo es aceptarlo como el Salvador, el enviado por Dios, el precursor de la salvación que Dios envió.;So believing in Jesus Christ is accepting him as the savior, the one sent by God, the forerunner of salvation that God sent.
Quien es el mismo Dios hecho hombre y a quien Dios declaró ser el Hijo de Dios.;Who is God himself made man and whom God declared to be the Son of God.
Así que creer en él como el Hijo de Dios, como Dios y como Salvador.;So believing in him as the Son of God, as God and as savior.
Cuando crees y aceptas, en ese momento estás naciendo del agua y del espíritu.;When you believe and accept, at that moment you are being born of water and spirit.
Porque el agua y el espíritu son ambos el mismo Señor Jesucristo, el espíritu de Dios.;Because the water and the spirit are both the Lord Jesus Christ himself, the spirit of God.
Y el agua es la palabra, la doctrina del puro evangelio de Jesucristo. Esa es el agua.;And the water is the word, the doctrine of the pure gospel of Jesus Christ. That is the water.
Por eso el Señor le dijo a la mujer samaritana: "Yo soy la fuente de agua de vida eterna.";That's why the Lord said to the Samaritan woman, "I am the fountain of water of everlasting life."
"El que beba de mí tendrá vida eterna.";He who drinks from me will have everlasting life.
Así que ves que el agua es la doctrina que él predicaba, era él mismo.;So you see the water is the doctrine he was preaching, it was him.
Y el Espíritu Santo, bueno, el espíritu, cuando el Señor dijo: "Me voy pero enviaré el Espíritu Santo que estará con vosotros siempre.";And the Holy Spirit, well, the spirit, when the Lord said, "I am leaving but I will send the Holy Spirit who will be with you always."
Eso es lo que se llama nacer del agua y del espíritu. Espero que esto permanezca firme en tu mente.;That's what being born of water and spirit is called. I hope that this remains steadfast in your mind.
