Me gustaría hacerle una pregunta que he estado deseando saber por un tiempo.;I would like to ask you a question that I've been wanting to know for a while.
Está en Números 18, verso 19. Sí, hermana, 'Todas las ofrendas de las cosas santas que los hijos de Israel ofrecen al Señor,;It is in Numbers 18, verse 19. Yes, sister, 'All the heave offerings of the holy things which the children of Israel offer to the Lord,
Te he dado a ti y a tus hijos e hijas contigo como ordenanza para siempre.;I have given to you and your sons and daughters with you as an ordinance forever.
Es un pacto de sal para siempre delante del Señor contigo;It is a covenant of salt forever before the Lord with you
y tus descendientes contigo. Hermana Muriel Visa, me gustaría saber si podría explicarnos por favor cuál es el pacto de la sal?;and your descendants with you.' Sister Muriel Visa, I would like to know if you could please explain to us what is the covenant of salt?
Ahora, lo que ocurre con el pacto de sal es que el Señor había ordenado a Moisés desde el principio que cada vez que se hicieron sacrificios necesitaban poner sal sobre ellos.;Now, what occurs with the covenant of salt is that the Lord had ordered Moses from the beginning that whenever sacrifices were made they needed to put salt on them.
Dijo: "Tienes que poner sal en todos los sacrificios";He said, 'You need to put salt on all the sacrifices.'
Y Dios hizo promesas a Moisés cuando le dio las ordenanzas, y le dio todas las reglas.;And God made promises to Moses when he gave him the ordinances, and he gave him all of the rules.
Entonces, es cuando el Señor hizo el asalto al pacto,;So, this is when the Lord he made the covenant assault,
y comenzaron a obedecer usando la sal, porque esta sal tenía un significado simbólico para el futuro.;and they began to obey using the salt, because this salt had a symbolic meaning for the future.
Y en el futuro, cuando nuestro Señor Jesucristo estaba enseñando la doctrina, el evangelio, él dijo a sus apóstoles.;And in the future, when our Lord Jesus Christ was teaching the doctrine, the gospel, he told his apostles.
Dijo: "Tú eres la sal de la tierra. Tú eres la sal.;He said, 'You are the salt of the earth. You are the salt.
Si la sal pierde su sabor, entonces no sirve de nada.;If the salt loses its flavor, well, then it's of no use.
Por lo tanto, hay que echarlo. Y el Señor les dice: 'Tú eres la sal,;Therefore, it needs to be thrown out.' And the Lord tells them, 'You are the salt,
y necesitas dar sabor. Así es como sazonas la comida;and you need to give flavor. That's how you season food.'
Entonces, les decía: "Tú, los apóstoles, con tu ejemplo, con tu doctrina,;So, he was saying to them, 'You, the apostles, with your example, with your doctrine,
con el poder que Dios ha dado y cómo los ha habilitado, ellos estarían realizando la obra de evangelizar;with the power God has given and how he's empowered them, they would be realizing the work of evangelizing
y mostrando el camino de Dios. Esa era la sal. Eran la sal de la tierra,;and showing God's path.' That was the salt. They were the salt of the earth,
y esa sal aquí fue reflejada en lo que Dios había dicho a Moisés que cada sacrificio,;and that salt here was reflected on what God had said to Moses that every sacrifice,
cada animal necesita ser salado, y era Dios mirando hacia el futuro,;every animal needs to be salted, and it was God looking toward the future,
y esa sal significaba el testimonio, la doctrina y el conocimiento de Dios en el poder de Dios.;and that salt was meaning the testimony, doctrine, and knowledge of God in God's power.
Lo que una persona tiene de Dios, eso es lo que esa sal significa.;What a person has from God, that is what that salt means.
Y la sal es buena. Ahora, a veces la gente del mundo piensa que es mala suerte,;And so salt is good. Now, maybe sometimes people in the world think it's bad luck,
creen que es una mala superstición, pero no es para nosotros.;they think it's a bad superstition, but it's not for us.
Decimos: "Señor, quiero estar muy salado porque necesito sazonar;We say, 'Lord, I want to be very salty because I need to season
y dar sabor a muchas personas de lo que nos das.";and give flavor to many people of what you give us.'
Y así ese sabor, ese sazón, esa demostración de Dios, la demostración del poder de Dios, esa es la sal.;And so that flavor, that seasoning, that demonstration of God, the demonstration of God's power, that is the salt.
Vamos a continuar, tú.;Let's continue, you.
