Hermana Marine Lisa, tengo una pregunta en Obadiah, verso 17.;Sister Marine Lisa, I have a question in Obadiah, verse 17.
Abdías profeta, Abdías, Abdías, que hermano, Abdías, verso 17.;Obadiah the prophet, Obadiah, Obadiah, what, brother, Obadiah, verse 17.
Abdías, que es después de Amós, son pequeños bichos después de Joel después de Daniel,;Obadiah, which is after Amos, they are small bugs after Joel after Daniel,
entonces hay los pequeños libros de los profetas, y allí después de Joel encontramos Amós,;then there are the small books of the prophets, and there after Joel we find Amos,
entonces encontramos a Abdías en el versículo 17. Sí, señora, sí, hermano, pero en el Monte Sión habrá liberación,;then we find Obadiah in verse 17. Yes, ma'am, yes, brother, but on Mount Zion there shall be deliverance,
y habrá santidad. La casa de Jacob poseerá sus posesiones.;and there shall be holiness. The house of Jacob shall possess their possessions.
La casa de Jacob será fuego, y la casa de José llama,;The house of Jacob shall be a fire, and the house of Joseph a flame,
pero la casa de Esaú será repleta. Los encenderán,;but the house of Esau shall be stubble. They shall kindle them,
y devorarlos, y ningún sobreviviente permanecerá de la Casa de Esaú, porque el Señor ha hablado.;and devour them, and no survivor shall remain of the House of Esau, for the Lord has spoken.
Hermana María Luisa, mi pregunta es, hace este fuego, esta llama,;Sister Maria Luisa, my question is, does this fire, this flame,
tiene alguna relación con lo que está escrito en Mateo 3 11, donde lee,;does it have any relation with what is written in Matthew 3 11, where it reads,
De hecho, te bautizo con agua para arrepentirte, pero el que viene después de mí es más poderoso que yo,;I indeed baptize you with water unto repentance, but he who is coming after me is mightier than I,
cuyas sandalias no soy digno de llevar, te bautizará con el Espíritu Santo y el Fuego.;whose sandals I am not worthy to carry, he will baptize you with the Holy Spirit and Fire.
Bueno, el fuego se utiliza para destruir la materia, y al mismo tiempo para purificar.;Well, fire is used to destroy matter, and at the same time to purify.
Cuando los materiales son débiles, por ejemplo madera, leña, hojas muertas, fuego lo quema;When materials are weak, for example wood, firewood, Dead Leaves, Fire burns it
y se convierte en cenizas. Pero si quemas oro, plata, otros metales preciosos, están purificados, están limpios, ¿verdad?;and it becomes ashes. But if you burn gold, silver, other precious metals, they are purified, they are cleansed, right?
Así que el fuego es usado para todo esto. El Señor aquí siempre comparaba a la gente con hojas muertas,;So fire is used for all of this. The Lord here was always comparing the people with dead leaves,
con madera, que iba a enviar fuego, y iba a consumirlos,;with wood, that he was going to send fire, and he was going to consume them,
porque el fuego consume todo lo que no es metal precioso, y ese era el pueblo de Israel.;because fire consumes all that is not precious metal, and that was the people of Israel.
Pero eso no tiene que ver con el fuego espiritual, no tiene nada que ver con el fuego espiritual.;But that does not have to do with spiritual fire, it has nothing to do with spiritual fire.
Aunque el Señor es fuego, porque Dios nos purifica, dice que a los hijos de Dios los prueba con fuego,;Although the Lord is fire, because God purifies us, it says that to the children of God he tests them with fire,
porque los hijos de Dios son oro y plata, y los prueba como oro;because the children of God are gold and silver, and he tests them as gold
y la plata es probada, así que salen refinados y puros;and silver is tested, so they come out refined and pure
y perfecto. Pero aquí cuando habla en Obadías el Señor está diciendo que iba a exaltar su iglesia en el futuro en el versículo 17,;and perfect. But here when he speaks in Obadiah the Lord is saying that he was going to exalt his church in the future in verse 17,
dice, pero en el Monte Sión habrá liberación, que es la Iglesia de Dios,;he says, but on Mount Zion there shall be Deliverance, that is the Church of God,
pero este Remanente se refería también a un pueblo del pueblo de Israel o de Judá que sería salvo,;but this Remnant was also referring to a few people of the people of Israel or Judah who would be saved,
que verdaderamente creería en Dios y por medio de ese Remanente el Señor Jesucristo vino;who would truly believe in God and through that Remnant the Lord Jesus Christ came
y la Iglesia del Señor comenzó. Por eso dice aquí que Remnant sería santo;and the Church of the Lord began. That is why it says here that that Remnant would be holy
y la casa de Jacob, porque el pueblo de Israel vino de la casa de Jacob poseerá sus posesiones,;and the house of Jacob, because the people of Israel came from the house of Jacob shall possess their possessions,
en otras palabras las bendiciones que Dios iba a quitar de ellos porque Dios castigó al pueblo de Israel el pueblo de Judá,;in other words the blessings that God was going to remove from them because God punished the people of Israel the people of Judah,
pero guardó y protegió a un remanente a quien envió a Babilonia;but he kept and protected a Remnant whom he sent to Babylon
y por medio de ese Remanente vino el Señor Jesucristo, así todos los demás serían castigados con fuego.;and through that Remnant the Lord Jesus Christ came, so everyone else would be punished with fire.
Y así sucedió físicamente, porque cuando el ejército de Babilonia vino a Israel a Jerusalén destruyeron la ciudad;And that is how it happened physically, because when the Babylonian Army came to Israel to Jerusalem they destroyed the city
y el templo con fuego, lo prendieron fuego, todo se prendió fuego, todo fue quemado y destruido,;and the temple with fire, they set it on fire, everything was set on fire, everything was burned and destroyed,
y estos versículos 18 y 19 se cumplen que siguen aquí en esta lectura de Abdías.;and these verses 18 and 19 are fulfilled that follow here in this reading of Obadiah.
Pero es diferente del fuego espiritual y las cosas de Dios.;But it is different from the spiritual fire and the things of God.
Gracias.;Thank you.
