Hermana. Siempre me he preguntado cómo será.;Sister. I have always wondered about how it will be.
Dice que tendremos un nuevo Cielo y una nueva Tierra,;It says we will have a new Heaven and a new Earth,
y que el mar es como Cristal, y que habrá nuevas mansiones,;and that the sea is like Crystal, and that there will be new mansions,
y que Dios nos colocará en esas nuevas Mansiones.;and that God will place Us in those new Mansions.
Si este cuerpo físico permanece aquí y el espíritu sale, cuál es el propósito de tener una mansión,;If this physical body remains here and the spirit departs, what is the purpose of having a mansion,
y vamos a tener un papel o una tarea;and are we going to have a role or task
¿y llegar a la eternidad para seguir trabajando? Pero esa palabra trabaja desde allí, desde la eternidad, es muy gentil,;and arrive in eternity to continue working? But that word work from there, from eternity, is very gentle,
porque el trabajo aquí, como humanos, como materia que somos, es un trabajo forzado, difícil, oneroso, pesado, pesado,;because the work here, as humans, as matter that we are, is a forced, difficult, burdensome, heavy work,
un trabajo que a veces nos hace sufrir, nos hace llorar.;a work that sometimes makes us suffer, makes us cry.
Bueno, nos cansamos porque Dios lo hizo como un castigo. Recuerde que el Señor castigó a Adán por la desobediencia.;Well, we get tired because God made it as a punishment. Remember that the Lord punished Adam for Disobedience.
Él lo castigó y le dijo, ahora tienes que trabajar duro;He punished him and told him, now you have to work hard
y con el sudor de tu frente tendrás que adquirir todas las cosas, lo que significa de una manera muy difícil.;and with the sweat of your brow you will have to acquire all things, meaning in a very difficult way.
Así que no encontrarás comida tan fácilmente y tan modestamente,;So you won't find food so easily and so modestly,
pero el trabajo será muy difícil debido al castigo, correcto, debido a su pecado.;but the work will be very difficult because of the punishment, right, because of his sin.
Pero nosotros que ya conocemos al Señor, como cuando dice aquí del nuevo Cielo;But we who already know the Lord, just as when it says here of the new Heaven
y la nueva Tierra, tendremos nuestro trabajo, pero ya no será difícil.;and the new Earth, we will have our work, but it will no longer be difficult.
Ya no está sudando, pero eso ya será un trabajo espiritual donde todos seremos como ángeles,;It is no longer sweating, but that will already be a spiritual work where we all will be like Angels,
pero tendremos nuestros trabajos y nuestros roles, como dice Apocalipsis, como se lee allí en los Salmos.;but we will have our jobs and our roles, as Revelation says, as one reads there in Psalms.
Así que el nuevo Cielo y la nueva Tierra ya estamos experimentando.;So the new Heaven and the new Earth we are already experiencing.
Cuando llegamos a este lugar, cuando Dios nos habló por profecía,;When we came to this place, when God first spoke to us by prophecy,
Dios nos habló porque creo que todos ustedes que están aquí es porque el don de la Profecía los convenció,;God spoke to us because I believe that all of you who are here is because the gift of Prophecy convinced you,
y es por eso que seguiste. ¿Qué sentiste en esa primera profecía?;and that's why you followed. So what did you feel in that first prophecy?
Sentiste felicidad, ¿verdad? Sentiste a Joy. Sentías como si tu espíritu fuera refrescado,;You felt happiness, right? You felt Joy. You felt as if your spirit was refreshed,
como si las cargas fueran quitadas de tu alma, como si la tristeza huyera, como si comenzaras a tener esperanza,;as if burdens were taken away from your soul, as if sadness fled, as if you began to have hope,
