Tengo una pregunta en la Biblia, si me permitís, hermana, en el Evangelio según Juan,;I have one question in the Bible, if you would allow me, sister, in The Gospel according to John,
capítulo 10 Sí, Juan 10, Evangelio según Juan, capítulo 10, verso 11.;chapter number 10. Yes, John 10, Gospel according to John, chapter number 10, verse 11.
La palabra del Señor dice lo siguiente: Yo soy el Buen Pastor.;The word of the Lord reads as follows: I am the Good Shepherd.
El Buen Pastor da su vida por la Oveja. Hermana, tal vez hemos oído este versículo muchas veces,;The Good Shepherd gives his life for the Sheep. Sister, perhaps we've heard this verse many times,
pero todos nosotros que estamos en esta carrera, esta hermosa carrera espiritual,;but all of us who are in this career, this beautiful spiritual career,
nos gustaría ser este Buen Pastor, y la manera en que Dios coloca las ovejas,;we would like to be this Good Shepherd, and the manner in which God places the sheep,
y la importancia que da a esas ovejas, que incluso invita al Señor Jesucristo a dar su vida por esas ovejas.;and the importance he gives that sheep, that he even invites the Lord Jesus Christ to give his life for that sheep.
Hermana, me gustaría que nos enseñaras cómo ser este Buen Pastor,;Sister, I would like if you could please teach us how to be this Good Shepherd,
porque el Buen Pastor no es sólo la predicación de la palabra, que es,;because the Good Shepherd isn't only the preaching of the word, which it is,
pero también cuidar de las ovejas, estar atentos a ellas, sabiendo cuidar de todas ellas,;but also taking care of the sheep, being attentive to them, knowing how to take care of all of them,
y también dar nuestras vidas por eso barato. Hermana, si no sé si podrías, sí, muy bien.;and also giving our lives for that cheap. Sister, if I don't know if you could please, yes, very well.
Dios el Señor siempre ha utilizado el ejemplo de ovejas,;God the Lord has always used the example of sheep,
porque las ovejas son un tipo de animal que siempre son como comunidad, siempre están juntas,;because sheep are a type of animal that are always as a community, they are always together,
y siempre debe haber una persona que los observe, que los guarde, que los controle en la vida.;and there must always be a person to watch them, to keep them, to control them in life.
Los pastores siempre han sido conocidos por cuidar de las ovejas, y los mantienen a salvo,;Shepherds have always been known for taking care of sheep, and they keep them safe,
y si hay lobos o animales salvajes para venir a tratar de comer ese rebaño, este Pastor se enfrenta,;and if there are wolves or wild animals to come to try to eat that flock, this Shepherd confronts,
se enfrentan a esas bestias, las confronta para que esos animales, esas bestias, no vengan a comer el Oveja.;they confront those beasts, he confronts them so that those animals, those beasts, do not come to eat the Sheep.
Por eso el Señor Jesucristo comparó la iglesia o los creyentes como ovejas,;That is why the Lord Jesus Christ compared the church or the Believers as sheep,
y comparó el Pastor que los vigila y los mantiene a salvo con el Señor Jesucristo.;and compared the Shepherd that watches over them and keeps them safe with the Lord Jesus Christ.
Dice que era el Buen Pastor, y dio su vida por el Oveja cuando murió en la cruz del Calvario por toda nuestra salvación.;He says he was the Good Shepherd, and he gave his life for the Sheep when he died on the cross of Calvary for all of our salvation.
Así que eso es lo que quiere decir cuando dice que da su vida,;So that is what he means when he says that he gives his life,
porque física o literalmente que Shepherd confronta a esas bestias. También, de alguna manera,;because physically or literally that Shepherd confronts those beasts. He also, in some way,
tiene que estar armado para que las bestias no vengan a destruir el rebaño.;has to be armed so that the beasts don't come to destroy the flock.
Nunca escuchas que una bestia viene y el pastor va;You never hear that a beast comes and the shepherd goes
y los esconde y los deja. No, tenía que enfrentarse;and hides and leaves them. No, he had to confront
y ahuyenta a esas bestias, y desde que esto estaba pasando,;and chase away those beasts, and since this was happening,
el Señor usó el mejor ejemplo para que podamos entender que como un rebaño de ovejas tenemos un Pastor Divino,;the Lord used the best example in order for us to be able to understand that as a flock of sheep we have a Divine Shepherd,
pero que también el Señor aquí en la Tierra, en esta parte física humana,;but that also the Lord here on Earth, in this physical human part,
iba a colocar a los pastores en su iglesia. Esa es la promesa, ¿verdad?;he was going to place Pastors in his church. That is the promise, right?
Dice que el Señor puso pastores, maestros y evangelistas;It says the Lord placed pastors and teachers and evangelists
profetas y apóstoles en la iglesia, y que el Buen Pastor tiene que ser como el Señor Jesucristo para mantener la vigilancia;and Prophets and apostles in the church, and that Good Shepherd has to be like the Lord Jesus Christ to keep watch
y mirar a la gente, y estar preocupado por la vida espiritual de cada persona, que si una persona es desalentado;and look over people, and to be concerned about each person's spiritual life, that if a person is discouraged
y sale y vuelve, entonces el pastor es consciente;and leaves and turns back, then the pastor is aware
y habla con la gente. Pregunta qué pasó. Conforta a la gente, enseñando, guiando, poniendo manos, orando, dando consejos,;and he speaks to people. He asks what happened. He Comforts people, teaching, guiding, laying hands, praying, giving advice,
no sólo para estar aquí para dar un mensaje, sino también para trabajar allí abajo con la imposición de manos,;not just to stand here to give a message, but also to work down there with the laying on of hands,
hablar con la gente y sus necesidades, y tener misericordia y amor por todos.;talking to people and their needs, and having mercy and love for all.
Aunque en el rebaño de ovejas hay ovejas negras, hay ovejas blancas, hay cabras, ¿verdad?;Although in the flock of sheep there are Black Sheep, there are white sheep, there are goats, right?
Eso es lo mismo con los creyentes, y cada persona tiene su propia personalidad;That is the same with the Believers, and each person has their own personality
y la forma de abordar situaciones. Debe haber suficiente paciencia para poder pastorearlos,;and the way of approaching situations. There ought to be enough patience to be able to Shepherd them,
ser capaz de guiar, enseñar y corregir con amor;to be able to guide, teach, and correct with love
y cuidado. Esa es la obra de un Buen Pastor para nosotros para recibir el ejemplo de nuestro Dios nuestro Señor cómo lo hace con nosotros.;and care. That is the work of a Good Shepherd for us to receive the example from our God our Lord how he does it with us.
