En Mateo 12, verso 31 y 32. Sí, en el versículo 31 leeré.;In Matthew 12, verse 31 and 32. Yes, in verse 31 I will read.
Por lo tanto os digo que todo pecado y blasfemia serán perdonados hombres,;Therefore I say to you, every sin and blasphemy will be forgiven men,
pero la blasfemia contra el Espíritu no será perdonada hombres. Versículo 32.;but the blasphemy against the Spirit will not be forgiven men. Verse 32.
Cualquiera que hable una palabra contra el Hijo del Hombre, le será perdonado,;Anyone who speaks a word against the Son of Man, it will be forgiven him,
pero quien habla contra el Espíritu Santo, no le será perdonado ni en esta edad ni en la edad venidera.;but whoever speaks against the Holy Spirit, it will not be forgiven him either in this age or in the age to come.
Mi pregunta, Hermana María Luisa, está en el versículo 32 donde usted ha enseñado a una hermana que el Señor Jesucristo,;My question, Sister Mary Louisa, is in verse 32 where you have taught a sister that the Lord Jesus Christ,
el Espíritu Santo y el Padre son el mismo Dios, así que os hago esta pregunta.;the Holy Spirit and the Father are the same God, so I ask you this question.
¿Dónde dice por qué la blasfemia contra el Hijo del Hombre será perdonada?;Where it says why is it that the blasphemy against the Son of Man will be forgiven?
Cuando él está diciendo al Hijo del Hombre, él está en referencia a la carne, su cuerpo físico.;When he is saying the Son of Man, he is in referencing to the flesh, his physical body.
Recuerda, dice que Dios tomó carne. Se hizo hombre para estar entre las personas.;Remember, it says that God took flesh. He made Himself man in order to be among people.
Has oído eso, cierto, que dice que Dios se hizo carne,;You've heard that, right, which says God made Himself flesh,
que Dios se hizo como un hombre común para estar entre la humanidad.;that God made Himself like an ordinary man in order to be among mankind.
Así que ese lado físico, ese cuerpo físico, esa carne que se llamaba el Hijo del Hombre,;So that physical side, that physical body, that flesh that was called the Son of Man,
nuestro Señor Jesucristo como el Hijo de Dios, como Dios mismo había tomado carne;our Lord Jesus Christ as the Son of God, as God Himself had taken flesh
y se convirtió en un hombre ordinario, ese cuerpo físico Tenía, esa era la carne;and made Himself an ordinary man, that physical body He had, that was the flesh
y eso fue llamado el Hijo del Hombre. Eso es lo que se llamaba Hijo del Hombre,;and that was called the Son of Man. That is what was called Son of Man,
pero dentro de Él estaba el Hijo de Dios, que la divinidad también estaba trabajando en ese hombre en esa carne a quien Dios se convirtió en un ser humano.;but within Him was the Son of God, that divinity was also working in that man in that flesh whom God turned into a human being.
Ese es el Hijo del Hombre. Por eso Él dice que si alguien blasfemara contra el Hijo del Hombre o el ser humano,;That is the Son of Man. So this is why He says if anyone were to blaspheme against the Son of Man or the human being,
tendrían perdón de Dios, pero si blasfeman contra el Espíritu Santo no tendrían perdón en esta vida ni en la eternidad.;they would have forgiveness from God, but if they blaspheme against the Holy Spirit they would have no forgiveness not in this life nor in eternity.
Ellos serían condenados, y pecaron, porque aquí en el versículo 26 dice o más bien 24 dice en el versículo 24.;They would be condemned, and they sinned, because here in verse 26 it says or rather 24 it says in verse 24.
Cuando los fariseos lo oyeron dijeron, así que cuando oyeron la palabra de Dios,;Now when the Pharisees heard it they said, so when they heard the word of God,
cuando oyeron que se decía que era el Hijo de David,;when they heard that it was said that He was the Son of David,
los fariseos dijeron que este tipo no echa fuera demonios excepto por belsebub el gobernante de los demonios.;the Pharisees said this fellow does not cast out demons except by belsebub the ruler of the demons.
Hablaban blasfemia contra Dios. Estos fariseos hablaban blasfemia,;They were speaking blasphemy against God. These Pharisees spoke blasphemy,
Porque dijeron que el Señor echaba fuera demonios por el espíritu de bel-sabab,;For they said that the Lord was casting out demons through the spirit of bel-sabab,
no por el espíritu de Dios, sino que era el espíritu de belsebub, el gobernante de los demonios,;not by the spirit of God, but it was the spirit of belsebub, the ruler of the demons,
esa era la blasfemia. Ellos trataron a nuestro Dios como si estuviera poseído por demonios.;that was the blasphemy. They treated our God as if He were demon-possessed.
Esa era la forma en que Él fue tratado y Él fue comparado con alguien que fue poseído por demonios;That was the sort of way He was treated and He was compared to someone who was demon-possessed
y eso se llamaba blasfemia. Por eso el Señor Jesús dijo que cualquier blasfemia contra el Hijo del Hombre será perdonada, pero con el espíritu de Dios no puedes.;and that was called blasphemy. This is why the Lord Jesus said any blasphemy against the Son of Man it'll be forgiven but with the spirit of God you cannot.
Y hablaron blasfemia contra el espíritu de Dios porque nuestro Señor Jesús estaba haciendo los milagros;And they spoke blasphemy against the spirit of God because our Lord Jesus was working the miracles
y echar fuera demonios a través del espíritu de Dios y los fariseos dijo que es a través del espíritu del diablo que Él hace esto;and casting out demons through the spirit of God and the Pharisees said it is through the spirit of the devil that He does this
y esa es la blasfemia contra el Espíritu Santo y dice que no será perdonada.;and that is the blasphemy against the Holy Spirit and it says it will not be forgiven.
Y hoy en día hay muchas personas que hablan blasfemia contra Dios.;And nowadays there are many people who speak blasphemy against God.
Hablan blasfemia diciendo que esta iglesia o que esta persona es del diablo;They do speak blasphemy in saying that this church or that this person is of the devil
y eso no es de Dios. Eso es blasfemia porque están derribando la palabra de Dios.;and that's not of God. That's blasphemy for they are casting down the word of God.
Cuando Dios dijo que sois mis hijos sois mi congregación sois mis hijos;When God said you are my children you are my congregation you are my sons
y mis hijas, así que cuando dicen bien esto es toda una mentira que es el diablo que es blasfemia;and my daughters, so when they say oh well this is all a lie that's the devil that is blasphemy
y esa es la blasfemia contra el Espíritu Santo y que Dios nos proteja porque dice que esto no tiene perdón de Dios.;and that's the blasphemy against the Holy Spirit and may God protect us because it says this has no forgiveness from God you.
