Gracias. Mi pregunta se basa en la última vez que estuviste aquí.;Thank you. My question is based on the last time that you were here.
Usted nos habló de cómo el diablo te ataca mucho, en términos de hacerte sufrir,;You spoke to us about how the devil attacks you very much, in terms of making you suffer,
y entendemos por doctrina que hay castigos, pruebas, que Dios usa para bendiciones.;and we understand by doctrine that there are punishments, tests, that God uses for blessings.
Y me gustaría que aclararas un poco más cuando,;And I would like for you to clarify a little more when,
en estos casos donde la envidia del diablo nos hace sufrir con nuestros seres queridos, ¿qué ha sido?;in these instances where the devil's envy make us suffer with our loved ones, what has been?
Sabemos que debemos poner la armadura de Dios, presionar, amar a Dios, obedecer,;We know that we must put on God's armor, press on, love God, obey,
y no rendirse, pero ¿cuál ha sido su éxito?;and to not give up, but what has been your success?
Yo diría, si usted puede, compartir algo con nosotros en cuanto a cómo aprovechar esas victorias tan pronto como sea posible.;I would say, if you can, share something with us in regards to how to seize those victories as soon as possible.
Y también en relación con el castigo y el juicio que usted mencionó: usted mencionó que a veces hay juicios o hay castigos.;And also concerning the punishment and the trial that you mentioned: you mentioned that sometimes there are trials or there are punishments.
Bueno, hay un castigo porque fallamos a Dios cuando caemos en pecado. Hay un castigo,;Well, there is a punishment because we fail God when we fall in sin. There is a punishment,
y entonces hay una dificultad, una tribulación. Y luego digo, bueno,;and then there is a hardship, a tribulation. And then I say, well,
Dios me está castigando porque le fallé. Pero cuando consideramos que no hemos fallado a Dios;God is punishing me because I failed him. But when we consider that we have not failed God
y hay tribulación, hay penuria, bueno entonces digo, bueno, Dios me está probando,;and there is tribulation, there is hardship, well then I say, well, God is testing me,
el Señor está poniendo estas pruebas. Pero debemos pasar esas pruebas.;the Lord is placing these trials. But we must pass those trials.
Debemos ser pacientes, y debemos recordar las promesas de Dios para que esos momentos de dificultad pasen rápidamente;We must be patient, and we must remember God's promises so that those moments of difficulty may quickly pass
y no causar ninguna dentadura en nuestra vida, al hacernos perder el corazón o sentirnos tristes o decepcionados;and cause no dents in our life, in making us lose heart or feeling sad or feeling disappointed
y diciendo que no quiero volver a la iglesia,;and saying I don't want to go back to the church,
Dios me ha hecho promesas pero mira estos días malos que estoy enfrentando.;God has made me promises but look at these evil days I'm facing.
Así que no, necesitamos recordar las promesas de Dios y decir que sí esto tuvo que suceder;So no, we need to remember God's promises and say yes this had to happen
y necesito seguir adelante y pasar esto porque necesito continuar en este camino.;and I need need to continue onward and pass this because I need to continue in this path.
Y así uno de estos días en las enseñanzas había un versículo en la Biblia que decía si el justo con dificultad es salvo,;And so one of these days in the teachings there was a verse in the Bible that said if the righteous with difficulty is saved,
hay un verso y yo creo que Peter dijo esto.;there's a verse and it was I believe Peter who said this.
Es verdad que un hombre justo con dificultad es salvo, lo que significa que una persona justa enfrenta dificultades, pruebas, persecuciones,;It is true a righteous man with difficulty is saved, meaning a righteous person faces difficulties, trials, persecutions,
todo tipo de cosas le sucede a una persona justa, y esas dificultades, todo eso, pasa a través de ellas.;all sorts of things happen to a righteous person, and those difficulties, all of that, he passes through them.
Él es victorioso porque persevera en el camino del Señor.;He is victorious because he perseveres in the Lord's path.
Son pacientes y resisten todas las pruebas.;They are patient and they withstand all of the trials.
Ellos resisten y soportan los momentos de dificultad. Rezan, claman al Señor,;They withstand and bear through the moments of difficulty. They pray, they cry out to the Lord,
y si necesitan ser ellos claman y lloran ante el Señor, pero pasan esa prueba.;and if need be they cry and weep before the Lord, but they pass that test.
Y así puedes decir que esta persona es justa, que han tenido dificultades pero los están pasando,;And so then you can say this person is righteous, they've had difficulties but they are passing them,
están pasando esos juicios, continúan y perseveran, siguen adelante.;they are passing those trials, they continue and persevere, they are continuing onward.
Así que tenemos que hacerlo exactamente, porque siempre tendremos dificultades, dificultades.;So we have to do exactly that, because we will always have hardships, difficulties.
Nadie está exento de ello. Mientras somos seres humanos tendremos dificultades hasta el día en que morimos.;No one is exempt from it. While we are human beings we will have difficulties until the day we die.
Habrá trampas del enemigo, envidia del diablo, de diferentes tipos de una manera u otra.;There will be traps from the enemy, envy from the devil, of different sorts in one way or another.
Pero Dios nos ayudará. Siempre nos ayudará a seguir adelante;But God will be helping us. He will always help us move on
y nos bendecirá. No nos dejará solos.;and he will bless us. He will not leave us alone.
No nos llevará. Su mano estará con nosotros.;He will not for take us. His hand will be with us.
Él se levantará por nosotros, porque somos fieles a él, porque no le estamos fallando,;He will stand up for us, because we are faithful to him, because we are not failing him,
estamos haciendo lo correcto. Así que él también nos ayudará.;we are doing what is right. So he too will help us.
Así que no nos dejará solos. No nos abandonará.;So he will not leave us alone. He will not forsake us.
Ahora yo mismo he vivido y experimentado esto toda mi vida,;Now I myself have lived and experienced this my whole life,
que cuando el enemigo ha puesto trampas el Señor me dice que no te preocupes voy a ayudar te daré Triumph.;that when the enemy has set traps the Lord tells me do not worry I am going to help you I will give you Triumph.
Y eso es así. Así es exactamente como ha sido.;And that is so. That is exactly how it's been.
Por eso nadie debería tener una razón para sentirse desalentado.;This is why nobody should have a reason to feel discouraged.
Nadie debería decir que voy a regresar. No volveré a la iglesia.;No one should say I'm turning back. I won't go back to church.
Ya no leeré la Biblia. No rezaré. Mira lo que me está pasando.;I won't read the Bible anymore. I won't pray. Look at what's happening to me.
Dios no está escuchando. No, Dios está escuchando, pero Dios quiere que seas fuerte;God is not listening. No, God is listening, but God wants you to be strong
y valiente y ser firme y seguir sus caminos.;and courageous and to be steadfast and to follow his ways.
Gracias.;Thank you.
