¿A qué te refieres?;What do you mean?
¿Me explico?;Do you know what I mean?
A ver qué pasa.;Let’s see what happens.
Eso depende.;That depends.
Eso me pasa por...;That’s what I get for...
Eso sí.;That’s true.
Eso tiene sentido.;That makes sense.
Hazme un favor.;Do me a favor.
Más o menos.;More or less.
Me agarraste desprevenido.;You caught me off guard.
Me agarraste en mal momento.;This isn’t a good time for me.
Me agarró en curva.;It caught me off guard.
Me cae bien.;I like him/her.
Me cae mal.;I don’t like him/her.
Me cayó bien desde el principio.;I liked him/her from the start.
Me cayó como balde de agua fría.;It hit me like a ton of bricks.
Me cayó de sorpresa.;It caught me off guard.
Me cayó pesado.;He/She rubbed me the wrong way.
Me da cosa preguntar.;I feel awkward asking.
Me da igual.;I don’t mind.
Me da pena.;I feel sorry for...
Me dejó helado.;It left me speechless.
Me dejó pensando.;It got me thinking.
Me dio cosa.;I felt awkward about it.
Me dio igual.;I didn’t care.
Me dio mala espina.;I had a bad feeling about it.
Me dio por pensar.;It got me thinking.
Me lo crucé de casualidad.;I happened to run into him/her.
Me lo crucé por casualidad.;I ran into him/her by chance.
Me lo guardé.;I kept it to myself.
Me lo imaginaba.;I figured as much.
Me lo pensé mejor.;I gave it some more thought.
Me quedé con ganas de más.;I wanted more.
Me quedé con la duda.;I was left wondering.
Me quedé con las ganas.;I was left wanting more.
Me quedé corto.;I fell short.
Me quedé en blanco.;My mind went blank.
Me quedé fuera.;I was left out.
Me quedó claro.;That became clear to me.
Me quedó sonando.;It stayed on my mind.
Me sacaste de onda.;You threw me off.
Ni hablar.;No way.
No entiendo qué pasa.;I don’t understand what’s going on.
No es justo.;That’s not fair.
No es lo que parece.;It’s not what it looks like.
No es para tanto.;It’s not a big deal.
No es por ahí.;That’s not the right approach.
No fue a propósito.;I didn’t mean to.
No lo tengo tan claro.;I’m not so sure about that.
No lo tomes literal.;Don’t take it literally.
No lo veo así.;That’s not how I see it.
No me acuerdo bien.;I don’t remember clearly.
No me acuerdo.;I can’t remember.
No me alcanza.;It’s not enough for me.
No me arruines el momento.;Don’t ruin the moment.
No me cae el veinte.;It hasn’t sunk in yet.
No me cambia nada.;It doesn’t change anything for me.
No me cierra.;It doesn’t make sense to me.
No me cierro a eso.;I’m open to that.
No me cierro a la idea.;I’m open to the idea.
No me conviene.;It’s not convenient for me.
No me cuadra.;It doesn’t add up.
No me cuentes cuentos.;Don’t make things up.
No me da buena espina.;I have a bad feeling about it.
No me da buena impresión.;It doesn’t leave a good impression on me.
No me da confianza.;I don’t trust it.
No me da la vida.;I can’t keep up.
No me da para más.;I can’t handle any more.
No me dejes colgado.;Don’t leave me hanging.
No me des falsas esperanzas.;Don’t get my hopes up.
No me des por hecho.;Don’t take me for granted.
No me des por vencido.;Don’t count me out.
No me des vueltas.;Get to the point.
No me eches la culpa.;Don’t blame me.
No me entra en la cabeza.;I can’t wrap my head around it.
No me fijé.;I didn’t notice.
No me hace sentido.;It doesn’t make sense to me.
No me hagas caso.;Don’t pay attention to me.
No me hagas elegir.;Don’t make me choose.
No me hagas ilusiones.;Don’t get my hopes up.
No me hagas perder el tiempo.;Don’t waste my time.
No me hagas quedar mal.;Don’t make me look bad.
No me hagas repetirlo.;Don’t make me say it again.
No me hallo.;I don’t feel comfortable here.
No me importa lo que digan.;I don’t care what people say.
No me importa.;I don’t care.
No me lo creo.;I can’t believe it.
No me lo esperaba de ti.;I didn’t expect that from you.
No me lo esperaba para nada.;It totally caught me by surprise.
No me lo esperaba tan pronto.;I didn’t expect it so soon.
No me lo esperaba.;I didn’t see that coming.
No me lo pongas tan difícil.;Don’t make it so hard for me.
No me lo puedo sacar de la cabeza.;I can’t get it out of my head.
No me lo saques en cara.;Don’t throw it in my face.
No me lo tomé en serio.;I didn’t take it seriously.
No me lo tomes a mal.;Don’t take it the wrong way.
No me lo tomes a pecho.;Don’t take it personally.
No me lo tomes personal.;Don’t take it personally.
No me metas en eso.;Don’t drag me into that.
No me pinta.;I’m not really into it.
No me pongas condiciones.;Don’t set conditions for me.
No me pongas contra la pared.;Don’t back me into a corner.
No me pongas en esa situación.;Don’t put me in that position.
No me pongas etiquetas.;Don’t label me.
No me pongas excusas.;Don’t make excuses.
No me presiones con eso.;Don’t push me on that.
No me presiones.;Don’t pressure me.
No me queda claro.;I’m still not clear on that.
No me queda otra.;I have no choice.
No me quejo.;I can’t complain.
No me quiero adelantar.;I don’t want to jump ahead.
No me sale natural.;It doesn’t come naturally to me.
No me sale.;I can’t get it right.
No me salió como esperaba.;It didn’t turn out the way I expected.
No me saques de contexto.;Don’t take me out of context.
No me saques de quicio.;Don’t get on my nerves.
No me suena.;It doesn’t ring a bell.
No me termina de convencer.;I’m not fully convinced.
No me termina de entrar.;I’m still not fully getting it.
No me tientes.;Don’t tempt me.
No me tomes el pelo.;Don’t mess with me.
No me vengas a reclamar.;Don’t come complaining to me.
No me vengas con eso.;Don’t give me that.
No me viene a la mente.;I can’t think of it right now.
No me viene bien.;It doesn’t work for me.
No pasa nada.;It’s okay.
No sé cómo decirlo.;I don’t know how to put it.
No sé qué pensar.;I don’t know what to think.
No te emociones.;Don’t get too excited.
No te entiendo.;I don’t get you.
No te lo puedo asegurar.;I can’t guarantee it.
No te lo tomes a mal.;Don’t take it the wrong way.
No te metas.;Stay out of it.
No te preocupes.;Don’t worry about it.
No te quedes ahí.;Don’t just stand there.
No te quedes con la duda.;Don’t leave yourself wondering.
No tengo claro.;I’m not sure.
No tengo ganas.;I’m not in the mood.
No tengo ni idea.;I have no clue.
No tengo problema.;That’s fine with me.
No tengo sueño.;I’m not sleepy.
No tengo tiempo.;I don’t have time.
No vale la pena.;It’s not worth it.
No veo la hora.;I can’t wait.
Por si acaso.;Just in case.
Qué alivio.;What a relief.
Qué casualidad.;What a coincidence.
Qué raro.;That’s strange.
Se me complicaron las cosas.;Things got complicated for me.
Se me complicó.;Things got complicated for me.
Se me dio bien.;I was good at it.
Se me escapó.;It slipped out.
Se me fue de las manos.;It got out of hand.
Se me fue el hilo.;I lost my train of thought.
Se me fue el tiempo.;Time got away from me.
Se me fue la motivación.;I lost motivation.
Se me fue la onda.;I lost track of what I was saying.
Se me hace pesado.;It feels exhausting to me.
Se me hace raro.;It feels strange to me.
Se me hizo conocido.;He/She looked familiar to me.
Se me hizo costoso.;It turned out to be expensive.
Se me hizo costumbre.;It became a habit.
Se me hizo eterno.;It felt like forever.
Se me hizo tarde.;I ended up running late.
