Es hora de levantarse;It's time to get up;È ora di alzarsi;É hora de levantar
Es hora de desayunar;It's time to have breakfast;È ora di fare colazione;É hora do café da manhã
Recuerden lavarse los dientes antes de ir a dormir;Remember to brush your teeth before going to bed;Ricordatevi di lavarvi i denti prima di andare a dormire;Lembrem-se de escovar os dentes antes de dormir
¿Te duele algo?;Do you feel pain?;Ti fa male qualcosa?;Está doendo alguma coisa?
Para poder jugar deben terminar sus tareas primero;To play you must finish your homework first;Per giocare dovete finire prima i compiti;Para brincar vocês precisam terminar a lição primeiro
Terminen su comida antes de levantarse de la mesa;Finish your food before leaving the table;Finite il cibo prima di alzarvi da tavola;Terminem a comida antes de sair da mesa
Ya es tarde y debemos salir de la casa;It's late and we must leave the house;È tardi e dobbiamo uscire di casa;Está tarde e precisamos sair de casa
¿Ya hiciste las tareas?;Did you do your homework?;Hai fatto i compiti?;Você já fez a lição?
¿Ya organizaste tus juguetes?;Did you organize your toys?;Hai sistemato i tuoi giocattoli?;Você já organizou seus brinquedos?
Juguemos juntos;Let's play together;Giochiamo insieme;Vamos brincar juntos
Discúlpame, fue sin intención;Sorry, it was unintentional;Scusami, non era intenzionale;Desculpe, não foi de propósito
¿Tienes sed?;Are you thirsty?;Hai sete?;Você está com sede?
¿Tienes hambre?;Are you hungry?;Hai fame?;Você está com fome?
Pueden jugar celular después de las 8 de la noche;You can play on the phone after 8 p.m.;Potete giocare al cellulare dopo le 8 di sera;Podem jogar no celular depois das 8 da noite
Debemos prepararnos para ir a la iglesia;We must get ready to go to church;Dobbiamo prepararci per andare in chiesa;Precisamos nos preparar para ir à igreja
Vamos a lavarnos las manos;Let's wash our hands;Andiamo a lavarci le mani;Vamos lavar as mãos
Bájale el volumen a la televisión;Turn down the TV volume;Abbassa il volume della TV;Baixe o volume da TV
Es hora de hacer la tarea;It's time to do homework;È ora di fare i compiti;É hora de fazer a lição
Ven a ayudarme en la cocina;Come help me in the kitchen;Vieni ad aiutarmi in cucina;Venha me ajudar na cozinha
No peleen entre ustedes;Don't fight with each other;Non litigate tra voi;Não briguem entre vocês
Guarden silencio, por favor;Be quiet, please;Fate silenzio, per favore;Façam silêncio, por favor
Pongan la mesa para comer;Set the table for dinner;Apparecchiate la tavola;Arrumem a mesa para comer
Recojan su ropa del suelo;Pick up your clothes from the floor;Raccogliete i vestiti da terra;Recolham as roupas do chão
Es hora de bañarse;It's time to shower;È ora di fare la doccia;É hora do banho
Vamos a leer un cuento;Let's read a story;Leggiamo una storia;Vamos ler uma história
Duerman bien, hasta mañana;Sleep well, see you tomorrow;Dormite bene, a domani;Durmam bem, até amanhã
Abracen a mamá;Hug mom;Abbraccia la mamma;Abrace a mamãe
Abracen a papá;Hug dad;Abbraccia il papà;Abrace o papai
Den gracias por la comida;Give thanks for the food;Ringraziate per il cibo;Agradeçam pela comida
Vayan a lavarse la cara;Go wash your face;Andate a lavarvi la faccia;Vão lavar o rosto
No corran dentro de la casa;Don't run inside the house;Non correte in casa;Não corram dentro de casa
Compartan sus juguetes;Share your toys;Condividete i vostri giocattoli;Compartilhem seus brinquedos
Esperen su turno para hablar;Wait for your turn to speak;Aspettate il vostro turno per parlare;Esperem a vez para falar
Acomoden sus cuadernos;Organize your notebooks;Sistemate i quaderni;Arrumem os cadernos
Apaguen las luces;Turn off the lights;Spegnete le luci;Apaguem as luzes
No griten;Don't shout;Non urlate;Não gritem
Respeten a los demás;Respect others;Rispettate gli altri;Respeitem os outros
Vamos a cantar juntos;Let's sing together;Cantiamo insieme;Vamos cantar juntos
Hagan caso a mamá;Listen to mom;Ascoltate la mamma;Obedeçam à mamãe
