Y vamos a abrir la Biblia. Estaremos en Efesios 4,;And we're going to be opening the Bible. We'll be in Ephesians 4,
la carta o epístola del Apóstol Pablo a los Efesios,;the letter or epistle of the Apostle Paul to the Ephesians,
que envió a esa ciudad del tiempo conocido como Efeso, una ciudad que aún existe hoy,;which he sent to that city of the time known as Ephesus, a city that still exists today,
pero por supuesto que ahora es una ciudad moderna. Y el Efeso que existía aquí,;but of course it's now a modern city. And the Ephesus that existed here,
el que está aquí en la Biblia, ese es el que Pablo estaba escribiendo.;the one that's here in the Bible, that's the one Paul was writing to.
Hoy en día, si vas a visitar esos lugares, encontrarás que son ruinas. Encontrarás las ruinas.;Nowadays, if you go to visit those places, you'll find that they're ruins. You'll find the ruins.
Pero lo hermoso es que todas las cosas físicas y materiales perezcan, pero lo que permanece para siempre es Dios.;But the beautiful thing is that all physical and material things perish, but what remains forever is God.
Las promesas que hace a la humanidad. Aunque han pasado miles de años, Dios hizo promesas a esa gente,;The promises he makes to humankind. Even though thousands of years have passed, God made promises to those people,
a los que vivían en Éfeso en aquel tiempo, que ahora es ruinas, pero dejaron con la promesa de Dios.;to those who lived in Ephesus at that time, which is now ruins, but they left with God's promise.
Se fueron. Y muchos de los que se convirtieron ahora se alegran con Dios.;They left. And many of those who converted are now rejoicing with God.
Así que eso es hermoso. y encantador. Así que vamos a leer del versículo 17, del versículo 10, capítulo 4,;So that's what's beautiful. and lovely. So, we're going to read from verse 17, from verse 10, chapter 4,
versículo 17 que dice, uh, dice, hay una subpartida aquí en mi Biblia que dice,;verse 17 that states, uh, it says, there's a subheading here in my Bible that says,
La nueva vida en Cristo. Nueva vida porque tuvimos una vida vieja.;'The new life in Christ.' New life because we had an old life.
En el pasado, antes de conocer a Dios, llevamos una vida de libertinaje, una vida sin conocer a Dios,;In the past, before we knew God, we led a life of debauchery, a life without knowing God,
Sin conocer sus caminos, sin conocer las ordenanzas. Pero el Señor nos ha enseñado a través de su evangelio algunas ordenanzas,;Without knowing his ways, without knowing the ordinances. But the Lord has taught us through his gospel some ordinances,
para que podamos ser llevados a una vida eterna con Dios. y disfrutar de la salvación.;so that we can be led to an everlasting life with God. and enjoy salvation.
Y por eso estamos aquí y vamos a reflexionar;And that's why we're here and we're going to be reflecting
y leyendo estos versículos que aunque fueron escritos hace más de 2, 000 años o así,;and reading these verses that although they were written more than 2, 000 years ago or so,
siguen siendo relevantes en nuestras vidas y en nuestros corazones hoy.;they're still relevant in our lives and in our hearts today.
Esta enseñanza es también para nosotros porque Dios es el mismo Dios.;This teaching is also for us because God is the same God.
que Dios de hace 2,000 años es el mismo que tenemos hoy.;that God from 2,000 years ago is the same one we have today.
Y aquí dice el apóstol Pablo a la iglesia de Efeso:,;And here the Apostle Paul says he said to to the to the church of Ephesus, he said,
Esto digo, pues, y testifico en el Señor, que ya no andéis mientras el resto de los gentiles andan en la futilidad de su mente;'This I say therefore, and testify in the Lord, that you should no longer walk as the rest of the Gentiles walk in the futility of their mind.'
Aquí menciona a los gentiles porque en ese momento el pueblo de Israel era un pueblo exclusivo elegido para Dios.;Here he mentions Gentiles because at that time the people of Israel were an exclusive people chosen for God.
y el resto de las naciones y el resto del pueblo del mundo fueron llamados los gentiles.;and the rest of the nations and the rest of the people in the world were called the Gentiles.
Eran los gentiles y los israelitas, dos pueblos. Es por eso que cuando el Señor Jesucristo les mandó predicar del evangelio.;They were the Gentiles and the Israelites, two peoples. That is why when the Lord Jesus Christ commanded them to preach of the gospel.
dijo que tenía que ser predicado a todos, no sólo a los israelitas o judíos,;he said it had to be preached to all, not only to the Israelites or Jews,
pero también a los gentiles. Y así los apóstoles comenzaron a predicar a todos.;but also to the Gentiles. And so the apostles began to preach to everyone.
Y entre esos gentiles, bueno, también nos consideramos gentiles, extranjeros, lo que significa que no somos judíos.;And among those Gentiles, well, we also consider ourselves to have been Gentiles, foreigners, meaning we're not Jews.
No pertenecíamos al pueblo de Israel. Así dice: ''No andes como el resto de los gentiles,;We didn't belong to the people of Israel. So he says, ''Don't walk as the rest of the Gentiles,
como gente que no conoce a Dios. Caminan en la futilidad de su mente;as people who don't know God.' They walk in the futility of their mind.'
Caminan en esa vanidad, en esas creencias, en esa idolatría, en esas tradiciones;They walk in that vanity, in those beliefs, in that idolatry, in those traditions
y costumbres. Mira cómo la idolatría, las tradiciones y costumbres de los pueblos han estado alrededor prácticamente desde Adán;and customs. Look at how idolatry, the traditions and customs of the peoples have been around practically since Adam
y Eve. Eso no es nuevo. Lo que vemos hoy en las naciones, cultura, tradición, costumbres, todas estas creencias,;and Eve. That's not new. What we see today in the nations, culture, tradition, custom, all these beliefs,
todo ha estado por ahí desde el tiempo de Adán y Eva.;it's all been around since the time of Adam and Eve.
¿Y quién enseñó eso? El diablo. Ya que ha sido enemigo de Dios,;And who taught that? The devil. Since he has been God's enemy,
juró en los corazones de los humanos para ser desobediente a Dios, para contradecir a Dios;he swed in the hearts of humans to be disobedient to God, to contradict God
y hacer las cosas a su manera sin obedecer el mandamiento divino. Así que el diablo era el generador del mal.;and do things their way without obeying the divine commandment. So the devil was the generator of evil.
Por lo tanto, desde entonces, como todos los pueblos estaban formando, como la gente se multiplicaba,;Therefore, from then on, as all the peoples were forming, as people were multiplying,
comenzaron a seguir a sus propios dioses. Ellos comenzaron a adorar a sus dioses para hacer dioses con madera, con lo que sea,;they began to follow their own gods. They began to worship their gods to make gods with wood, with whatever,
con cualquier material que pudieran, con piedra o madera o piedras preciosas o metales preciosos. Sin embargo, hicieron dioses;with any material they could, with stone or wood or precious stones or precious metals. However, they made gods
y se arrodillaron. Hicieron sacrificios. Los veneraban. Y mientras tenían esas creencias,;and they kneled. They made sacrifices. They venerated them. And while they had those beliefs,
comenzaron a creer en demonios, en espíritus malignos. Ellos comenzaron a creer;they began to believe in demons, in evil spirits. They began to believe
adorar y venerar a los muertos, a los que murieron.;and worship and venerate the dead, the people who died.
Así que los veneraban. Y desde allí todo comenzó;So, they venerated them. And from there, it all began
y se extendió por todo el mundo. Vemos esas costumbres en muchos países.;and it spread throughout the world. We see those customs in many countries.
Y incluso hoy, cuando viaje, encontrará que la gente tiene sus creencias, sus supersticiones,;And even today, when you travel, you'll find that people have their beliefs, their superstitions,
su forma de idolatizar a dioses adoradores, supersticiones, con todos estos amuletos. y todas estas cosas.;their way of idolizing of worshiping gods, superstitions, with all these amulets. and all these things.
Así que eso es lo que Dios puso en contra mientras trataba con la humanidad, enseñándoles,;So that's what God stood against as he dealt with humankind, teaching them,
enseñarles a alejarse de esos caminos, de esas creencias. Dios les enseña;teaching them to turn away from those ways, from those beliefs. God teaching them
y dijo: "Mira, soy un espíritu. No soy un ídolo.;and he said, 'Look, look, I am a spirit. I am not an idol.
No soy una piedra. No soy un árbol.;I am not a stone. I am not a tree.
No soy el mar, la luna. No soy las estrellas.;I am not the sea, the moon. I am not the stars.
No lo adoras porque no encontrarás paz ni felicidad;Don't worship that because there you won't find peace or happiness.'
Pero la gente no escuchó. Dios ha estado poniendo sus siervos, sus hijos, los profetas,;But the people didn't listen. God has been putting his servants, his children, the prophets,
los maestros para enseñar la verdadera manera. Y desde entonces, mira cuántos miles de años han pasado.;the teachers to teach the true way. And since then, look at how many thousands of years have passed.
Y hasta este día, Dios o el Espíritu Santo a través de sus dones maravillosos continúa enseñándonos.;And to this day, God or the Holy Spirit through his wonderful gifts continues teaching us.
Y poniendo su pueblo, sus siervos, sus hijos e hijas, profetas, maestros, ambos varones;Also putting his people, his servants, his sons and daughters, prophets, teachers, both male
y hembra, están aquí para enseñar. Predicadores que muestran el camino, que enseñan que Dios es un espíritu,;and female, are here to teach. Preachers who show the way, who teach that God is a spirit,
y debemos adorarlo en espíritu. Debemos abandonar nuestras viejas costumbres;and we must worship him in spirit. We must abandon our old customs
y tradiciones porque nos esclavizan. Esta es una forma de esclavitud para la humanidad.;and traditions because they enslave us. This is a form of slavery for humankind.
Son cadenas. Se convierten en infelicidad, amargura, tristeza. Incluso se convierten en enfermedades, maldiciones como brujería Y brujería.;These are chains. They turn into unhappiness, bitterness, sadness. They even turn into illnesses, curses like witchcraft And sorcery.
Todo lo cual proviene de la idolatría. Así que nosotros, que hemos descubierto este camino, estamos aquí felices en este viaje enseñando.;All of which stem from idolatry. So we, who have discovered this path, are here happy on this journey teaching.
Por eso he venido a entender y comprender este modo de vida de los humanos desde Adán;That's why I've come to understand and comprehend this way of life of humans since Adam
y Eva siguiendo, leyendo, descubriendo todo esto. Y hoy, estoy disfrutando de un Dios poderoso que libera;and Eve by following, reading, discovering all of this. And today, I'm enjoying a powerful God who delivers
y trae felicidad y paz. Un Dios que acabo de cerrar los ojos;and brings happiness and peace. A God that I just close my eyes
y llámalo. Y está listo para responderme, para darme promesas;and call on him. And he's there ready to answer me, to give me promises
y liberación, para limpiarme, para curarme. ¿Qué no hace el Señor?;and deliverance, to cleanse me, to heal me. What doesn't the Lord do?
¿Cómo no podemos creer? ¿Cómo no puedo creer en ese Dios?;How can we not believe? How can I not believe in that God?
Ese es el Dios del que estoy predicando. Ese es el Dios que predicamos hoy después de miles de años.;That's the God I'm preaching about. That's the God we're preaching about today after thousands of years.
Porque el mundo continúa con sus costumbres. Como dice aquí, caminan en la vanidad de su mente,;Because the world continues with its customs. Just as it says here, they walk in the vanity of their mind,
teniendo su entendimiento oscurecido, alienado de la vida de Dios por la ignorancia que hay en ellos,;having their understanding darkened, alienated from the life of God because of the ignorance that is in them,
por la dureza de su corazón y la incredulidad de cada uno.;because of the hardness of their heart and the disbelief of each one.
Dijo lo que significa que esta gente, cuyo entendimiento está oscurecido, que son incrédulos, que ignoran el camino de Dios,;It said which meaning these people, whose understanding is darkened, who are unbelievers, who are ignorant of God's way,
que caminan en su mundo, en su vida, en sus costumbres. Dice quién se siente pasado.;who walk in their world, in their life, in their customs. It says who being past feeling.
Dice que incluso perdieron humanos han perdido ciertos sentimientos;It says that they even lost humans have lost certain feelings
y se rinden a las ideas para cometer todo tipo de pecados impurezas.;and they surrender to ideas to commit all kinds of impurities sins.
Así que el diablo incita a la gente a hacer todos estos males.;So the devil incites people to do all these evils.
Y en el versículo 20, el apóstol dice: 'Pero tú,;And in verse 20, the apostle then says, 'But you,
aquellos de ustedes que se han convertido en el evangelio de Jesucristo, ustedes no han aprendido a Cristo;those of you who have converted to the gospel of Jesus Christ, you have not learned Christ.'
Has visto que cuando conociste a este Dios vivo, este Dios en espíritu;You have seen that when you met this living God, this God in spirit
y en verdad, te has dado cuenta de que la vida es diferente. Que Dios cambie;and in truth, you have realized that life is different. That God changes
y transforma el ser. Y que la persona comienza a vivir;and transforms the being. And that the person begins to live
y experimentar una nueva vida, una nueva sensación dentro de sí mismos que los hace vivir feliz, alegre, confiado,;and experience a new life, a new sensation within themselves that makes them live happily, joyfully, confidently,
