La honestidad encierra tantas cosas, pero una persona que es un mentiroso;Honesty encloses so many things, but a person who is a liar
y miente a alguien más, bueno, los llamas deshonesto.;and lies to someone else, well, you call them dishonest.
Una persona que engaña o consiente, engaña a otra persona, y dicen, bueno,;A person who deceives or cons, cheats another person, and they say, well,
dame tanto dinero porque te daré el doble, te pagaré el doble de intereses, y los engañarán;give me so much money because I'll give you double, I'll pay you double an interest, and they deceive them
y no guardes su palabra, bueno, los llamas deshonesto.;and don't actually keep their word, well, you you call them dishonest.
Una persona que está empleada, trabaja como empleada, pero llegan tarde, están robando tiempo,;A person who is employed, they work as an employee, but they get in late, they're stealing time,
tal vez incluso toman un objeto del lugar de trabajo, y el dueño, dicen, bueno, es un millonario,;maybe they even take an object from the workplace, and the owner, they say, well, is a millionaire,
tienen mucho dinero, no van a perder este objeto o algunas monedas, bueno,;they have a lot of money, they're not going to miss this object or some coins, well,
tal vez no se pierdan estas monedas, pero todavía están siendo deshonestos.;maybe they won't miss these coins, but they're still being dishonest.
Una persona que finge, fingen ser otras cosas para otras personas, como una persona leal, una persona justa,;A person who pretends, they pretend to be other things to other people, like a loyal person, an upright person,
que lo que dicen que tienen razón, pero resulta que están hablando.;that what they say they're right, but it turns out they're just all talk.
Son un mentiroso, les gusta engañar, y hablan con sus palabras, tratando de convencerlos;They're a liar, they like to deceive, and they talk with their words, trying to convince them
y caer en trampas y errores para que sean capaces de conseguir el objetivo de lo que quieren,;and to fall into traps and errors so that they are able to get the objective of what they want,
tomar de otros, mentir y engañar, lo llamas deshonesto.;taking from others, lying and deceiving, you call this being dishonest.
Así que todas esas cosas que se hacen incorrectamente y mal, puedes llamarles una persona deshonesta,;So all of those things that are done incorrectly and wrong, you can call them a dishonest person,
alguien que está fingiendo ser algo que no son, alguien fingiendo tener algo pero no lo tienen,;someone who is pretending to be something they are not, someone pretending to have something but they don't have it,
los llamas deshonesto. Así como puedes ver, la palabra deshonestidad, encierra muchas actitudes diferentes;you call them dishonest. So as you can see, the word dishonesty, it encloses many different attitudes
y diferentes acciones que se hacen mal en la vida, y usted dice, bueno, esa persona es tan deshonesta,;and different actions that are done wrong in life, and you say, well, that person is so dishonest,
no puedes creerlos, no puedes confiar en ellos, son una persona que necesitas dudar de lo que hacen,;you can't believe them, you can't trust in them, they are a person that you need to doubt what they do,
lo que dicen, porque mienten, porque engañan, porque fingen, son un traidor, son un hipócrita, son envidiosos,;what they say, because they lie, because they deceive, because they pretend, they're a traitor, they're a hypocrite, they're envious,
qué deshonesto son. Así que ves que eso es deshonestidad,;how dishonest they are. So you see that is dishonesty,
y hemos aprendido un poco porque encierra muchas cosas más.;and we've learned maybe a little bit because it encloses many more things.
