Mi pregunta está en Job capítulo 23, versículos 14 y 15.;My question is in Job chapter 23, verses 14 and 15.
Job 23:14 y 15. "Él, pues, acabará lo que ha determinado acerca de mí, y muchas cosas como estas hay en él.";Job 23:14 and 15. "For he performs what is appointed for me, and many such things are with him."
"Por eso me turbo en su presencia. Cuando lo considero, me estremezco a causa de él.";Therefore I am terrified at his presence, when I consider this I am afraid of him.
Me gustaría que por favor me explicara qué significa cuando habla de temer a Dios.;I would like for you to please explain what it means when it talks about fearing God.
Muchas gracias, hermana María Luisa, y que el Señor continúe bendiciéndola.;Thank you very much, Sister Maria Louisa, and may the Lord continue to bless you.
El temor de Dios, el respeto a Dios. El temor es respetar y valorar a Dios.;Fear of God, respect for God. Fear is to respect and value God.
Saber o al menos apreciar que Dios existe, que él es poderoso y que merece honor y gloria.;To know or at least appreciate that God exists, that he is powerful and that he deserves honor and glory.
Merece ser obedecido. Merece todo lo mejor y merece que se le dé el primer lugar. Esto se llama temor de Dios.;He deserves to be obeyed. He deserves all the best and he deserves to be given the first place. This is called fear of God.
Cuando ves a una persona que comete un pecado, por ejemplo, o una persona que comete un asesinato.;When you see a person who commits a sin for example, or a person who commits a murder.
Dices: "Esta persona no teme a Dios", implicando que esta persona ni cree en Dios, ni confía, ni valora la existencia de Dios.;You say, "This person does not fear God," implying that this person neither believes in God, nor trusts, nor values the existence of God.
No les importa si Dios existe o no y no quieren tener en sí mismos valores de al menos abstenerse.;They don't care whether God exists or not and they don't want to have in themselves values of at least abstaining themselves.
Y respetar la vida de otras personas. Esto se llama temor.;And respecting other people's lives. This is called fear.
El temor es que debemos reconocer que Dios existe, que merece lo mejor, que merece respeto y que merece obediencia.;Fear is that we must acknowledge that God exists, that he deserves the best, that he deserves respect and that he deserves obedience.
Tengo que obedecer a Dios. Tengo que amar. Tengo que creer. Tengo que aprender la doctrina.;I have to obey God. I have to love. I have to believe. I have to learn the doctrine.
Mira lo que debo hacer para agradarle. No hago esto porque él lo prohíbe.;Look at what I should do to please him. I do not do this because he forbids it.
Él prohíbe esto y aquello, así que me abstengo de hacerlo. Esto se llama temor de Dios.;He forbids this and that, so I refrain from doing it. This is called fear of God.
Y aquí Job también habla y dice que estaba aterrorizado en la presencia de Dios.;Fear, and here Job also speaks and says that he was terrified in the presence of God.
Temblaba cuando sentía la presencia de Dios en su corazón porque la presencia de Dios es algo tan sublime, tan grande.;He trembled when he felt the presence of God in his heart because the presence of God is something so sublime, so great.
Que merece respeto. Merece que seamos reverentes incluso con nuestros pensamientos cuando pensamos o meditamos en él. Ese es el temor de Dios.;That he deserves respect. He deserves for us to be reverent even with our thoughts when we think or meditate on him. That is the fear of God.
Y cuando dice "teme al Señor", es alabar al Señor, glorificar su nombre, exaltar su nombre, bendecirlo.;And when it says "fear the Lord," it is to praise the Lord, glorify his name, exalt his name, to bless him.
Así que estas dos palabras siempre deben existir en nuestro ser: temer a nuestro Dios, alabar al Señor.;So these two words should always exist in our being: fear our God, praise the Lord.
Teme al Señor, respeta a Dios, valóralo y ponlo primero. Que el honor y la gloria sean para nuestro Dios.;Fear the Lord, respect God, value him and place him first. May the honor and glory be for our God.
