Tengo una pregunta en el libro de Gálatas, capítulo Gálatas.;I have a question in the book of Galatians, chapter Galatians.
Veamos, hermanos y hermanas que tienen sus Biblias en Gálatas capítulo 5, verso después de que Corintios es Gálatas capítulo 5,;Let's see, brothers and sisters who have their Bibles in Galatians chapter 5, verse after Corinthians is Galatians chapter 5,
verso, verso 20. Sí, habla de las obras de la carne,;verse, verse 20. Yes, it speaks about the works of the flesh,
y uno de ellos es ira. Hermana María Luisa, esto es un sentimiento, si podemos llamarlo así,;and one of them is anger. Sister Maria Luisa, this is a feeling, if we can call it this way,
que muchos han enfrentado y que muchos han vivido. Mi pregunta es, Hermana: sentirlo,;that many have faced and that many have lived. My question is, Sister: to feel it,
aunque no damos reino libre a este sentimiento, ¿es también desagradable ante nuestro Dios?;although we do not give free reign to this feeling, is it also displeasing before our God?
Bueno, es normal que alguien tenga mal temperamento,;Well, it's normal for someone to have an ill temper,
y si se molestan o se molestan o se enojan, podrían sentir ira, ira, ¿qué más podría decir, furia?;and if they get annoyed or upset or angry, they might feel anger, rage, what else could you say, fury?
Algunas personas pueden decir furia. Eso es normal, pero lo que Dios no aprueba es que cuando estás en ese estado empiezas a convertirte en una persona loca,;Some people might say fury. That's normal, but what God does not approve of is that when you are in that state you begin to turn into a crazy person,
ofender a la gente, usar lenguaje obsceno, castigar a alguien físicamente, golpearse mutuamente, o incluso tomar la vida de alguien, o gritar, ofender a la gente,;offending people, using obscene language, punishing someone physically, hitting each other, or even taking someone's life, or shouting, offending people,
destruyendo cosas. Eso no es correcto, así que puedes estar enfadado o molesto por algo que no estás de acuerdo,;destroying things. That is not correct, so you can be angry or annoyed about something that you disagree upon,
pero espera un tiempo para que pase esa ira, y luego puedes preguntar: "¿Por qué no hiciste esto?;but just wait some time for that anger to pass, and then you can ask, 'Why didn't you do this?
¿Por qué no se dijo esto? Las cosas deben hacerse de cierta manera,';Why wasn't this said? Things should be done a certain way,'
y luego te calmas. Por eso hay un versículo en la Biblia que dice: "Enojaos;and then you calm down. So that is why there is a verse in the Bible that says, 'Be angry
y no peques." Así podemos decir que por naturaleza nuestros cuerpos vienen con estos defectos,;and do not sin.' So we can say that by nature our bodies come with these flaws,
todos estos sentimientos. Así que dice que está bien que alguien se enoje o se enoje por algo que no salió bien,;all of these feelings. So it says that it's okay for someone to get angry or upset over something that didn't go well,
pero no cometer pecado e ir y golpear a otras personas o ir;but to not commit sin and go and punch other people or to go
y tomar la vida de alguien o ir e insultar a otras personas,;and take someone's life or to go and insult other people,
y el uso de lenguaje fuerte, lenguaje obsceno, o ofender a las personas, o destruir;and using strong language, obscene language, or offending people, or destroying
y arrancar cosas, o ser un falso testigo, o ir;and ripping things, or to become a false witness, or to go
y ofende a tu prójimo y dice cosas. Eso es lo que es, que con tu mal temperamento puedes perder el control;and offend your neighbor and saying things. That's what that is, that with your ill temper you can lose control
y hacer cosas locas también. Así que cálmate. Si eres así, quédate quieto,;and do crazy things as well. So be calm. If you are this way, stay quiet,
huye hasta que esa ira se vaya, y luego puedes proceder con calma.;flee until that anger goes away, and then you can proceed with calmness.
Eso es lo que el Señor está hablando de ti.;That is what the Lord is speaking of you.
