La Biblia dice: 'Ahora gracias a Dios que siempre nos guía en triunfo en Cristo;The Bible states, 'Now thanks be to God who always leads us in triumph in Christ
y a través de nosotros difunde la fragancia de su conocimiento en cada lugar.;and through us diffuses the fragrance of his knowledge in every place.
Porque somos para Dios la fragancia de Cristo entre los que están siendo salvos;For we are to God the fragrance of Christ among those who are being saved
y entre los que están pereciendo. Para el que somos el aroma de la muerte que conduce a la muerte,;and among those who are perishing. To the one we are the aroma of death leading to death,
y al otro el aroma de la vida que conduce a la vida.;and to the other the aroma of life leading to life.
¿Y quién es suficiente para estas cosas? Hermana, me gustaría que nos enseñara lo que significa ser la fragancia del conocimiento de Dios,;And who is sufficient for these things? Sister, I would like you to teach us what it means to be the fragrance of the knowledge of God,
cómo esa fragancia puede ser percibida en la vida de un creyente,;how that fragrance can be perceived in the life of a believer,
y por qué la misma fragancia puede ser vida para algunos y muerte para otros.;and why the same fragrance can be life for some and death for others.
También me gustaría saber qué responsabilidad implica ser la fragancia de Cristo tanto para aquellos que están siendo salvos;I would also like to know what responsibility it implies to be the fragrance of Christ both for those who are being saved
y para los que están pereciendo. Muchas gracias, hermana,;and for those who are perishing. Thank you very much, sister,
y que el Señor te bendiga. En tiempos antiguos bajo la ley de Moisés,;and may the Lord bless you. In ancient times under the law of Moses,
el Señor enseñó que los sacrificios también deben ir acompañados de incienso y muchas fragancias, muchos olores, muchos perfumes.;the Lord taught that sacrifices should also be accompanied by incense and many fragrances, many scents, many perfumes.
Todo tenía que organizarse y organizarse. Los sacerdotes tenían que organizar;Everything had to be arranged and organized. The priests had to organize
y levantar estas ofrendas como señal de que eran un aroma dulce a nuestro Dios.;and lift up these offerings as a sign that they were a sweet smelling aroma to our God.
El perfumista, el especializado en hacer el perfume, lo llevaría al templo;The perfumer, the one specialized in making the perfume, would take it to the temple
y presentarlo con el incienso y otros sentidos de diferentes maneras.;and present it with the incense and other sense in different ways.
Y se dijo que era una fragancia para Dios porque todo era físico en ese momento.;And it was said to be a fragrance for God because everything was physical at that time.
Dios exigió que la gente le mostrara reverencia y lo honrara físicamente.;God demanded that the people show him reverence and honor him physically.
Por eso hubo sacrificios de animales. Por eso hubo incienso.;That's why there were animal sacrifices. That's why there was incense.
un olor que se eleva a Dios. Dios les había enseñado a hacerlo de esa manera.;a scent rising to God. God had taught them to do it that way.
Aunque no necesitaba esos olores, Dios no los necesitaba,;Even though he didn't need those scents, God didn't need them,
pero quería que la gente estuviera ocupada haciendo algo por él, luchando, trabajando, haciendo algo por él.;but he wanted the people at least to be busy doing something for him, striving, working, doing something for him.
Así que exigió los mejores olores, los mejores perfumes, y el incienso también tuvo que ser levantado por los hijos de los sacerdotes.;So, he demanded the best scents, the best perfumes, and the incense also had to be lifted up by the sons of the priests.
Nadie más podría usarlo. Todo esto era un aroma dulce y oloroso a nuestro Dios.;No one else could use it. All of this was a sweet smelling aroma to our God.
Dijeron que esto era un aroma dulce. Ese aroma dulce que huele tenía un significado simbólico para el futuro.;They said that this was a sweet smelling aroma. That sweet smelling aroma had a symbolic meaning for the future.
En el futuro, el aroma dulce que huele a Dios sería un hombre o mujer justo, recto, santo,;In the future, the sweet smelling aroma for God would be a righteous man or woman, upright, holy,
agradando a Dios, sirviéndole, apartándose del mal y del pecado,;pleasing to God, serving him, turning away from evil and sin,
y siempre agradable al Señor en todo, haciendo lo que es bueno, correcto,;and always pleasing the Lord in everything, doing what is good, right,
y recto. Esa persona se convirtió en un aroma dulce olor a nuestro Dios.;and upright. That person became a sweet smelling aroma to our God.
Ese era el símbolo en tiempos antiguos del incienso.;That was the symbol in ancient times of the incense.
Está escrito que a veces Dios estaba tan disgustado cuando presentaron el incienso que el humo se extendía.;It is written that sometimes God was so displeased when they presented the incense that the smoke would spread.
Cuando el humo se levantó directamente a los cielos, fue porque Dios lo había aceptado.;When the smoke rose straight to the heavens, it was because God had accepted it.
Pero cuando se extendió, Dios estaba enojado con el pueblo porque le estaban fallando.;But when it spread, God was angry with the people because they were failing him.
Ese fue el simbolismo. Hoy los creyentes deseamos con todos nuestros corazones ser un aroma dulce o olor a nuestro Dios para ser ese perfume o ese incienso para él.;That was the symbolism. Today we believers desire with all our hearts to be a sweet smelling aroma to our God to be that perfume or that incense for him.
Es por eso que leer el versículo 214 dice ahora gracias a Dios que siempre nos guía en el triunfo en Cristo;That's why reading verse 214 it states now thanks be to God who always leads us in triumph in Christ
y a través de nosotros difunde la fragancia de su conocimiento en cada lugar.;and through us diffuses the fragrance of his knowledge in every place.
Dice que la fragancia del conocimiento de nuestro Dios se manifiesta en todas partes en la vida de la humanidad.;It says that the fragrance of the knowledge of our God is manifested everywhere in the life of humankind.
Y dice: 'Porque somos para Dios la fragancia de Cristo.';And it says, 'For we are to God the fragrance of Christ.'
En aquellos tiempos, en tiempos antiguos, era el olor de incienso o perfumes.;In those times, in ancient times, it was the scent of incense or perfumes.
Pero en el evangelio, son los creyentes. Porque somos para Dios la fragancia de Cristo entre los que están siendo salvos,;But in the gospel, it's the believers. For we are to God the fragrance of Christ among those who are being saved,
significa el justo, el recto, .;meaning the righteous, the upright, .
