Lo que nos distingue de otros cristianos es la manifestación del Espíritu Santo.;What sets us apart from other Christians is the manifestation of the Holy Spirit.
Él nos concede dones espirituales y hablamos en lenguas, un idioma que no es de este mundo.;He grants us spiritual gifts, and we speak in tongues, a language that is not of this world.
Son lenguas angélicas de Dios, un idioma divino que hablamos sin necesidad de tomar cursos.;They are angelic tongues from God, a divine language we speak without needing to take any courses.
El Espíritu Santo viene, usa nuestra boca y nuestra lengua, y nos hace hablar de manera diferente.;The Holy Spirit comes, uses our mouth and our tongue, and makes us speak differently.
También hay dones espirituales como el don de profecía, y quien lo tiene es llamado profeta o profetisa.;There are also spiritual gifts like the gift of prophecy, and one who has it is called a prophet or prophetess.
Dios también da los dones de sanidad y de imposición de manos para que las personas reciban un beneficio.;God also gives the gifts of healing and laying on of hands so that people receive a benefit from God.
Cuando se imponen las manos sobre una persona enferma, Dios la sana de cualquier enfermedad que tenga.;When hands are laid on a sick person, God heals them of whatever disease they may have.
Dios usa a ese hombre o mujer para sanar a las personas mediante el don de imposición de manos.;God uses that man or woman to heal people through the gift of laying on of hands.
También existe el don de discernimiento, el don de liberación y el don de expulsar espíritus malignos.;There is also the gift of discernment, the gift of deliverance, and the gift of casting out evil spirits.
Dios nos da estos dones para liberar y limpiar a quienes son atormentados por espíritus de brujería y hechizos.;God gives us these gifts to deliver and cleanse those who are tormented by witchcraft spirits and spells.
El Señor nos da estos dones para que las personas puedan ser liberadas, limpias y tener paz y felicidad.;The Lord gives us these gifts so that people can be delivered, cleansed, and have peace and happiness.
Esto es lo que hacemos en nuestra iglesia: sanidades, milagros, maravillas y liberaciones por el poder de Dios.;This is what we do in our church: healings, miracles, wonders, and deliverances by the power of God.
Si investigas otras iglesias y no hacen estas cosas, es porque no están en el camino verdadero.;If you investigate other churches and they do not do these things, it is because they are not on the true path.
El verdadero camino es la manifestación de los dones espirituales, las sanidades, los milagros y las maravillas de Dios.;The true path is the manifestation of spiritual gifts, healings, miracles, and wonders performed by God.
Dios también da paz, alegría, y hablamos en lenguas: esa es la verdadera religión cristiana.;God also gives peace and joy, and we speak in tongues: that is the true Christian religion.
Esa es la señal que debes buscar: donde Dios hace estas cosas, es porque él está allí presente.;That is the sign you should be looking out for: wherever God does this, it is because he is there.
Pero si nada de esto sucede en ese lugar, es porque Dios no está allí.;But if none of this happens there, it is because God is not there.
