Me gustaría responder a una pregunta que me hicieron.;I'd like to answer a question that was asked of me.
Alguien quería saber quiénes son los enemigos de Dios. Verás, alguien me escribió diciéndome que habían experimentado;Someone wanted to know who are God's enemies. You see, someone wrote to me telling me that they had experienced
y sufrió de brujería. Que su propia familia estaba involucrada en brujería;and suffered from witchcraft. That their own family was involved in witchcraft
y brujería y que habían sido víctimas de esta brujería dentro de su propia familia.;and sorcery and that they had been a victim of this witchcraft within their own family.
Dijeron que les había causado tanto daño, tanto dolor que comenzaron a albergar el resentimiento,;They said that it had caused them so much harm, so much pain that they began to harbor resentment,
incluso el odio hacia su familia. Pero dijeron que encontraron el camino de Dios.;even hatred towards their family. But they said they found God's path.
Ellos descubrieron su palabra y piensan que es hora de dejar ir el odio;They discovered his word and they think it's time to let go of the hatred
y resentimiento. Preguntaron si es posible orar para rezar por esta gente.;and resentment. They asked if it's possible to pray to pray for these people.
Así que quieren saber si estas personas son enemigos de Dios, que son enemigos de Dios,;So they want to know if these people are God's enemies, who are God's enemies,
y si debemos orar por los enemigos de Dios. Así que queremos aclarar que estas personas practican brujería;and if we should pray for God's enemies. So we want to clarify that these people who practice witchcraft
y la brujería son personas que ignoran el camino de Dios.;and sorcery are people who are ignorant of God's path.
No saben que hay un camino perfecto que conduce a la salvación, un camino de bondad,;They don't know that there is a perfect path that leads to salvation, a path of goodness,
un camino de justicia, un camino donde debemos hacer lo que es bueno y sólo para agradar al Señor.;a path of righteousness, a path where we must do what is good and just to please the Lord.
No saben de esto y por eso viven sus vidas causando daño,;They are unaware of this and that's why they live their lives causing harm,
cometer estos males contra la gente a través de brujería, hechizos y maldiciones.;committing these evils against people through witchcraft, spells, and curses.
No necesariamente los consideraríamos enemigos de Dios, sino personas que, ya que no conocen el camino de Dios,;We wouldn't necessarily consider them God's enemies, but rather people who, since they don't know God's path,
están buscando una manera fácil de hacer dinero. y alguien les enseña estos caminos equivocados;are looking for an easy way to make money. and someone teaches them these wrong paths
y siguen el camino equivocado simplemente por la codicia por el dinero.;and they follow the wrong path simply out of greed for money.
Los enemigos de Dios son aquellos que maldicen a Dios, rechazan a Dios, niegan la existencia de Dios, se enojan con Dios,;God's enemies are those people who curse God, reject God, deny God's existence, get angry with God,
no quieren hacer nada con Dios, prohiban que sus familias vayan a la iglesia, prohiban;want nothing to do with God, forbid their families from going to church, forbid
y detesto decir, 'No me hables de esa Biblia porque odio la Biblia.;and detest saying, 'Don't talk to me about that Bible because I hate the Bible.
Odio todo lo que tiene que ver con Dios". Se molestan porque tal vez un miembro de la familia va a la iglesia.;I hate everything that has to do with God.' They get upset because perhaps a family member goes to church.
Así que esta persona comienza a gritar y pronunciar muchas palabras, muchos insultos;So this person starts shouting and spewing a lot of words, a lot of insults
y maldiciones contra la obra del Señor y su existencia. Esas son las personas que diríamos que son los enemigos de Dios.;and curses against the Lord's work and his existence. Those are the people we would say are God's enemies.
Y también cuando leemos los Salmos, encontramos que había enemigos del Señor.;And also when we read the Psalms, we find that there were enemies of the Lord.
los enemigos del Señor que estaban diciendo que era su propio pueblo sus propios hermanos que no creían en él;the Lord's enemies who were it says it was his own people his own brothers who did not believe in him
y se convirtió en enemigos y lo entregó a los romanos para ser sacrificado para hacerle daño para matarlo.;and became enemies and handed him over to the Romans to be sacrificed to harm him to kill him.
Así que se convirtieron en enemigos de Dios al no creer las palabras proféticas que Dios había hablado a través de todos los profetas en el pasado.;So they became God's enemies by not believing the prophetic words that God had spoken through all the prophets in the past.
Así que no creyeron, sino que se enojó y se volvió contra el Señor.;So they didn't believe but instead got angry and turned against the Lord.
Esas personas son enemigos de Dios. Así que si vamos a rezar por ellos, no lo creo.;Those people are God's enemies. So if we're going to pray for them, I don't think so.
Hay un salmo que habla claramente donde el Señor pide justicia.;There's a psalm that speaks clearly where the Lord instead asks for justice.
Él pide al padre justicia diciendo que él debe hacer justicia a sus enemigos que este pueblo malvado porque eso es lo que se convierten en gente mala;He asks the father for justice saying that he should deal justice to his enemies that these wicked people because that's what they become wicked people
y para estos malvados el señor pide castigo.;and for these wicked people the lord asks for punishment.
Él no ora por ellos pero pide castigo para que Dios haga justicia. Esa es la aclaración.;He doesn't pray for them but asks for punishment for god to do justice. That's the clarification.
Espero que ayude a la persona que pidió y también les aconsejo que lean la Biblia para leer los salmos porque aprenderán mucha doctrina allí.;I hope it helps the person who asked and I also advise them to read the Bible to read the psalms because they will learn a lot of doctrine there.
Muy bien. Que todo el honor sea para nuestro Dios y damos gracias al Señor.;All right. May all honor be to our God and we give thanks to the Lord.
