Hermana, tengo una pregunta de la Biblia que se encuentra en Job 22 al 28.;Sister, I have a question from the Bible which is in Job 22 to Job 28.
Dice: recibe, por favor, la instrucción de su boca y pon sus palabras en tu corazón.;It says: receive, please, instruction from his mouth and lay up his words in your heart.
Si te vuelves al Todopoderoso, serás edificado y alejarás la iniquidad de tus tiendas.;If you return to the Almighty, you will be built up and you will remove iniquity far from your tents.
Entonces pondrás tu oro en el polvo, y el oro de Ofir entre las piedras de los arroyos.;Then you will lay your gold in the dust and the gold of Ophir among the stones of the brooks.
El Todopoderoso será tu oro y tu plata preciosa, y en él tendrás tu deleite.;The Almighty will be your gold and your precious silver, and you will have your delight in him.
Levantarás tu rostro a Dios, le orarás y él te escuchará, y pagarás tus votos.;You will lift up your face to God, make your prayer to him, he will hear you, and you will pay your vows.
También declararás una cosa y se establecerá para ti, y la luz brillará en tus caminos.;You will also declare a thing and it will be established for you, and light will shine on your ways.
Hermana, según la doctrina, sabemos que Elifaz fue usado por el diablo, pero aquí usa muchas palabras que exaltan la obra de Dios.;Sister, based on the doctrine, we know that Eliphaz was used by the devil, but here he uses many words that exalt God's work.
¿Alguna vez te has preguntado cómo el diablo logra engañar a una persona? ¿Cómo le tiende una trampa?;Have you ever wondered how the devil manages to deceive a person? How does the devil trick someone?
El diablo dice verdades, hace cosas buenas y realiza obras hermosas para engañar a las personas.;He tells truths, does nice things, and performs beautiful deeds in order to deceive people.
He escuchado que hay personas que van a brujas, espiritistas y hechiceros, y dicen que lo hacen con la Biblia.;I have heard that there are people who go to witches, spiritists, and sorcerers, and they claim it is done with the Bible.
Dicen que invocan la sangre de Cristo y mencionan el nombre de Dios para engañar a quienes van a consultarlos.;They claim to invoke the blood of Christ and mention God's name in order to deceive the people who go to consult them.
Cuando alguien consulta, dice: esto no es malo porque mira, mencionan a Dios y tienen la Biblia allí.;When someone consults them, they say: this is not bad because look, they mention God and they have the Bible there.
Ahí está el diablo engañando a las personas. El diablo engaña diciendo verdades para atrapar a la gente.;There is the devil deceiving people. The devil deceives by telling truths in order to trap people.
Una vez que la persona es engañada, el diablo comienza a mostrarle otras cosas torcidas y equivocadas.;Once the person is deceived, the devil begins to show them other things that are wrong and twisted.
Y la persona poco a poco cae en la trampa del diablo sin darse cuenta. Eso es lo que hace el diablo.;And the person little by little falls into the devil's trap without realizing it. That is what the devil does.
Este hombre Elifaz pensaba que sabía mucho, como filósofo, pensador y patriarca, igual que Job.;This man Eliphaz thought he knew a lot, like a philosopher, thinker, and patriarch, just like Job.
Cuando vieron a Job en esa condición de sufrimiento y amargura, inmediatamente lo juzgaron y le dijeron que había pecado.;When they saw Job in that condition of suffering and bitterness, they immediately judged him and told him he had sinned.
Elifaz fue usado por el diablo para engañar a Job y hacer que renunciara a Dios, que era lo que el diablo quería.;Eliphaz was used by the devil to deceive Job and make him renounce God, which was what the devil wanted.
Satanás le dijo al Señor: si le quitas todo lo material que Job tiene, él te renunciará.;Satan said to the Lord: if you take away all the material things Job has, he will renounce you.
Y nuestro Dios le dijo a Satanás: no, él no me renunciará. Te lo pongo en tus manos, haz lo que quieras con Job, solo no le quites la vida.;And our God said to Satan: no, he will not renounce me. I put him in your hands, do what you want with Job, just do not take his life.
El diablo usó de inmediato a los tres amigos de Job, que eran muy sabios y filosóficos y sabían mucho.;The devil immediately used Job's three friends, who were very wise and philosophical and knew a lot.
Job podría ser engañado porque pensaría: claro, ellos también saben y tienen mucho conocimiento como yo.;Job could be deceived because he would think: of course, they also know and have a lot of knowledge like me.
Pero lo que el diablo y sus amigos no esperaban era que Job no cayera en la trampa.;But what the devil and his friends did not expect was that Job would not fall into the trap.
Mira lo que dice este hombre usado por el diablo: toma ahora la ley de su boca y pon sus palabras en tu corazón.;Look at what this man used by the devil says: take now the law of his mouth and put his words in your heart.
Le estaba diciendo que estaba pecando y que debía arrepentirse y volverse a Dios, haciéndole promesas de bendiciones.;He was telling him that he was sinning and that he should repent and turn to God, making him promises of blessings.
Todo esto era para hacer caer a Job en la trampa. Todas estas hermosas palabras, el diablo las conoce.;All of this was to make Job fall into the trap. All these beautiful words, the devil knows them.
El diablo puede dar cosas muy buenas a una persona para hacerla caer en la trampa y robarle sus bendiciones.;The devil can give a person very nice things to make them fall into the trap and steal their blessings.
Por eso debemos ser sabios, inteligentes, astutos y conocedores de la doctrina de Dios para no caer en las trampas del enemigo.;That is why we must be wise, intelligent, shrewd, and knowledgeable about God's doctrine so as not to fall into the enemy's traps.
Una vez el diablo se le apareció a un hermano de la iglesia y quería tenderle trampas, prometiéndole bendiciones y riquezas.;Once the devil appeared to a brother from the church and wanted to set traps for him, promising him blessings and riches.
El diablo le dijo: quiero darte mucho dinero y hacerte rico, así que arrodíllate y hónrame.;The devil told him: I want to give you a lot of money and make you rich, so kneel down and honor me.
El hermano no quiso obedecerle y se dio cuenta de que era el diablo quien le hablaba, aunque al principio pensó que era Dios.;The brother did not want to obey him and realized it was the devil who was talking to him, though at first he thought it was God.
Así es el diablo. Estos amigos de Job fueron usados y aunque hablaron cosas hermosas, era un engaño para que Job cayera.;That is the devil. These friends of Job were used, and although they spoke beautiful things, it was a deception to make Job fall.
