Hermana, tengo una pregunta encontrada en Isaías capítulo 53 versículo 2.;Sister, I have a question found in Isaiah chapter 53 verse 2.
Dice: 'Porque crecerá delante de él como planta tierna;It states, 'For he shall grow up before him as a tender plant
y como una raíz de tierra seca. No tiene forma ni comensidad.;and as a root out of dry ground. He has no form or comeliness.
Y cuando lo vemos, no hay belleza que debamos desearle;And when we see him, there is no beauty that we should desire him.'
Hermana, en un audio que grabaste sobre idolatría el 30 de octubre,;Sister, in an audio you recorded about idolatry on October 30th,
usted sugirió que debemos tener cuidado con ver películas o telenovelas en televisión que hablan sobre el Señor Jesucristo.;you suggested that we should be careful about watching movies or soap operas on television that speak about the Lord Jesus Christ.
Así como Moisés y otros. Lo que pasa, hermana, es que en todas las películas o telenovelas,;As well as Moses and others. What happens, sister, is that in all the movies or soap operas,
siempre retratan al Señor Jesucristo como un hombre con una apariencia física muy apuesto.;they always portray the Lord Jesus Christ as a man with a very handsome physical appearance.
Por eso no deberíamos ver esas películas o telenovelas porque ves que la imagen del actor se queda con nosotros.;That's why we shouldn't watch those movies or soap operas because you see the actor's image stays with us.
Por favor, continúe, hermana. Te lo pregunto, hermana, porque aquí en Bolivia,;Please, continue, sister. I ask you this, sister, because here in Bolivia,
están emitiendo una telenovela sobre la vida del Señor Jesucristo.;they're broadcasting a soap opera about the life of the Lord Jesus Christ.
Así que, por favor, me gustaría que nos explicaras un poco más sobre lo que le pasa a nuestra vida espiritual si,;So, please, I would like you to explain to us a little more about what happens to our spiritual life if,
incluso por curiosidad, vemos un solo episodio de la telenovela.;even out of curiosity, we watch a single episode of the soap opera.
Esta pregunta es para las personas que son invitados por primera vez en la iglesia o incluso para aquellos que ya han estado congregando aquí en la iglesia durante algún tiempo.;This question is for people who are first-time guests in the church or even for those who have already been congregating here in the church for some time.
Gracias y que Dios te bendiga. Gracias, hermana.;Thank you and may God bless you. Thank you, sister.
Para mí, es irrespetuoso con Dios hacer películas o telenovelas sobre el Señor Jesucristo o Dios.;To me, it's disrespectful towards God to make movies or soap operas about the Lord Jesus Christ or God.
Es irrespetuoso porque la Biblia dice que nadie ha visto a Dios;It's disrespectful because the Bible says that no one has ever seen God
y la gente, como dice la hermana, lanzó un actor muy guapo, muy hermoso.;and people, as the sister says, cast a very handsome, very beautiful lead actor.
Pero la Biblia dice que el Señor Jesús no era físicamente atractivo para que nadie lo deseara.;But the Bible says that the Lord Jesus wasn't physically attractive so that no one would desire him.
La belleza del Señor Jesús era espiritual. Dice que su belleza espiritual le hizo el más hermoso entre todos los hombres,;The beauty of the Lord Jesus was spiritual. It says that his spiritual beauty made him the most beautiful among all men,
pero no su belleza física para que nadie empezara a desearle, ¿verdad?;but not his physical beauty so that no one would start to desire him, right?
Para enamorarse, ya sean hombres o mujeres, enamorados de él.;To fall in love, whether men or women, in love with him.
Y creo que es irrespetuoso con Dios ver eso porque no quiero a los hermanos;And I think it's disrespectful towards God to watch that because I don't want the brothers
y hermanas para distraerse viendo eso. Es mejor ver cualquier otra película,;and sisters to get distracted by watching that. It's better to watch any other movie,
cualquier otra telenovela sobre los seres humanos, y no falta el respeto de Dios mostrando un carácter,;any other soap opera about human beings, and not disrespect God by showing a character,
y también inventando cosas que no ocurrieron en la vida del Señor, pero son sólo inventos;and also inventing things that didn't happen in the Lord's life, but are just inventions
y imaginación de la gente. Entonces, eso es irrespetuoso. Como alguien que ama a Dios;and imaginations of people. So, that's disrespectful. As someone who loves God
y busca a Dios, no sería correcto que me sentara ahí mirando eso porque pensaría que también es una distracción,;and seeks God, it wouldn't be right for me to sit there watching that because I would think that it's also a distraction,
y también me sentiría como mi propia conciencia acusándome de perder la bendición espiritual o faltar al respeto al Señor sólo viendo eso.;and I would also feel like my own conscience accusing me of losing spiritual blessing or disrespecting the Lord just by watching that.
Entonces, los que hacen eso son irrespetuosos de Dios, y los que lo ven también son irrespetuosos de Dios,;So, those who do that are disrespecting God, and those who watch it are also disrespecting God,
especialmente nosotros que sabemos sobre el Señor. No a la gente del mundo porque no les importa,;especially us who know about the Lord. Not the people of the world because they don't care,
y es todo lo mismo para ellos, pero nosotros los que sabemos acerca de Dios, sí,;and it's all the same to them, but we who know about God, yes,
también estaríamos faltando al Señor participando. Porque recuerda que la Biblia también enseña que no es sólo el que peca,;we would also be disrespecting the Lord by participating. Because remember that the Bible also teaches that it's not only the one who sins,
pero también el que participa. ¿Verdad? Dice: 'No participes en los pecados de los demás'?;but also the one who participates. Right? It says, 'Do not participate in others' sins.'?
Entonces, el que participa también está ofendiendo a Dios por estar allí con la persona que está pecando,;So, the one who participates is also offending God by being there with the person who is sinning,
acompañarlos juntos y aceptarlo. Así que dice que está participando,;accompanying them together and as if accepting it. So, it says that he is participating,
y eso no es agradable al Señor. Así que aconsejo a los hermanos;and that is not pleasing to the Lord. So, I advise the brothers
y hermanas para tener cuidado con estas cosas. Los recién llegados, si no han comprendido las cosas del Señor, bueno,;and sisters to be careful with these things. Newcomers, if they haven't understood the things of the Lord, well,
ese es el problema de cada persona. Pero el que es espiritual debería analizar;that's each person's problem. But the one who is spiritual should rather analyze
y tomar su propia decisión y ejercer su propio juicio.;and make their own decision and exercise their own judgment.
