el Señor recientemente, en su misericordia, nos trajo a esta nación con mi esposa para trabajar.;the Lord recently, in his Mercy, brought us to this nation with my wife for work.
Usted, en un reflejo, compartió con nosotros y nos enseñó a cuidar de la curiosidad de visitar, por ejemplo, templos,;You, in a reflection, shared with us and taught us to Beware of the Curiosity of visiting, for example, temples,
basílicas, o bien, todos estos lugares donde se practica alguna forma de idolatría.;basilicas, or, well, all these places where some form of idolatry is practiced.
Mi pregunta personal es: Entiendo que en estos lugares donde la gente se reúne activamente;My personal question is: I understand that in these places where people actively gather
y practicar estas actividades, el Señor está disgustado con esto, pero el Señor lo ve como equivocado, digamos,;and practice these activities, the Lord is displeased with this, but does the Lord see it as wrong, let's say,
para que asistamos a sitios arqueológicos que son ruinas que una vez, quizás hace mil o dos mil años,;for us to attend archaeological sites which are ruins that once, perhaps a thousand or 2, 000 years ago,
servido como templos, pero hoy son sitios turísticos, arqueológicos, históricos? ¿Está el Señor disgustado con eso?;served as temples, but today are tourist, archaeological, historical sites? Is the Lord displeased with that?
Porque, por ejemplo, no lo sé, los parientes vienen, o nosotros, como extranjeros en esta nación, vemos muchas cosas interesantes;Because, for example, I don't know, relatives come, or we, as foreigners in this nation, see many interesting things
y quieren hacer turismo. Pero, bueno, me gustaría saber si el Señor está disgustado con eso.;and want to do tourism. But, well, I would like to know if the Lord is displeased with that.
Bueno, ese es Dios que trata con la persona como quiere,;Well, that is God who deals with person as he wants,
y también depende de la madurez, la madurez espiritual de la persona.;and it also depends on the maturity, the spiritual maturity of the person.
La madurez espiritual de la persona es de lo que depende, porque hay personas que son de mente débil;The spiritual maturity of the person is what it depends on, because there are people who are weak-minded
y se corrompen. Ellos se dejaron influenciar por las cosas, son de manera que les duele, les daña.;and they corrupt themselves. They let themselves be influenced by things, are way so it hurts them, it harms them.
Tal vez para esa gente Dios diría, no hagas eso, no vayas a esos lugares, no creas en eso,;Perhaps to those people God would say, don't do that, don't go to those places, don't believe in that,
no hagas eso. Las costumbres o los derechos o costumbres que la gente hace, las supersticiones,;don't do that. The Customs or the rights or Customs that people do, the superstitions,
porque hay tantas creencias y tantas supersticiones.;because there are so many beliefs and so many superstitions.
Bueno, no hagas eso, evitalos completamente. Una persona madura que ya tiene la doctrina, que ya entiende muchas cosas,;Well, don't do that, avoid them completely. A mature person who already has the doctrine, who already understands many things,
bueno, no se volverá loco si no pueden ir a mirar o participar en lo que la gente hace o dice.;well, will not be going crazy if they cannot go and look or participate in what people do or say.
Cada persona debe considerar las circunstancias, considerar la María, el momento, el tiempo, la circunstancia, el hecho, considerar todo;Each person must consider the circumstances, consider the Maria, the moment, the time, the circumstance, the fact, consider everything
y tomar una decisión, tomar decisiones. Por ejemplo, recuerdo que en la vida a muchas personas el Señor les prohibió asistir a una Iglesia Católica,;and make a decision, make decisions. For example, I remember that in life to many people the Lord forbade them to attend a Catholic Church,
a Misa, a una boda, a un bautismo, a una presentación, o a ir a misa.;to Mass, to a wedding, to a baptism, to a presentation, or to go to mass.
Había gente que estaba en la iglesia, supuestamente ya estaban en nuestra iglesia,;There were people who were in the church, supposedly they were already in our church,
y de repente, debido a su familia, fueron a esos lugares para que la familia no se alterara.;and suddenly, because of their family, they went to those places so that the family would not get upset.
Así que fueron a la boda, a la misa, o al bautismo,;So they went to the wedding, to the mass, or to the baptism,
y cuando llegaron a la iglesia el Espíritu Santo les amonestó;and when they came to the church the Holy Spirit admonished them
y les dijo que no tenías que estar en esos lugares. Una vez recuerdo que un joven se fue.;and told them, you don't have to be in those places. Once I remember that a young man went.
No lo sé, había estado en la iglesia por un tiempo.;I don't know, he had been in the church for a while.
Él ya fue bautizado por nuestra iglesia. Era un creyente constante.;He was already baptized by our church. He was a consistent believer.
Pero una vez que dice que tenía amigos, algunos amigos,;But once he says he had a friends, some friends,
y que uno de ellos lo invitó a la misa de la iglesia católica,;and that one of them invited him to the mass of the Catholic church,
y que fue allí a la misa de la iglesia católica,;and that he went there to the mass of the Catholic church,
y comenzó a orar mentalmente, orando a Dios, y, bueno, así que pensó que había hecho bien;and he began to pray mentally, praying to God, and, well, so he thought he had done well
y que había dejado una muy buena impresión en su amigo.;and that he had left a very good impression on his friend.
