La madurez espiritual implica adquirir conocimiento de la doctrina, aprender cómo aplicarla.;Spiritual maturity involves gaining knowledge of doctrine, learning how to apply it.
Y entender cómo conducirnos en nuestra vida espiritual. Saber cómo manejar las cosas, cómo tratar a las personas.;And understanding how to conduct ourselves in our spiritual life. Knowing how to manage things, how to treat people.
Aprender a mostrar misericordia, a ser prudentes, a tener sabiduría al hablar, al enseñar.;Learning to show mercy, to be prudent, to have wisdom in speaking, in teaching.
Se trata de saber cuándo hablar y cuándo guardar silencio, cómo enseñar, cómo animar y exhortar a otros.;It's about knowing when to speak and when to remain silent, how to teach, how to encourage and exhort others.
Cómo amonestar y cómo explicar las cosas claramente.;How to admonish and how to explain things clearly.
Toda esta madurez nos permite navegar nuestra vida espiritual con sabiduría.;All of this maturity allows us to navigate our spiritual life wisely.
Es como cuando alguien comienza a estudiar una carrera o una profesión. Comienzan con lo básico.;It's like when someone begins studying for a career or a profession. They start with the basics.
Y al final se convierten en profesionales altamente capacitados que saben cómo manejar el tema.;And in the end they become highly skilled professionals who know how to handle the entire subject.
La vida espiritual es lo mismo. La doctrina del Señor es lo mismo.;The spiritual life is the same. The Lord's doctrine is the same.
Nosotros también estamos en un viaje aprendiendo la doctrina y cada día aprendiendo algo nuevo.;We too are on a journey learning the doctrine and every day learning something new.
Cuando escuchamos los testimonios de las personas, aprendemos algo.;When we hear people's testimonies, we learn something.
Cuando otros nos cuentan sobre el milagro que Dios realizó en sus vidas o sobre una promesa que Dios hizo que se cumplió, aprendemos de eso.;When others tell us about the miracle God performed in their lives or about a promise God made that was fulfilled, we learn from that.
La manera en que Dios trata con nosotros, la manera en que da sueños o visiones, todo esto es parte de un viaje de aprendizaje.;The way God deals with us, the way he gives dreams or visions, all of this is part of a learning journey.
Todo esto nos ayuda a aprender cómo vivir, cómo vivir la vida espiritual y cómo caminar el camino del Señor.;All of this helps us learn how to live, how to live the spiritual life and how to walk the Lord's path.
Y de esta manera, debemos seguir progresando, cambiando y haciendo las cosas bien, haciendo todo bien sin ofender ni herir a nadie.;And in this way, we must keep progressing, changing, and doing things right, doing everything well without offending or hurting anyone.
Se trata de no fallar en manejar, guiar, organizar, gobernar, dirigir, amonestar o enseñar a alguien por falta de sabiduría.;It's about not failing to manage, guide, organize, govern, direct, admonish, or teach someone because of a lack of wisdom.
Incluso algo tan simple como sentar a una persona en su silla requiere saber cómo hacerlo con sabiduría, buenos modales, prudencia y misericordia.;Even something as simple as seating a person in their chair requires knowing how to do it with wisdom, good manners, prudence, and mercy.
¿Verdad? Por ejemplo, decir: "Por favor, muévase un poco para hacer espacio para alguien que viene y necesita la silla. Gracias." ¿Verdad?;Right? For example, saying, "Please move a little to make room for someone who is coming and needs the chair. Thank you." Right?
Incluso en estas pequeñas y simples acciones, debemos aplicar la sabiduría, la misma sabiduría que estamos adquiriendo.;Even in these small simple actions, we must apply wisdom, the very wisdom we are acquiring.
Esto es parte de la madurez espiritual que desarrollamos prestando atención a la doctrina.;This is part of the spiritual maturity we develop by paying attention to the doctrine.
Poniendo en práctica las enseñanzas del Señor, leyendo la Biblia y practicando los buenos modales.;Putting the Lord's teachings into practice, reading the Bible and practicing good manners.
Aprendemos cada vez que la leemos para poder aprender a hacer algo bien, algo bueno tanto en la vida como en la doctrina.;We learn every time we read it so we can learn to do something well, something good both in life and in doctrine.
Nuestra vida espiritual, por lo tanto, debe ser una vida de crecimiento. Seguimos creciendo y prosperando.;Our spiritual life therefore must be a life of growth. We keep growing and prospering.
Hasta que, como dice el apóstol, nos convertimos en maestros. Las personas que verdaderamente conocen nuestra vida espiritual no pueden permanecer estancadas.;Until as the apostle says we become teachers. People who truly know our spiritual life cannot remain stagnant.
Siempre debemos progresar para poder enseñar a las personas, para evangelizar a alguien.;We must always progress to be able to teach people, to evangelize someone.
Cuando una persona nos pregunta sobre la religión, el cristianismo o la Biblia, necesitamos estar listos.;When a person asks us about religion, Christianity, or the Bible, we need to be ready.
Si llevas aquí 10 o 15 años y todavía no puedes dar una respuesta porque has desperdiciado tu tiempo.;If you've been here 10 or 15 years and still can't give an answer because you've wasted your time.
Porque no has prestado atención ni has sido diligente, eso es un problema.;Because you haven't paid attention or been diligent, that's a problem.
Cuando lees la Biblia, debes hacerlo con todos tus sentidos y poner tu corazón en ello.;When you read the Bible, you must do it with all your senses and put your heart into it.
De lo contrario, no aprendes nada y no eres capaz de responder a alguien cuando te pregunta sobre Dios.;Otherwise, you learn nothing and aren't able to answer someone when they ask about God.
La madurez espiritual consiste en saber cómo manejar todos estos detalles, pequeños y grandes, todas las situaciones.;Spiritual maturity is about knowing how to handle all these details, small and large, all situations.
Cómo nos comportamos con las personas, cómo nos comportamos como iglesia.;How we behave with people, how we behave as a church.
Todo esto es madurez espiritual. Es muy importante que valoremos y nos esforcemos por madurar cada día.;All of this is spiritual maturity. It's very important that we value and strive to mature every day.
