Voy a leer en el capítulo 1 de Reyes capítulo 4 verso 29.;I am going to read in 1st Kings chapter 4 verse 29.
1 Reyes 4:29. Y Dios dio sabiduría a Salomón y gran entendimiento;1 Kings 4:29. And God gave Solomon wisdom and exceedingly great understanding
y grandeza de corazón como la arena en la orilla del mar.;and largeness of heart like the sand on the seashore.
Hermana María Luisa, en este versículo vemos que se mencionan tres virtudes que nuestro Dios dio a Salomón, sabiduría,;Sister Maria Luisa, in this verse we see that three virtues are mentioned that our God gave to Solomon, wisdom,
prudencia, y grandeza de corazón. En varias ocasiones, hermana, nos has explicado la sabiduría que Dios dio al rey Salomón.;prudence, and largeness of heart. On several occasions, sister, you have explained to us the wisdom that God gave to King Solomon.
Podemos entender, hermana, qué prudencia es, pero me gustaría, hermana,;We can understand, sister, what prudence is, but I would like, sister,
si pudieras explicarnos esta otra virtud, grandeza de corazón. Hermana, ¿cómo se manifestó en el rey Salomón?;if you could explain to us this other virtue, largeness of heart. Sister, how did it manifest in King Solomon?
Muchas gracias, hermana, y que Dios te bendiga mucho.;Thank you very much, sister, and may God bless you greatly.
Gracias. Creo que cuando la Biblia habla de que Salomón se le da sabiduría, muy gran entendimiento,;Thank you. I believe that when the Bible speaks of Solomon being given wisdom, exceedingly great understanding,
y grandeza de corazón, que grandeza de corazón se refiere a un gran corazón, capaz de abrazar a su pueblo;and a largeness of heart, that largeness of heart refers to a great heart, capable of embracing his people
y todos los asuntos que observó entre ellos. Él realmente tenía un bien, noble, justo, amable, generoso,;and all the matters he observed among them. He truly had a good, noble, righteous, kind, generous,
y corazón abierto, ¿verdad? Hay personas que no son generosas, que no dan, que no ayudan,;and open heart, right? There are people who aren't generous, who don't give, who don't help,
y que no muestran piedad. Ellos ven a otros sufriendo y ni siquiera les ofrecen una mano de ayuda.;and who show no mercy. They see others suffering and don't even offer them a helping hand.
¿Por qué? Porque sus corazones están cerrados y pequeños. Dios dio a Salomón esta grandeza de corazón para ser justos;Why? Because their hearts are closed and small. God gave Solomon this largeness of heart to be fair
y actuar con justicia, ya que también tuvo que servir como juez.;and act with justice, since he also had to serve as a judge.
Entonces, eso es lo que significaba la grandeza del corazón. Un corazón que no era codicioso,;So, that's what largeness of heart meant. A heart that was not greedy,
pero uno que vio las necesidades del pueblo con misericordia, compasión y generosidad.;but one that saw the needs of the people with mercy, compassion, and generosity.
Tenemos, por ejemplo, el caso cuando dos mujeres llegaron a él, cada una reclamando 'El niño es mío.';We have, for example, the instance when two women came to him, each claiming 'The child is mine.'
