Mi pregunta está en el Salmo 76, versículos 7, 8 y 9.;My question is in Psalm 76 verse number 7, 8, 9.
Dice: "Tú, digno eres de ser temido. ¿Y quién podrá estar en pie delante de ti cuando te enojes?";It says, "You are to be feared, and who may stand in your presence when once you are angry?"
Desde los cielos hiciste oír juicio. La tierra tuvo temor y quedó suspensa.;You caused judgment to be heard from heaven. The earth feared and was still.
Cuando te levantaste, oh Dios, para juzgar, para salvar a todos los mansos de la tierra.;When God arose to judgment, to deliver all the oppressed of the earth.
Mi pregunta, hermana, es que sabemos que los mansos de la tierra fueron Moisés y nuestro Señor Jesucristo.;My question, sister, is we know that the meek of the earth were Moses and our Lord Jesus Christ.
Quiero que nos enseñe, hermana, cómo nosotros como hijos de Dios podemos ser mansos.;I want you to teach us, sister, how we as children of God can be meek.
Bueno, sepa que aquí esos mansos están hablando de toda la iglesia que se va a convertir a Dios.;Well, know that here those meek are talking about the whole church that is going to convert to God.
Y este Salmo termina cuando en la vida eterna el Señor llama a sus escogidos, cuando juzga.;And this Psalm ends when there in eternal life the Lord calls his chosen ones, when he judges.
Y a sus escogidos les dice que habrá un nuevo cielo y una nueva tierra.;And to his chosen ones he says there will be a new heaven, a new earth.
Y el Señor es el que ilumina porque no habrá sol ni luna, y él es el que ilumina.;And the Lord is the one who illuminates because there will be no sun or moon, and he is the one who illuminates.
Y dice que habrá la boda del Cordero. Así que va a ser algo hermoso.;And it says that there will be the wedding of the Lamb. So it's going to be something beautiful.
Ahí es donde se cumple este versículo que dice: "Para salvar a todos los mansos de la tierra.";That is where this verse is fulfilled that says, "To save all the meek of the earth."
Los que desde el principio Dios les habló hasta el final, cuando el Señor vendrá en las nubes por su iglesia.;Those who from the beginning God spoke to them until the end, when the Lord will come in the clouds for his church.
Y se la llevará. Entonces ahí termina este versículo que dice: "Para salvar a todos los mansos.";And take it away. Then there this verse ends that says, "To save all the meek."
Los mansos son aquellas personas dispuestas en su corazón a creer y confiar en Dios.;The meek are those people willing in their heart to believe and trust in God.
A buscar y seguir el camino del Señor hasta el final de su vida. Ellos son los mansos.;To seek and follow the Lord's path until the end of their life. They are the meek.
Porque las personas que no son mansas son rebeldes, arrogantes, orgullosas, de corazón duro, necias.;Because people who are not meek are rebellious, arrogant, proud, hard-hearted, foolish.
Que se vuelven ateas y no creen en Dios. Que Dios no existe.;Who become atheists and do not believe in God. That God does not exist.
Ellos son lo opuesto de los mansos. Y el manso es el que acepta, el que cree, el que prepara el corazón para nuestro Dios.;They are the opposite of the meek. And the meek is the one who accepts, the one who believes, prepares the heart for our God.
Así que todos los requisitos de una persona nos dicen que la persona debe tener amor, tener bondad, tener misericordia, tener paz, ser mansa.;So all the requirements of a person tell us that the person must have love, have kindness, have mercy, have peace, be meek.
Dice que el manso reúne todos, todos, todos los frutos del espíritu. Los reúne y entonces es salvo.;It says that the meek gathers all, all, all the fruits of the spirit. He gathers them and then he is saved.
Dios lo llevará a la vida eterna. Y cuando ya tenga su iglesia, dirá: "Aquí el Señor salvó a los mansos de la tierra.";God will take him to eternal life. And when he already has his church, he will say, "Here the Lord saved the meek of the earth."
A todos los que desde el principio, digamos desde Adán hasta el final, cuando el Señor venga, que sean salvos, que crean, que busquen a Dios. Ellos son los mansos.;To all those who from the beginning, let's say from Adam to the end, when the Lord comes, may they be saved, believe, seek God. They are the meek.
Los mansos que pusieron su corazón para Dios. Por eso el Señor dice: "Bienaventurados los mansos, porque ellos heredarán la tierra.";The meek who set their hearts for God. That's why the Lord says, "Blessed are the meek, for they will inherit the earth."
Pero no es esta tierra física, sino la de la vida eterna, el nuevo cielo y la nueva tierra.;But it's not this physical earth, but that of eternal life, the new heaven and new earth.
Así que dice que los mansos heredarán esta nueva tierra que está en la eternidad.;So it says that the meek will inherit this new earth which is in eternity.
Aquí el Señor dice que se levantó para juzgar y para salvar. Esto no ha sucedido. No ha ocurrido.;Here the Lord says that he rose to judge and to save. This has not happened. It has not occurred.
En Apocalipsis dice que esto es para el tiempo del fin, que el Señor estará juzgando.;In Revelation it says that this is for the end time, that the Lord will be judging.
Y enviando a algunos al infierno, al lago de fuego, y a otros a la vida eterna.;And sending some to hell, to the lake of fire, and others to eternal life.
Así que miren, estos versículos son profecías habladas por el espíritu de Dios en la boca del que cantaba.;So look, these verses are prophecies spoken by the spirit of God in the mouth of the one who was singing.
Aquí dice que fue de Asaf, uno de sus cánticos, tomado en el espíritu de Dios. Él era sacerdote, profeta.;Here it says that it was from Asaf, one of his songs, taken in the spirit of God. He was a priest, a prophet.
El espíritu lo tomó para hablar todo esto. Que ellos mismos no entendían qué era.;The spirit took him to speak all this. That they themselves did not understand what it was.
Pero aquí era en verdad el Señor en la boca de todas estas personas hablando de todas estas maravillas.;But here it was indeed the Lord in the mouth of all these people speaking about all these wonders.
Y con música. Lo más hermoso era que era con música, con melodías. Por eso me gustan tanto los Salmos.;And with music. The most beautiful thing was that it was with music, with melodies. That's why I like the Psalms so much.
Los Salmos son algo hermoso para alabar al Señor, porque ya no tenemos palabras para decirle a Dios. Así que las copiamos de los Salmos.;The Psalms are something beautiful to praise the Lord, because we no longer have words to tell God. So we copy them from the Psalms.
