Y mi última pregunta es que nos han enseñado que el espíritu de depresión es un espíritu, sí,;And my last question is that we've been taught that the spirit of depression is a spirit, yes,
es un espíritu maligno. Me gustaría, si pudiera, ir un poco más en profundidad con respecto a este tema,;it's an evil spirit. I would like, if you could, kindly go a little more in depth regarding this topic,
y cómo reprender este espíritu maligno. Cuando cada persona, hombre o mujer o niño, cualquiera que sea, se siente;and how to rebuke this evil spirit. When every person, man or woman or child, whoever it may be, feels
y sabe que tienen esa depresión, y ustedes vienen a la iglesia, saben que ese es un espíritu maligno,;and knows that they have that depression, and you come to church, know that that is an evil spirit,
y el origen viene debido a la Brujería y las maldiciones de la Antigüedad.;and the origin comes because of Witchcraft and curses from Antiquity.
Siempre ha habido Brujas y Maldiciones, donde maldicen a la gente.;There has always been Witchcraft and curses, where they curse people.
Curan una familia, y dicen: 'Que pasen todas las generaciones hasta el 10 o el 20 o hasta cien años.;They Cur a family, and they say: 'Let all the generations until the 10th or the 20th or until a hundred years go by.
Que todos estén cubiertos con esta maldición, para que todos puedan sufrir de depresión y suicidio;Let them all be covered with this curse, that they all may suffer from depression and suicide.'
Y esas maldiciones vienen, y por eso vemos mucho.;And those curses come, and that is why we see that a lot.
Es muy común. Así que, para los que están en la iglesia, para los que están en la iglesia,;It's very common. So, for those who are in the church, for those who are in the church,
si ves a tu gente, a tus seres queridos, a tus familiares, a tus hijos en ese estado de depresión,;if you see your people, your loved ones, your family members, children in that state of depression,
poner las manos sobre ellos y reprender ese Espíritu de depresión;lay hands on them and rebuke that Spirit of depression
y diga: "Señor, sé que no tengo su apoyo porque no logro nada palabra por palabra como usted lo merece,;and say, 'Lord, I know that I do not have your support because I do not fulfill anything word for word word as you deserve it,
pero sólo pido a Mercy. Ya que eres amor,;but I only ask for Mercy. Since you are love,
y como eres Misericordia, pido, Señor, que me apoyes.;and since you are Mercy, I ask, my Lord, that you may support me.
Voy a poner manos sobre esta persona: mi hijo, sobrino, sobrina, esposo, esposa, quien sea,;I am going to lay hands on this person: my child, nephew, niece, husband, wife, whoever may be,
están deprimidos, es un demonio. Sé que a través de maldiciones, a través de brujería, pero sé que eres poderoso.;they are depressed, it's a demon. I know that through curses, through witchcraft, but I know that you are powerful.
Pido que usted pueda liberar ese espíritu y que usted pueda quitarlo, proteger a esta persona,;I ask that you may deliver that spirit and that you may remove it, protect this person,
protegerlos de arriesgar sus vidas o dañar a otras personas. Entrega, Señor, eso es lo que debemos hacer;protect them from risking their lives or harming other people. Deliver, Lord, that is what we ought to do.'
Y no te sientas indigno de decir: 'No, no tengo poder, no tengo nada de Dios.;And do not feel unworthy of saying, 'No, I don't have power, I don't have anything of God.
Dios nunca me dijo que iba a tener regalos, ni tengo regalos,;God never told me that I was going to have gifts, nor do I have gifts,
así que no puedo poner manos. No, hazlo tú. Hazlo porque lo has aprendido aquí.;so I cannot lay hands.' No, you do it. Do it because you have learned it here.
Usted aprendió que Dios es el poder, que Dios escucha, que Dios está en todas partes;You learned that God is power, that God listens, that God is everywhere
y que nos está observando. Por lo tanto, ¿por qué no vamos a aprovechar esa oportunidad para pedir al Señor por la Misericordia por aquel ser que está sufriendo depresión?;and that he is watching us. Therefore, why are we not going to take that opportunity to ask the Lord for Mercy for that being who is suffering depression?
Ahora usted mismo, si sufre de depresión, pregunte al Señor y diga: "Señor, estoy en un estado depresivo.;Now you yourself, if you suffer from depression, ask the Lord and say, 'Lord, I am in a depressive State.
No quiero vivir. No tengo felicidad. No tengo alegría.;I don't want to live. I don't have happiness. I don't have joy.
No encuentro sentido para la vida. Siento que no quiero vivir.;I don't find meaning to life. I feel that I don't want to live.
Oigo voces. Siento cosas extrañas. Señor, líbrame, líbrame, porque son demonios,;I hear voices. I feel strange things. Lord, deliver me, deliver me, because they are demons,
el diablo quiere destruirme. Ten piedad, ayúdame, ayúdame, porque no puedo hacer esto solo;the devil wants to destroy me. Have mercy, help me, help me, because I can't do this by myself,'
y el Señor estará allí junto a ti y te librará.;and the Lord will be there next to you and deliver you.
Eso es lo que debemos hacer.;That is what we ought to do for.
