Hermana, mi pregunta está en el Evangelio según Mateo 18: 20.;Sister, my question is in the Gospel according to Matthew 18: 20.
Porque donde dos o tres están reunidos en mi nombre, yo estoy allí en medio de ellos.;For where two or three are gathered together in my name, I am there in the midst of them.
Me refiero a este versículo, Hermana. Me gustaría que nos enseñaras en cuanto a la importancia de congregarnos,;I refer to this verse, Sister. I would like for you to teach us in regards to the importance of congregating,
Hermana. Hay personas que me han dicho que no es necesario ir a la iglesia todos los días,;Sister. There are people that have told me that it is not necessary to go to church every day,
que ellos en casa glorifican y adoran a Dios. Por favor enséñanos.;that they at home glorify and worship God. Please teach us.
Gracias. Muy bien. La importancia de la congregación que encontramos también en Hebreos,;Thank you. Very well. The importance of the congregation that we find also in Hebrews,
Creo que es en el último capítulo de Hebreos cuando el apóstol Pablo dijo:,;I believe it is in the last chapter of Hebrews when the Apostle Paul said,
no abandonar el montaje de nosotros mismos juntos como es la manera de algunos.;not forsaking the assembling of ourselves together as is the manner of some.
El Señor Jesucristo en su evangelio, o el Espíritu Santo, enseñó a todos,;The Lord Jesus Christ in his gospel, or the Holy Spirit, taught everyone,
todos los seguidores del evangelio de la palabra del Señor. Él enseñó que la gente tenía que congregarse.;all the followers of the gospel of the word of the Lord. He taught that people had to congregate themselves.
¿Para qué, o por qué? Porque había los dones espirituales, los dones espirituales,;What for, or why? Because there were the spiritual gifts, the spiritual gifts,
y para poder trabajar con ellos, la gente tiene que ser congregada,;and in order to be able to work with them, people have to be congregated,
para recibir la imposición de manos, y como todo ora por el otro impartimos los dones que Dios da a la gente.;to receive laying out of hands, and as all pray for one another we impart those gifts that God gives to people.
Tengamos en cuenta que en la antigüedad, en el pueblo antiguo de Israel había un templo,;Let's keep in mind that in antiquity, in the ancient people of Israel there was a temple,
y Dios enseñó en su ley que sólo los sábados,;and God taught in his law that only on Saturdays,
cada sábado el pueblo irá al templo para ofrecer sacrificios y adorar a Dios, para honrar a Dios.;every Saturday the people will go to the temple to offer sacrifices and to worship God, to honor God.
Y el Espíritu Santo no se manifestó en ese tiempo.;And the Holy Spirit didn't manifest himself back in that time.
El Espíritu Santo sólo vino a los profetas cuando Dios tenía un mensaje o algo que hacer.;The Holy Spirit only came to the prophets whenever God had a message or something to do.
Entonces el Espíritu Santo vino y poseyó o tomó al profeta,;Then the Holy Spirit came and possessed or took the prophet,
y Dios habló a través de los profetas. Vemos algunos casos, por ejemplo Samson, Saul,;and God spoke through the prophets. We see some cases, for instance Samson, Saul,
y dice que el Espíritu Santo vino y profetizaban.;and it says that the Holy Spirit came and they were prophesying.
Eso es todo profetizado. Pero esto fue algo esporádico, ocasional, y cada semana, repito, la gente se congregaron para traer sacrificios,;That's all prophesied. But this was something sporadic, occasional, and every week, I repeat, people congregated themselves to bring sacrifices,
hacer sacrificios, traer ofrendas y honrar a Dios.;to make sacrifices, to bring offerings, and to honor God.
Bueno, el evangelio de nuestro Señor Jesucristo viene, y sabemos la maravillosa historia de que el día de Pentecostés el Espíritu Santo vino;Well, the gospel of our Lord Jesus Christ comes, and we know the wonderful story that the day of Pentecost the Holy Spirit came
y bautizó a todos los que estaban allí, les dio regalos, y profetizaron,;and he baptized all of those who were there, gave them gifts, and they prophesied,
y había milagros, y la gente comenzó a recibir el poder de arriba;and there were miracles, and people began to receive the power from above
y la manifestación de los dones espirituales. Si el Señor no nos hubiera enseñado a congregarnos,;and the manifestation of the spiritual gifts. If the Lord wouldn't have taught us to congregate ourselves,
