Buenas noches, que el Señor los bendiga, hermanos y hermanas, estamos felices de cantar al Señor.;Good evening, may the Lord bless you, brothers and sisters, we are happy when we sing to the Lord.
¿Quién estará en la presencia de Dios, en su santo templo, en su santa montaña?;Who will be in the presence of God, who will be in his holy temple, who will be on his holy mountain?
El Señor quiere que tengamos un corazón limpio, sin impureza, lleno de la belleza de nuestro Dios.;The Lord wants us to have a clean heart, without uncleanliness, full of the beauty of our God.
Leemos en el Salmo 119, versículos 1 al 16, la palabra del Señor.;We read here in Psalm 119, verses 1 to 16, the word of the Lord.
'Bienaventurados los íntegros en el camino, los que andan en la ley de nuestro;Dios.''Blessed are the undefiled in the way, those who walk in the law of our God.'
Bienaventurados los que guardan sus testimonios y le buscan con todo el corazón.;Blessed are those who keep his testimonies and who seek him with the whole heart.
También no hacen iniquidad, andan en sus caminos, y Dios nos ha mandado guardar sus preceptos diligentemente.;They also do no iniquity, walk in his ways, and God has commanded us to keep his precepts diligently.
El Salmo 119 destaca los mandamientos de Dios, sus preceptos, caminos, ordenanzas, palabra y testimonios.;Psalm 119 highlights the commandments of God, his precepts, ways, ordinances, word, and testimonies.
Todas esas palabras significan lo mismo: los mandamientos, y el Salmo invita a todos a amarlos.;All those words mean the same thing: the commandments, and the Psalm invites everyone to love them.
El versículo 5 dice: 'Ojalá fuesen ordenados mis caminos para guardar tus estatutos.''Verse 5 says:;I wish my ways were directed so that I could keep your statutes.'
Los estatutos son lo mismo que los mandamientos, y el versículo 6 dice que no nos avergonzaremos.;The statutes are the same as the commandments, and verse 6 says we would not be ashamed.
El versículo 9 pregunta: '¿Con qué limpiará el joven su camino? Con guardar tu palabra.''Verse 9 asks:;How can a young man cleanse his way? By taking heed according to your word.'
'Con todo mi corazón te he buscado, no me dejes desviarme de tus mandamientos.''With my whole heart;I have sought you, oh let me not wander from your commandments.'
El versículo 11 habla de 'tu palabra', que es lo mismo que los estatutos y los mandamientos.;Verse 11 speaks of 'your word,' which is the same as the statutes and the commandments.
'Bendito eres tú, oh Señor, enséñame tus estatutos', dice el versículo 12.'Blessed are you, oh;Lord, teach me your statutes,' says verse 12.
El triunfo y la victoria del ser humano es cumplir y guardar los mandamientos de nuestro Dios.;The triumph and victory of human beings is to fulfill and keep the commandments of our God.
Todos los aquí reunidos tienen un llamado, Dios los ha traído y les ha dado un trabajo para proclamar su palabra.;All gathered here have a calling, God has brought you and given each one a job to proclaim his word.
'Me he regocijado en el camino de tus testimonios más que en todas las riquezas.;''I have rejoiced in the way of your testimonies as much as in all riches.'
Los mandamientos y los caminos del Señor son lo mismo, y el versículo 16 dice: 'Me deleitaré en tus estatutos.''The commandments and the ways of the;Lord are the same, and verse 16 says: I will delight myself in your statutes.'
'No me olvidaré de tu palabra', dice el versículo 16. Bendito sea el nombre del Señor.'I will not forget your word,' says verse 16.;Blessed be the name of the Lord.
Debemos leer la Biblia meditando en cada palabra, cada versículo, con el corazón y la mente.;We must read the Bible meditating on each word, each verse, with the heart and the mind.
La Biblia es la palabra de Dios, escrituras que Él ordenó a través de sus siervos los profetas.;The Bible is the word of God, writings that he ordered through his servants the prophets.
Desde Moisés, todos fueron testigos que caminaron con Dios y escucharon su palabra y sus ordenanzas.;From Moses, all of them were witnesses who walked with God and listened to his word and his ordinances.
El Señor les dijo: 'Escríbelas en un libro para la posteridad', y nosotros somos esa posteridad.;The Lord told them: 'Write them in a book for posterity,' and we are that posterity.
Cuando leemos la Biblia con el corazón, con inteligencia, meditando y valorando, descubrimos su belleza.;When we read the Bible with the heart, with intelligence, meditating and valuing, we discover its beauty.
El Salmo 119 habla de lo mismo en todos sus versículos, los mandamientos de Dios en distintas palabras.;Psalm 119 speaks of the same thing in all its verses, the commandments of God in different words.
Que Dios nos ayude a seguir adelante hasta el final de nuestra vida en el camino del Señor.;May God help each one of us to keep moving forward until the end of our life on the Lord's path.
Oremos y demos gracias al Señor, Padre celestial, Dios eterno, creador de los cielos y la tierra.;Let us pray and give thanks to the Lord, heavenly Father, everlasting God, creator of the heavens and the earth.
Te agradecemos, Señor, porque nos has mirado con ojos de amor y misericordia y nos has hecho promesas.;We thank you, Lord, because you have looked at us with eyes of love and mercy and made us wonderful promises.
Nos confortas, nos animas a seguir adelante, nos das valor, fuerza, alegría, entusiasmo y esperanza.;You comfort us, urge us to press on, give us courage, strength, joy, enthusiasm, and hope.
Tu amor está por encima de todas las cosas, Santo Padre, te alabamos y te damos la gloria.;Your love is above all things, Holy Father, we praise you and give you the honor and glory.
Gracias por nuestro sustento, por el pan de cada día, por nuestra salud y por nuestras vidas.;Thank you for our sustenance, for our daily bread, for our health, and for our lives.
Ayúdanos, Señor, a continuar en este camino hasta el final y a adorarte con todo nuestro ser.;Help us, Lord, to continue on this path until the end and to worship you with all our being.
Si hay hermanos o hermanas enfermos, extiende tu mano, Señor, y sana toda enfermedad.;If there are brothers or sisters who are sick, extend your hand, Lord, and heal every disease.
Reprende y elimina la brujería, la hechicería, las maldiciones y las trampas del enemigo.;Rebuke and remove witchcraft, sorcery, curses, and traps of the enemy.
Libera a cada persona, Señor, danos alegría y felicidad, Padre, en el nombre de Jesucristo.;Deliver each person, Lord, give us joy and happiness, Father, in the name of Jesus Christ.
Que el Señor los bendiga a todos grandemente, que el Señor los cubra con su amor y su misericordia.;May the Lord bless you all greatly, may the Lord cover all of you with his love and his mercy.
