Mi pregunta es: hizo el Señor, como castigo para Adán;My question is: did the Lord, as punishment for Adam
y la desobediencia de Eva a él, permitir al diablo desde ese momento para manipular el corazón;and Eve's disobedience to him, allow the devil from that moment to manipulate the heart
y oscurecer las mentes de la humanidad, y fue el velo que cubre las naciones también creadas como escritas en Isaías 257,;and darken the minds of humankind, and was the veil that covers the nations also created as written in Isaiah 257,
del mismo modo en Mateo 27:51 cuando nuestro Señor Jesucristo murió el velo del templo fue desgarrado?;likewise in Matthew 27:51 when our Lord Jesus Christ died the veil of the temple was torn?
Hermana María Louisa, ¿podría enseñarnos si todo esto está relacionado de alguna manera?;Sister Maria Louisa, could you please teach us if all of this is related in any way?
El Señor permitió en Edén que el diablo engañara a Adán y Eva.;The Lord allowed in Eden for the devil to deceive Adam and Eve.
Ya había habido rebelión, porque dice en Ezequiel capítulo 28 donde habla de la vida del diablo,;There had already been rebellion, because it says in Ezekiel chapter 28 where it talks about the life of the devil,
la biografía del diablo o Satanás, y allí dice que el diablo se rebeló contra Dios con todos sus miles de ángeles,;the biography of the devil or Satan, and there it says that the devil rebelled against God with all his thousands of angels,
y Dios los echó de su presencia y los envió a la tierra para morar en la tierra.;and God cast them out of his presence and sent them to the earth to dwell on the earth.
Después de eso Dios hizo hombre y mujer, y cuando Adán;After that God made man and woman, and when Adam
y Eva apareció que el diablo ya estaba allí, entonces también viviendo en el planeta Tierra.;and Eve appeared the devil was already there, then also living on planet Earth.
Dios permitió que el hombre fuera engañado. ¿Por qué? Porque Dios hizo al hombre con la capacidad, con la capacidad de tomar decisiones.;God allowed man to be deceived. Why? Because God made man with the capability, with the ability to make decisions.
Le dio al hombre la habilidad para tomar su decisión. Si te prohibo algo, obedéceme.;He gave man the skill to make his decision. If I forbid you something, obey me.
Si no te prohibo nada, entonces miras cosas;If I don't forbid you anything, then you look at things
y tomar sus propias decisiones. Pero si alguna vez te digo que no hagas esto, obedeceme.;and make your own decisions. But if I ever tell you not to do this, obey me.
Eso es lo que Dios le dijo a Adán y Eva. Los puso a prueba;That's what God told Adam and Eve. He put them to the test
y les dio la orden de comer de todos los frutos excepto el árbol del conocimiento del Bien;and gave them the order to eat of all the fruits except for the tree of the knowledge of Good
y el Mal. Dios lo hizo para probarlos. Por supuesto que Dios ya sabía lo que iba a pasar,;and Evil. God did it to test them. Of course God already knew what was going to happen,
así que en esa decisión Dios quería probar a Adán y Eva.;so in that decision making God wanted to test Adam and Eve.
Hizo la prohibición de pro 'no come esta fruta',;He made the pro prohibition 'do not eat this fruit',
y tomaron la decisión. Eve tomó la decisión de desobedecer.;and they made the decision. Eve made the decision to disobey.
El diablo la engañó. Dios había planeado estas cosas bien.;The devil deceived her. God had planned these things all right.
En cuanto a hoy sucede lo mismo. Dios dice que tenemos libre albedrío;As for today the same thing happens. God says that we have free will
y tomamos nuestras decisiones, pero en muchas de esas decisiones Dios está con nosotros;and we make our decisions, but in many of those decisions God is with us
y como si nos enseña, nos guía, nos anima a tomar buenas decisiones;and as if he teaches us, guides us, encourages us to make good decisions
y hacer las cosas bien porque besid además de orar;and to do things well because besid besides we pray
y decir Señor ayúdame a tomar una buena decisión, así que Dios nos ayuda.;and say Lord help me to make a good decision, so God helps us.
En cuanto al velo, es diferente. El velo, cuando dice en Mateo Mayo que el Señor Jesucristo,;As for the veil, it's different. The veil, when it says in Matthew May that the Lord Jesus Christ,
estar en la cruz del Calvario, día después de su muerte, dice que el velo del templo fue desgarrado.;being on the cross of Calvary, day after his death, says that the veil of the temple was torn.
Recordemos que en Jerusalén había un templo que el rey Herodes había construido para los judíos,;Let's remember that in Jerusalem there was a temple that King Herod had built for the Jews,
y en ese Templo era el Lugar Santísimo separado por un velo, el lugar santo;and in that Temple was was the most holy Place separated by a veil, the holy place
y el lugar más santo, y había un velo o una cortina como se llama en inglés,;and the most holy place, and there was a veil or a curtain as it is called in English,
y lo separaba del lugar más santo.;and it was separating it from the most holy place.
Significaba que los seres humanos no podían penetrar en el Lugar Santísimo, sólo el sumo sacerdote una vez al año,;It meant that human beings could not penetrate the most holy Place, only the high priest once a year,
y ese Veil tenía una representación simbólica. simbolizaba que los hombres humanos no podían presentarse ante Dios,;and that Veil had a symbolic representation. It symbolized that men humankind could not present themselves before God,
porque Dios estaba muy lejos de la humanidad. Dios sólo se presentó a sí mismo por el sacerdote o los profetas,;because God was very far from humankind. God only presented himself through the priest or the prophets,
pero de lo contrario no se manifestó a la gente común porque había un velo que separaba al hombre de Dios.;but otherwise he did not manifest himself to the common people because there was a veil that separated man from God.
Cuando el Señor Jesucristo murió, dijo el que cree en mí,;When the Lord Jesus Christ died, he said he who believes in me,
Le daré libertad para tener comunión con Dios, para que pueda presentarse ante Dios.;I will give him freedom to have fellowship with God, so that he can present himself before God.
Dios le habla y la persona habla a Dios;God speaks to him and the person speaks to God
y hay una comunión entre Dios y el hombre. Esa fue la promesa del Señor Jesucristo.;and there is a fellowship between God and man. That was the promise of the Lord Jesus Christ.
Es por eso que cuando murió ese día de la crucifixión dice que el velo del templo fue roto,;That's why when he died that day of the crucifixion it says that the veil of the temple was torn,
porque el velo era la representación simbólica de Dios que se separaba del pueblo.;because the veil was the symbolic representation of God separating himself from the people.
Así que dice que el velo fue desgarrado para que todos puedan entrar en el lugar más santo;So it says that veil was torn so that everyone can enter the most holy place
y puede tener comunión con Dios. El Señor Jesús dijo a través de mí todos ustedes tendrán comunión con Dios porque ustedes orarán;and can have fellowship with God. The Lord Jesus said through me you all will have fellowship with God because you will pray
y Dios estará con ustedes y el Espíritu Santo estará en el corazón de cada uno Y Dios con ustedes será de ahora en adelante.;and God will be with you and the Holy Spirit will be in the heart of each one And God with you will be from now on.
Había una representación simbólica del velo, eso es lo que representaba,;There was that symbolic representation of the veil, that's what it represented,
que el Señor dio libre acceso a los seres humanos con Dios para tener comunión.;that the Lord gave free access to human beings with God to have fellowship.
y es por eso que hoy disfrutamos de esa comunión con Dios porque rezamos a hablar con él y nos habla a través de la profecía,;and that's why today we enjoy that fellowship with God because we pray we talk to him And he talks to us through prophecy,
a través de sueños, a través de Visiones. Se manifiesta realizando curaciones de milagros.;through dreams, through Visions. He manifest himself by performing Miracles healings.
Qué hermosa Fellowship podemos tener con nuestro Dios.;What a beautiful Fellowship we can have with our God.
