Hermana, tengo una pregunta, si me permite, en el libro de Éxodo, capítulo 30.;Sister, I have a question, if you allow me, in the book of Exodus, chapter 30.
En versículo 1 y versículo 9. 30 verso uno a nueve oh uno;In verse 1 and verse 9. 30 verse one one to nine oh one
y nueve. Sí, sí, señora, ¿puedo leer? Sí, hermana,;and nine. Yes, yes, ma'am, may I read? Yes, sister,
dice que harás un altar para quemar incienso, lo harás una palabra de vacaciones.;it says you shall make an altar to burn incense on, you shall make it a vacation word.
Versículo 9 dice que no debe ofrecer incienso extraño en él, ni holocausto, ni ofrenda de grano,;Verse 9 says you should not offer strange incense on it, or a burnt offering, or a grain offering,
ni derramarás una bebida en ella. Hermana,;nor shall you pour a drink offering on it. Sister,
sabemos que estas cosas que el Señor mandó a Moisés en la Antigüedad son un simbolismo de nuestras vidas espirituales hoy.;we know that these things that the Lord commanded Moses in Antiquity are a symbolism of our spiritual lives today.
El altar es nuestro corazón, también el incienso es el símbolo de las oraciones que van delante de la presencia del Señor.;The altar is our heart, also incense is the symbol of the prayers that go before the presence of the Lord.
Mi pregunta es, basada en el versículo 9, donde dice que no ofrecerás incienso extraño,;My question is, based on verse 9, where it states you shall not offer strange incense,
¿cuál es el significado de la extraña instancia para nuestras vidas espirituales hoy, o fue sólo por ese tiempo?;what is the meaning of the strange instance for our spiritual lives today, or was this only for that time?
¿Cómo podemos interpretar esto? Este extraño incienso es que Dios dio la fórmula, usted podría decir la fórmula, sí,;How can we interpret this? This strange incense is that God gave the formula, you could say the formula, yes,
o la receta de la preparación del incienso. Así que Dios dijo que debía hacerse con ciertos perfumes,;or the recipe of the preparation of the incense. So God said that it needed to be done with certain perfumes,
ciertos aceites, ciertos extractos, y de allí necesitaban hacer el compuesto para el incienso.;certain oils, certain extracts, and from there they needed to make the compound for the incense.
Y Dios dijo que nadie podía ir y crear un incienso con los mismos ingredientes que él había enseñado a los sacerdotes a hacer por él para Dios,;And God said that no one could go and create an incense with the same ingredients that he had taught the priests to do for him for God,
que nadie podría ir y tener la imitación o crear una imitación o crear un incienso o añadir otro componente a este compuesto.;that no one would be able to go and have the imitation or create an imitation or create an incense or to add another component to this compound.
Ese fue el que Dios dijo, y mucho menos ir;That was the one that God said, and far less to go
y quemar este incienso en otros lugares. Eso fue llamado un incienso extraño, algo que Dios no había ordenado.;and burn this incense in other places. That was called a strange incense, something that God had not ordered.
Por eso permitió que esta fórmula fuera dada por Dios,;That is why he allowed for this to be this formula to be the formula given by God,
y era exclusivamente para el Templo del Señor quemar este incienso,;and it was exclusively for the Temple of the Lord to burn this incense,
que fuma este Aroma para nuestro Dios. Vemos aquí cómo el Señor está celoso, los celos de Dios,;that smoke this Aroma for our God. We see here how the Lord is jealous, God's jealousy,
y Dios nos enseña que debemos ser los únicos para Dios.;and God teaches us that we must be the only ones for God.
Dios quería crear con el pueblo de Israel un pueblo único;God wanted to create with the people of Israel a unique people
y gente exclusiva que era santa y perfecta para Dios,;and exclusive people that was holy and perfect for God,
para que sean una nación diferente entre las otras naciones, y Dios quería esto.;that they may be a nation different among the other nations, and God wanted this.
Pero el pueblo, la carne, el lado material no permitía esto,;But the people, the flesh, the material side did not allow this,
y no fue alcanzado lo que Dios quería. Así que Dios quiere con su iglesia, con sus creyentes en Cristo,;and it was not attained what God wanted. So God wants with his church, with his Believers in Christ,
que pueden ser personas, que personas únicas y exclusivas,;that they may be that people, that unique and exclusive people,
y por eso Dios estaba muy celoso de estar contaminado.;and that is why God was very jealous to be contaminated.
Hoy en día los creyentes en el Señor que dicen que nuestras oraciones son el incienso que se levanta ante el Señor son nuestras oraciones,;Nowadays the Believers in the Lord who say that our prayers are the incense that rise before the Lord are our prayers,
pero si mis oraciones, si vivo mal y cometo pecados;but if my prayers, if I live wickedly and committing sins
y haciendo cosas desagradables ante el Señor, entonces no soy tan incienso en mi oración.;and doing displeasing things before the Lord, then I am not that incense in my prayer.
Mi oración no es ese incienso puro para Dios. Así que ahora estoy haciendo cosas que no agradan al Señor.;My prayer isn't that pure incense for God. So I now am doing things that do not please the Lord.
Por ejemplo, en este momento en que estamos, estamos en este momento donde celebran Halloween, correcto,;For example, in this time that we are in, we are in this time where they celebrate Halloween, right,
donde celebran el Día de los Muertos. En algunas Naciones;where they celebrate the Day of the Dead. In some Nations
y algunos países celebran el Día de los Muertos, honran la muerte, celebran a los muertos,;and some countries they celebrate the Day of the Dead, they honor death, they celebrate the dead,
adoran también a los santos de los ídolos del catolicismo,;they also worship the Saints of the idols of Catholicism,
y el 25 de diciembre dicen, también dicen, que Dios nació, que Dios nació,;and on December 25th they say, also say, that God was born, that God was born,
y tenemos que celebrar ese día. Así que todo esto se llama paganismo.;and we have to celebrate that day. So all of this is called paganism.
A todo esto lo llamamos idolatría. Así que yo, siendo o considerando ser un hijo de Dios;To all of this we call it idolatry. So I, being or considering myself to be a child of God
y estoy aquí buscando la perfección, estoy en el camino para ser perfecto, para vivir una vida justa,;and I am here seeking Perfection, I am on the path to be perfect, to live a righteous life,
una vida agradable al Señor, y estoy orando a mi Dios, pero estoy celebrando estas festividades,;a pleasing life to the Lord, and I am praying to my God, but I am celebrating these festivities,
estas celebraciones de la muerte, de los muertos, de los santos y de todos estos asuntos;these celebrations of death, of the Dead, of, uh, the Saints and of all of these matters
y fiestas especiales como Halloween, que es una fiesta del diablo.;and special feasts like Halloween, which is a feast of the devil.
Así que si estoy haciendo esto, ¿crees que Dios escucha mi oración?;So if I am doing this, do you believe that God listens to my prayer?
Así que Dios va a decir que me estás dando un incienso extraño porque no estás viviendo una vida justa.;So God is going to say you are giving me a strange incense because you are not living a righteous life.
