Tenía curiosidad sobre algo y espero que mi pregunta no sea demasiado atrevida.;I was curious about something and I hope my question, well, is not too bold.
Me gustaría preguntarle, hermana, cómo se ha examinado en su vida espiritual.;I would like to ask you, sister, how have you examined yourself in your spiritual life.
¿Cómo lo hace hoy para que el Señor le permita alcanzar la integridad?;How do you do it today so that the Lord may allow you to attain integrity?
Porque hoy lo vemos y es evidente.;Because today we see it and it is evident.
Gracias. Y esa es una pregunta difícil, una pregunta difícil.;Thank you. And that is a difficult question, a difficult question.
Me preguntas cómo lo hago, pero yo misma no me he dado cuenta.;You ask me how I do it, but I haven't even realized it myself.
Lo único que sé es que desde que conocí al Señor por primera vez, fue a través de la lectura de la Biblia.;The only thing I know is that ever since I first got to know the Lord, which was through reading the Bible.
Leía la Biblia en una iglesia evangélica, y ni siquiera había profecía.;Reading the Bible in an evangelical church, and there wasn't even prophecy.
Me enamoré de Dios. Me enamoré de las cosas de Dios y me enamoré de Dios leyendo la Biblia, y eso fue todo.;I fell in love with God. I fell in love with the things of God and I fell in love with God by reading the Bible and that was it.
Luego seguí leyendo la Biblia y me decía a mí misma: voy a leer porque quiero aprender qué debo dejar de hacer y qué debo hacer para agradar a Dios.;Then I kept reading the Bible and I would say to myself, I am going to read because I want to learn what I should stop doing and what I should do to please God.
Siempre que leía la Biblia, estaba en esa mentalidad de qué debía renunciar.;Whenever I read the Bible, I was always in that mindset of what I should give up.
¿Qué es lo que debo hacer o no hacer porque quiero agradar a Dios?;Here, what is it that I should do or not do because I want to please God.
Siempre que encontraba algo, me decía: mira esto, no debo hacerlo. Esto no debo hacerlo. Tampoco haré esto porque quiero agradar a Dios.;Whenever I found something, I would say, 'See this, I must not do it. This I must not do it. I will not do this either because I want to please God.'
Y entonces esto sí quiero hacerlo. Esto sí quiero hacerlo porque quiero agradar a Dios, y creo que esa ha sido mi reflexión.;And then this I do want to do. This I do want to do because I want to please God and I believe that was that has been my reflection.
Esa ha sido mi reflexión y seguramente eso es lo que Dios vio en mí y me ayudó. Él me ha ayudado a cambiar.;That has been my reflection and surely that is what God saw in me and helped me. He has helped me change.
Me ayudó a cambiar, digo, la voluntad o el deseo o la disposición de agradar a Dios.;He helped me change I say the will or the desire or the willingness to please God.
Entonces el Señor dijo: deja atrás cualquier mal genio, cualquier ira.;So the Lord said, 'Leave behind any bad temper, any anger.'
Por eso me dije: tengo que soltar cualquier ira porque eso no agrada a Dios.;Therefore, I said to myself, 'I have to let go of any anger because that does not please God.'
Y en el momento en que estaba a punto de enojarme por algo, recordaba que al Señor no le gusta que nos llenemos de ira.;And at the moment when I was about to become angry over something, I would remember, the Lord does not like it when we become filled with anger.
Porque entonces con esa ira empezamos a ofender a las personas, a decir cosas que no son correctas y a herir a alguien.;Because then with that anger we start to offend people, to say things that are not right, and to hurt someone.
Me dije: eso no agrada a Dios. Me contengo. Más bien me refreno. Guardo silencio. Me quedo callada. O mejor, me voy.I said, 'That does not please God. I hold back. Rather, I restrain myself. I remain silent. I stay quiet.;Or better, I leave.'
