Tengo una pregunta. En el segundo libro de Timoteo 1:6,;I have a question. In the second book of Timothy 1:6,
y dice, por lo tanto, te recuerdo que revuelvas el don de Dios que está en ti a través de la imposición de mis manos.;and it says, therefore I remind you to stir up the gift of God which is in you through the laying on of my hands.
Porque Dios no nos ha dado espíritu de temor, sino de poder y de amor;For God has not given us a spirit of fear, but of power and of love
y de mente sana. Y en Apocalipsis 218 dice, pero el cobarde, incrédulo, abominal, asesinos, sexual;and of sound mind. And in Revelation 218 it says, but the cowardly, unbelieving, abominal, murderers, sexual
y moral, hechiceros, ídolos, y todos los mentirosos tendrán su parte en el lago que arde con fuego;and moral, sorcerers, idolators, and all liars shall have their part in the lake which burns with fire
y azufre, que es la segunda muerte. Quería preguntar, hermana,;and brimstone, which is the second death. I wanted to ask, Sister,
si usted puede hablar en la muerte a lo que cobardía son los versículos que se refieren, para no caer en esto.;if you can speak in death to what cowardice are the verses referring to, to not fall in this.
Gracias, hermana, que Dios te bendiga. Muy bien, segundo Timoteo 1 6,;Thank you, Sister, may God bless you. All right, second Timothy 1 6,
por lo tanto, te recuerdo que revuelvas el don de Dios.;therefore I remind you to stir up the gift of God.
Bueno, revolver ese don de Dios es trabajarlo, es ponerlo a usar,;Well, to stir up that gift of God is to work it, it is to put it to use,
es hacer cosas, es actuar. Eso es revolver el don de Dios que está en ti,;it is to do things, it is to act. That is to stir up the gift of God which is in you,
así que tenemos que trabajar el don espiritual, ponernos en manos, o profetizar, o dar Apocalipsis.;so we have to work the spiritual gift, lay on hands, or prophesy, or give Revelations.
Si hay visiones, comparta las visiones a las personas. Es para hacer el trabajo, eso es lo que esto dice,;If there are Visions, share the Visions to people. It's to do the work, that is what this is saying,
que tenías que hacer el esfuerzo con los dones espirituales Dios te da y deja a un lado cualquier miedo.;that you had to make the effort with the spiritual gifts God gives you and put aside any fears.
Y, bueno, hablamos aquí verdaderamente de los dones espirituales que Dios da, los dones espirituales perfectos del Espíritu Santo.;And, well, we speak here truly of the spiritual gifts God gives, the perfect spiritual gifts of the Holy Spirit.
En Apocalipsis 218, o más bien en siete, el que vence, esta es una persona de creyente, hombre o mujer,;In Revelation 218, or rather in seven, he who overcomes, this is a person of believer, man or woman,
el que venciere heredará, lo que significa que están superando y han alcanzado el objetivo,;whoever overcomes shall inherit, meaning that they are overcoming and they have reached the goal,
han muerto en el Señor, sirviendo a Dios con los dones espirituales, viviendo su vida para el Señor.;they have died in the Lord, serving God with the spiritual gifts, living their life for the Lord.
Esta es una persona que decimos que ha superado. Han superado porque llegaron al final de esa fase.;This is a person who we say has overcome. They have overcome because they reached the end of that phase.
El que venciere heredará todas las cosas, y yo seré su Dios;He who overcomes shall inherit all things, and I will be his God
y él será mi hijo. Pero los cobardes, incrédulos.;and he shall be my son. But the cowardly, unbelieving.
Entonces, los cobardes son aquellos que no tienen la habilidad o el valor para enfrentar los problemas de la vida,;So, the cowardly are those who do not have the ability or the courage to face the problems in life,
los obstáculos en la vida, todo lo que enfrentan. No se resisten a ello con poder, con convicción,;the obstacles in life, everything that they face. They do not stand up to it with power, with conviction,
con seguridad, con firmeza, pero se dejan llevar por todas las cosas que vienen: la familia,;with security, with steadfastness, but they let themselves be carried away by all of the things that come: the family,
lo que dirán, amigos, sociedad, trabajo, me obstaculizan. Había un hombre joven.;what will they say, friends, society, work, they hinder me. There was a young man.
Fue miembro de la familia de un presidente de un país.;He was a family member of a president of a country.
Fue sobrino del presidente del país,;He was the nephew of the president of the country,
y dijo, bueno, amo a la iglesia, Dios se manifiesta aquí, esta es la verdad,;and he said, well, I love the church, God manifests himself here, this is the truth,
pero no puedo porque necesito estar en cada reunión social soci.;but I can't because I need to be in every soci social gathering.
Porque con el papel que tengo, necesito estar allí. Tengo que estar en el mundo,;Because with the role that I have, I I need to be there. I have to be in the world,
y no puedo, no puedo porque me criticarán, mi familia me criticará,;and I can't, I can't because they will criticize me, my family will criticize me,
todo el mundo va a ir contra mí, así que no puedo. Y así se fue porque dijo que no podía,;everyone is going to go against me, so I can't. And so he left because he said he couldn't,
y se fue. Había estado en la iglesia durante 5 años disfrutando de las cosas espirituales, disfrutando de la bendición de Dios,;and he left. He had been in the church for 5 years enjoying the spiritual things, enjoying God's blessing,
