Mi pregunta es, hermana, ¿por qué la humanidad no ha dejado de practicar la idolatría?;My question is, sister, why has humankind not stopped engaging in idolatry?
Sabemos que no se trata solo de ídolos y estatuas, sino que hay otros tipos de idolatrías que la gente disfraza como debilidades.;We know that it is not just idols and statues, but that there are other kinds of idolatries that people disguise as weaknesses.
¿Podría elaborar al respecto, si es tan amable? Porque sabemos que la idolatría desagrada al Señor.;Could you please elaborate on that, if you would be so kind? Because we know that idolatry displeases the Lord.
¿Qué otros tipos de idolatría ves que no tienen que ver con ídolos o estatuas? Por ejemplo, los que aman demasiado su trabajo.;What other kinds of idolatry do you see that are not about idols or statues? For example, those who love their work too much.
O los que aman demasiado el dinero, a quienes podríamos llamar avaros, personas que quieren hacerse millonarias sin trabajar.;Or those who love money too much, whom we might call greedy, people who want to become millionaires without working.
Las personas en el mundo también pueden volverse idólatras de sí mismas, diciendo: quiero complacerme y vivir la vida que me gusta.;People in the world can also become idolaters of themselves, saying: I want to please myself and live the life I like.
Nadie me puede obligar, no me corrijas, porque así soy yo y así quiero ser, y ese es el placer que vivo.;No one can force me, do not correct me, because that is how I am and how I want to be, and that is the pleasure I live.
Hay personas que no piensan en cambiar ni en darle al otro su tiempo y su lugar, sino que solo piensan en sí mismas.;There are people who do not think about changing or giving the other person their time and place, but only think about themselves.
En ese caso, se están convirtiendo en una especie de idólatras de sí mismas, y también idólatras de otras personas o de su familia.;In that case, they are becoming a kind of idolaters of themselves, and also idolaters of other people or their family.
También hay idólatras de las circunstancias de la vida, del deporte, de los cantantes o artistas, a quienes llamamos fanáticos.;There are also idolaters of life circumstances, of sports, of singers or artists, whom we call fanatics.
A veces no es que la gente se vuelva tan fanática, sino más bien idólatra, y se ven peleas y disputas por un deporte o un artista.;Sometimes it is not that people become so fanatical, but rather idolatrous, and you see fights and disputes over a sport or an artist.
Yo diría: idólatra de todas esas cosas. ¿Por qué no tomar las cosas con normalidad? Si puedes verlo, bien. Si no, igual.;I would say: idolater of all these things. Why not take things normally? If you can watch it, great. If you cannot, the same.
Las personas que se vuelven idólatras de todas esas circunstancias sufren, porque les trae sufrimiento e incomodidad.;People who become idolaters of all those circumstances suffer, because it brings them suffering and discomfort.
Dios nos enseña a no ser excesivos, no ser idólatras ni fanáticos, sino ser normales y hacer las cosas con moderación.;God teaches us not to be excessive, not to be idolatrous or fanatical, but to be normal and do things in moderation.
Si comí manjares, gloria a Dios. Si no comí manjares, igual. Lo importante es que tengo alimento y no estoy pasando hambre.;If I ate delicacies, glory to God. If I did not eat delicacies, the same. The important thing is that I have food and am not going hungry.
Debemos contentarnos con todo lo que Dios nos presenta y nos da, sin exagerar para no sufrir ni hacer sufrir a otros.;We must be content with everything that God presents and gives us, without exaggerating so as not to suffer or make others suffer.
También debemos protegernos de la idolatría física, la idolatría de estatuas y santos, porque hay personas que llevan años en la iglesia.;We must also protect ourselves from physical idolatry, the idolatry of statues and saints, because there are people who have been in the church for years.
