Hermana Mary Louisa, buenas tardes. Que el Señor te bendiga.;Sister Mary Louisa, good afternoon. May the Lord bless you.
Me gustaría hacerle la siguiente pregunta en Mateo 11 versículo 12 en el Evangelio de Mateo 11 12,;I would like to ask you the following question in Matthew 11 verse 12 in the Gospel of Matthew 11 12,
y desde los días de Juan el Bautista hasta ahora el reino de los cielos sufre violencia;and from the days of John the Baptist until now the kingdom of heaven suffers violence
y los violentos lo toman por la fuerza. Hermana, mi pregunta es, ¿por qué el reino de los cielos sufre violencia?;and the violent take it by force. Sister, my question is, why does the kingdom of heaven suffer violence?
Así que dice en el versículo 12. Y desde los días de Juan el Bautista,;So it says in verse 12. And from the days of John the Baptist,
significado de todo el tiempo en que Juan el Bautista se manifestó predicando;meaning from all of the time in which John the Baptist manifested himself preaching
y la enseñanza, dice hasta ahora, hasta el momento en que nuestro Señor Jesús estaba haciendo su trabajo.;and teaching, it says until now, until the time that our Lord Jesus was doing his work.
Dice que el reino de los cielos sufre violencia y violencia,;It says the kingdom of heaven suffers violence and the violent,
o en otro lugar dice que los valientes lo toman por la fuerza.;or in another place it actually says the courageous take it by force.
Así que el Señor dice que debemos ser valientes, violentos como dice aquí es en realidad coraje.;So the Lord says that we ought to be courageous, violent as it says here is actually courage.
Ahora, ser violento no significa que estés siendo agresivo, eso es diferente, esa violencia aquí, es ese poder, esa fuerza;Now, being violent doesn't mean that you're being aggressive, that's different, that violence here, it's that power, that strength
y valor, eso es lo que esto significa aquí, es ese poder y fuerza.;and valor, that is what this is meaning here, it's that power and strength.
Así dicen los poderosos, los valientes, ellos son los que toman el reino de los cielos.;So it says those powerful, those valiant, they are those who take the kingdom of heaven.
¿Por qué? Porque creemos en el Señor y estamos enterrados a través de las dificultades de las tribulaciones;Why? Because we're believing in the Lord and we are buried through the tribulations hardships
y todas las cosas que el diablo quiere poner contra nosotros;and all of the things that the devil wants to put against us
y lo enfrentamos todo con nuestra fe, con nuestra creencia en el Señor, con nuestra seguridad;and we face it all with our faith, with our belief in the Lord, with our security
y convicción en Dios. Y lo que hacemos es ser valientes o violentos como dice aquí para luchar contra el enemigo.;and conviction in God. And so what we do is become courageous or violent as it says here to fight against the enemy.
Reflexionemos lo que significa esa palabra coraje. Al ser valientes hemos visto en la vida muchas competiciones un montón de juegos;Let's reflect what that word courage means. In being valiant we have seen in life a lot of competitions a lot of games
y los deportes y dicen que el valiente es el que gana el más fuerte los ágiles que tienen más astucia;and sports and they say that the courageous one is the one who wins the strongest the most agile those who have more cunningness
y son astutos los que son diligentes, ellos son los que ganan y triunfan, esos son el valiente valiente.;and are astute those who are diligent, they are those who win and are triumphant, those are the valiant courageous.
Y así el reino de los cielos es poder, es grandeza, es fuerza.;And so the kingdom of heaven is power, it is greatness, it is strength.
No es para los cobardes, es para los valientes.;It is not for the cowardly, it is for the courageous.
¿Por qué? Porque cuando estamos caminando en el camino del Señor en nuestro camino hay obstáculos que se presentan;Why? Because when we are walking in the Lord's path in our path there are obstacles that are presented
y estamos caminando en este camino hacia la vida eterna;and we are walking in this path toward eternal life
y hay tantos obstáculos que se presentan: todas las piedras;and there are so many obstacles that are presented: all of the stones
y espinas, estos animales feroces, los abismos de una gran profundidad;and thorns, these ferocious animals, the abysses of a great depth
y aguas que podrían ahogarnos y podemos perdernos en todos los caminos torrenciales llenos de problemas,;and waters that could drown us and we can get lost in all of the torrential paths full of problems,
dificultades, enfermedad, accidentes, robos, secuestros, todas estas cosas son lo que enfrentamos en este camino;difficulties, sickness, accidents, thefts, kidnappings, all of these things are what we face in this path
y si perdemos el corazón o somos desalentados y no somos fuertes sino cobardes, pero entonces perdemos el corazón;and if we lose heart or are discouraged and we are not strong but cowardly but then we lose heart
y permanecemos allí en esa trampa del enemigo perdemos la bendición que perdemos la raza que hemos empezado.;and we remain there in that trap of the enemy we lose the blessing we lose the race that we've started.
Eso es lo que el Señor Jesucristo está diciendo acerca del reino de los cielos,;That is what the Lord Jesus Christ is saying concerning the kingdom of heaven,
Es para los violentos o los fuertes, valientes. Y gracias al Señor,;It is for the violent or the strong, courageous. And thanks be to the Lord,
porque aquí tenemos un grupo de personas muy fuertes y valientes que son muy grandes en número.;because here we have a group of very strong, courageous people that are very great in number.
gracias al Señor porque nos va a hacer valientes nos ayudará.;thanks to the Lord because he is going to make us courageous he will help us you.
