La madurez espiritual implica adquirir conocimiento de la doctrina, aprender a aplicarla,;Spiritual maturity involves gaining knowledge of doctrine, learning how to apply it,
y entender cómo conducirnos en nuestra vida espiritual.;and understanding how to conduct ourselves in our spiritual life.
Saber cómo manejar las cosas, cómo tratar a la gente, aprender a mostrar misericordia, ser prudente,;Knowing how to manage things, how to treat people, learning to show mercy, to be prudent,
tener sabiduría en hablar, en la enseñanza. Se trata de saber cuándo hablar;to have wisdom in speaking, in teaching. It's about knowing when to speak
y cuándo permanecer en silencio, cómo enseñar, cómo alentar;and when to remain silent, how to teach, how to encourage
y exhortar a otros, cómo amonestar y cómo explicar las cosas claramente.;and exhort others, how to admonish and how to explain things clearly.
Toda esta madurez nos permite navegar sabiamente nuestra vida espiritual.;All of this maturity allows us to navigate our spiritual life wisely.
Es como cuando alguien comienza a estudiar para una carrera o una profesión.;It's like when someone begins studying for a career or a profession.
Empiezan con lo básico y al final se convierten en profesionales altamente cualificados que saben manejar todo el tema.;They start with the basics and in the end they become highly skilled professionals who know how to handle the entire subject.
La vida espiritual es la misma. La doctrina del Señor es la misma.;The spiritual life is the same. The Lord's doctrine is the same.
Nosotros también estamos en un viaje aprendiendo la doctrina y cada día aprendiendo algo nuevo.;We too are on a journey learning the doctrine and every day learning something new.
Cuando escuchamos los testimonios de la gente, aprendemos algo. Cuando otros nos hablan del milagro que Dios realizó en sus vidas o de una promesa que Dios hizo que se cumplió,;When we hear people's testimonies, we learn something. When others tell us about the miracle God performed in their lives or about a promise God made that was fulfilled,
aprendemos de eso. La forma en que Dios trata con nosotros, la forma en que él da sueños o visiones,;we learn from that. The way God deals with us, the way he gives dreams or visions,
todo esto es parte de un viaje de aprendizaje. Todo esto nos ayuda a aprender a vivir,;all of this is part of a learning journey. All of this helps us learn how to live,
cómo vivir la vida espiritual y cómo caminar el camino del Señor.;how to live the spiritual life and how to walk the Lord's path.
Y de esta manera, debemos seguir progresando, cambiando y haciendo las cosas bien,;And in this way, we must keep progressing, changing, and doing things right,
hacer todo bien sin ofender ni herir a nadie. Se trata de no dejar de manejar, guiar, organizar, gobernar, directo, amonestar,;doing everything well without offending or hurting anyone. It's about not failing to manage, guide, organize, govern, direct, admonish,
o enseñar a alguien por falta de sabiduría. Incluso algo tan simple como sentarse a una persona en su silla requiere saber cómo hacerlo.;or teach someone because of a lack of wisdom. Even something as simple as seating a person in their chair requires knowing how to do it.
con sabiduría, buenos modales, prudencia y misericordia. ¿Verdad? Por ejemplo, diciendo:,;with wisdom, good manners, prudence, and mercy. Right? For example, saying,
Por favor, muévete un poco para hacer espacio para alguien que viene y necesita la silla.;'Please move a little to make room for someone who is coming and needs the chair.
Gracias. ¿Verdad? Incluso en estas pequeñas acciones simples, debemos aplicar la sabiduría, la misma sabiduría que estamos adquiriendo.;Thank you.' Right? Even in these small simple actions, we must apply wisdom, the very wisdom we are acquiring.
Esto es parte de la madurez espiritual que desarrollamos prestando atención a la doctrina.;This is part of the spiritual maturity we develop by paying attention to the doctrine.
Poniendo en práctica las enseñanzas del Señor, leyendo la Biblia y practicando buenos modales,;Putting the Lord's teachings into practice, reading the Bible and practicing good manners,
aprendemos cada vez que lo leemos para aprender a hacer algo bien, algo bueno en la vida;we learn every time we read it so we can learn to do something well, something good both in life
y en doctrina. Por lo tanto, nuestra vida espiritual debe ser una vida de crecimiento.;and in doctrine. Our spiritual life therefore must be a life of growth.
Seguimos creciendo y prosperando hasta que el apóstol dice que nos convertimos en maestros.;We keep growing and prospering until as the apostle says we become teachers.
Las personas que realmente conocen nuestra vida espiritual no pueden permanecer estancadas.;People who truly know our spiritual life cannot remain stagnant.
Debemos progresar siempre para poder enseñar a la gente a evangelizar a alguien.;We must always progress to be able to teach people to evangelize someone.
Cuando una persona nos pregunta acerca de la religión, el cristianismo o la Biblia, necesitamos estar listos.;When a person asks us about religion, Christianity, or the Bible, we need to be ready.
Si usted ha estado aquí 10 o 15 años y todavía no puede dar una respuesta porque usted ha perdido su tiempo porque no ha prestado atención o ha sido diligente,;If you've been here 10 or 15 years and still can't give an answer because you've wasted your time because you haven't paid attention or been diligent,
eso es un problema. Cuando leas la Biblia, debes hacerlo con todos tus sentidos;that's a problem. When you read the Bible, you must do it with all your senses
y pon tu corazón en él. Si no, no aprendes nada;and put your heart into it. Otherwise, you learn nothing
y no son capaces de responder a alguien cuando preguntan por Dios.;and aren't able to answer someone when they ask about God.
La madurez espiritual es saber cómo manejar todos estos detalles, pequeños;Spiritual maturity is about knowing how to handle all these details, small
y grandes, todas las situaciones, cómo nos comportamos con la gente, cómo nos comportamos como una iglesia.;and large, all situations, how we behave with people, how we behave as a church.
Todo esto es madurez espiritual. Es muy importante que valoremos;All of this is spiritual maturity. It's very important that we value
y esforzarse por madurar cada día.;and strive to mature every day.
