Hermana, sé que debemos saber esperar el tiempo de Dios, pero me gustaría que me enseñara.;Sister, I know we must know how to wait for God's time, but I would like you to teach me.
Y que nos enseñara, aparte de la lucha constante por agradar y ser firmes en los caminos de Dios.;And teach us, apart from the constant fight to please and be steadfast in God's ways.
¿Cómo podemos fortalecernos cuando vemos y sentimos que esas promesas se alejan?;How can we be strengthened when we see and feel that those promises become distant?
¿Le desagrado a Dios cuando estos pensamientos me dominan, sintiendo que podría perder esas promesas? Esta es mi pregunta, hermana.;Do I displease God when these thoughts take hold of me, feeling that I might lose those promises? This is my question, sister.
Las promesas de Dios. Estaba hablando de cómo el enemigo nos persigue con tantas dificultades, con la pobreza, con las enfermedades, con tantas cosas.;The promises of God. I was speaking about how the enemy pursues us with so many difficulties, with poverty, with illnesses, with so many things.
Cuando estamos viviendo y sufriendo todas estas tribulaciones, todas estas dificultades, o días malos.;When we are living and suffering all these tribulations, all these difficulties, or bad days.
Nos volvemos a nuestro Dios, nos volvemos a Dios para que nos hable, para que Dios me consuele.;We turn to our God, we turn to God to speak to us, so that God may comfort me.
Para que Dios me prometa algo.;So that God may promise me something.
Y Dios me hace promesas y dice: "Sigue adelante, no temas. No te he abandonado. Estoy contigo. Te ayudaré.";And God makes promises to me and says, "Press on, do not fear. I have not forsaken you. I am with you. I will help you."
Recibimos eso con mucha alegría, con mucha felicidad en nuestros corazones.;We receive that with much joy, with much happiness in our hearts.
Pero también necesitamos ser conscientes de que debemos ser constantes en el Señor, orar y creer que Dios puede ayudarnos.;But we also need to be aware that we must be consistent in the Lord, pray, and believe that God can help us.
Porque si dudamos, desconfiamos y cada día nos frustramos, gritamos, lloramos y nos desesperamos.;Because if we doubt, distrust, and every day we grow frustrated, shout, cry, and grow desperate.
Porque la tribulación es muy intensa, el momento de prueba o dificultad es muy intenso.;Because the tribulation is very intense, the moment of trial or difficulty is very intense.
Y estoy desconfiando de Dios, Dios no puede actuar en mí.;And I am distrusting God, God cannot act in me.
