Hoy, en el evangelio del Señor Jesucristo, también dice que el Señor puso en la iglesia,;Today, in the gospel of the Lord Jesus Christ, it also says that the Lord placed in the church,
puso a los apóstoles, a los profetas, y también a los pastores.;he placed the apostles, the prophets, and also the pastors.
Y hoy, el Señor exige que los pastores trabajen para Dios con todo su corazón;And today, the Lord demands that pastors work for God with all their heart
y pastorear sus ovejas. Verás, el pastoreo es muy difícil.;and shepherd his sheep. You see, shepherding is very difficult.
No es tan simple. Requiere mucha paciencia porque en la iglesia,;It's not that simple. It requires a lot of patience because in the church,
cada persona es un mundo diferente. Cada persona tiene un temperamento, una forma de pensar, una forma de actuar,;people each person is a different world. Each person has a temperament, a way of thinking, a way of acting,
un comportamiento diferente. Nos enfrentamos al problema de los espíritus malignos que vienen;a different behavior. We face the problem of evil spirits that come
y poseer gente. Tenemos este tema de brujería, brujería,;and possess people. We have this issue of witchcraft, sorcery,
y entonces estos espíritus vienen a habitar dentro de la gente. Entonces, una persona se vuelve irrazonable, obstinada, rebelde, orgullosa, desobediente, insubordinada.;and then these spirits come to inhabit within people. So, a person becomes unreasonable, stubborn, rebellious, proud, disobedient, insubordinate.
Otro es muy sensible, se molesta incluso si alguien no los mira, si alguien no los saluda,;Another is very sensitive, gets upset even if someone doesn't look at them, if someone doesn't greet them,
entonces ya están molestos, ya sensibles, ya tristes. Hay un montón de mundos diferentes en la congregación,;then they're already upset, already sensitive, already sad. So, there are a bunch of different worlds in the congregation,
personas diferentes, y el pastor debe tener discernimiento, sabiduría, inteligencia, paciencia, tolerancia, bondad, misericordia para cada uno,;different people, and the pastor must have discernment, wisdom, intelligence, patience, tolerance, kindness, mercy for each one,
según su comportamiento, según su forma de ser, según usted;according to their behavior, according to their way of being, according to you
y tus comportamientos o tu temperamento, tu forma de pensar.;and your behaviors or your temperament, your way of thinking.
El pastor debe convertirse en una persona sabia, inteligente con discernimiento para poder tratar con todos,;The pastor must become a wise, intelligent person with discernment to be able to deal with everyone,
para tratarlos sabiamente, consideradamente, pero también con doctrina, pero también enseñar a la gente a respetar a Dios, a valorar a Dios,;to treat them wisely, considerately, but also with doctrine, but also teach people to respect God, to value God,
cambiar, convertir, ser paciente, mirar. Porque no es sólo aquí en la congregación que tratamos con cada persona,;to change, to convert, to be patient, to look. Because it's not only here in the congregation that we deal with each person,
pero también en la familia. Cada persona tiene su familia, cada persona tiene su hogar,;but also in the family. Each person has their family, each person has their home,
y vienen cargados con todos los problemas que suceden en su casa,;and they come burdened with all the problems that happen in their home,
y el pastor tiene que enseñarles cómo comportarse en su casa, allí con su familia,;and the pastor has to teach them how to behave in their home, there with their family,
o con su pareja, o con sus hijos. ¿Cómo debería ser ese comportamiento para que no tengas problemas,;or with their partner, or with their children. How should that behavior be so that you don't have problems,
para evitar estos sufrimientos porque vienes aquí a la iglesia cargada de problemas para decirme todo eso.;so that you avoid these sufferings because you come here to the church burdened with problems to tell me all that.
Así que también tienes que comportarte de esta manera. Como puedes ver, el trabajo del pastor es duro,;So, you also have to behave in this way. As you can see, the pastor's job is a tough,
trabajo difícil. Este trabajo se puede hacer con la ayuda de Dios,;difficult job. This job can be done with God's help,
pero Dios ayuda al pastor cuando el pastor también da Dios el espacio que le pertenece.;but God helps the pastor when the pastor also gives God the space that belongs to him.
Significa que el pastor también tiene que ser una persona sin culpa.;Meaning, the pastor also has to be a blameless person.
Blameless significa que no hay falta para criticar a este pastor porque este pastor entonces tiene la cortesía,;Blameless means that there is no fault to criticize this pastor for because this pastor then has the politeness,
la paciencia, la dulzura, la misericordia, el afecto, el amor, la doctrina para enseñar,;the patience, the gentleness, the mercy, the affection, the love, the doctrine to teach,
para corregir cada uno como lo son. Así que la Biblia dice que nosotros como pastores tenemos que ser así,;to correct each one as they are. So, the Bible says that we as pastors have to be like that,
cumplir todos esos requisitos, teniendo esos requisitos como le dicen a Timothy;meeting all those requirements, having those requirements as they tell Timothy
y Tito allí sobre obispos, sobre diáconos, sobre pastores, los requisitos.;and Titus there about bishops, about deacons, about pastors, the requirements.
Todos tenemos que cumplir todo lo que sea capaz de pastorear la iglesia para que Dios esté complacido con esos pastores,;We all have to fulfill all that to be able to shepherd the church so that God is pleased with those pastors,
para que Dios esté satisfecho con todos nosotros. Así que ese es el trabajo.;so that God is pleased with all of us. So, that's the job.
Es un trabajo muy pesado, muy difícil. Por lo tanto, la congregación debe orar a Dios;It's a very heavy, very difficult job. Therefore, the congregation must pray to God
y pide a Dios por el pastor y dile a Dios: Señor, apoya al pastor, apóyelo, enséñale,;and ask God for the pastor and say to God, 'Lord, support the pastor, back him up, teach him,
