Mi pregunta está en el Libro de Lucas 17, verso 5.;My question is in the Book of Luke 17, verse 5.
¿Luke 17? Sí, sí, Lucas 17, ¿qué versículo? Verso cinco.;Luke 17? Yes, yes, Luke 17, which verse? Verse five.
Muy bien, sí. Lee: 'Y los apóstoles dijeron al Señor: 'Acrece nuestra fe.';Very well, yes. Read: 'And the apostles said to the Lord, 'Increase our faith.'
Así que el Señor dijo: "Si tienes fe como semilla de mostaza,;' So the Lord said, 'If you have faith as a mustard seed,
se puede decir a este pequeño árbol de bayas, 'Sé levantado por las raíces y ser plantado en el mar,';you can say to this small berry tree, 'Be pulled up by the roots and be planted in the sea,'
y te obedecería. Y, y, "Cualquiera de vosotros, teniendo un siervo que arde o cuide ovejas,;and it would obey you.' And, and, 'Which of you, having a servant plowing or tending sheep,
le dirá cuando venga del campo: 'Ven de inmediato y siéntate a comer'?;will say to him when he has come in from the field, 'Come at once and sit down to eat'?
Pero no le dirá más bien: "Prepara algo para mi cena,;' But will he not rather say to him, 'Prepare something for my supper,
y ceñirme, y servirme hasta que haya comido 'Y borracho,;and gird yourself, and serve me till I have eaten 'And drunk,
¿y después comerás y beberás? ¿Agradece a ese sirviente porque hizo las cosas que le mandaron?;and afterward you will eat and drink?' Does he thank that servant because he did the things that were commanded him?
Creo que no. Así también vosotros: cuando habéis hecho todas las cosas que os mandan, di:,;I think not. So likewise you: when you have done all those things which you are commanded, say,
Somos sirvientes sin ánimo de lucro, hemos hecho lo que era nuestro deber de hacer;'We are unprofitable servants, we have done what was our duty to do.'
Hermana querida, cada vez que leo estos versículos, llama mi atención que los apóstoles piden al Señor que aumente su fe,;Beloved sister, each time I read these verses, it draws my attention that the apostles ask the Lord to increase their faith,
y el Señor Jesucristo les enseña específicamente sobre esto en el versículo 6.;and the Lord Jesus Christ teaches them specifically about this in verse 6.
Sin embargo, en los versículos 7 a 10, la respuesta del Señor enfatiza más servicio que la fe.;However, in the verses 7 to 10, the response of the Lord emphasizes more service than faith.
Mi pregunta: porque el tema cambia allí, el tema cambia. El tema de aumentar nuestra fe es sólo versículos 5;My question: because the topic changes there, the topic changes. The topic about increasing our faith is only verses 5
6. Así que en siete es un tema diferente del que el Señor habla.;and 6. So in seven it's a different topic that the Lord is speaking of.
Como estas son compilaciones que estos evangelistas hicieron, para que compilasen todo lo que oyeron, personas, testigos,;Since these are compilations that these evangelists made, so they would compile everything that they heard, people, witnesses,
todo lo que habían visto y oído, y lo estaban escribiendo, por eso no sigue una secuencia.;everything that they had seen and heard, and they were writing it, that is why it doesn't follow a sequence.
