Buenas tardes, hermana María Luisa. Me gustaría hacerle una pregunta sobre Éxodo 32.;Good afternoon, Sister Maria Louisa. I'd like to ask you a question about Exodus 32.
Versículos 2 al 4 y versículo 21.;Verses 2 to 4 and verse 21.
Y Aarón les dijo: 'Quitad los zarcillos de oro que están en las orejas de vuestras mujeres, de vuestros hijos y de vuestras hijas, y traédmelos.'And;Aaron said to them, 'Break off the golden earrings which are in the ears of your wives, your sons, and your daughters, and bring them to me.'
Entonces todo el pueblo quitó los zarcillos de oro que tenían en sus orejas y los trajeron a Aarón.;So all the people broke off the golden earrings which were in their ears, and brought them to Aaron.
Y él los tomó de sus manos y lo formó con buril e hizo un becerro de fundición. Entonces dijeron: 'Este es tu dios, oh Israel, que te sacó de la tierra de;Egipto.'And he received the gold from their hand and he fashioned it with an engraving tool and made a calf. Then they said, 'This is your God, O Israel, that brought you out of the land of Egypt.'
Versículo 21: 'Y dijo Moisés a Aarón: ¿Qué te ha hecho este pueblo, que has traído sobre él tan gran pecado?'Verse 21, 'And;Moses said to Aaron, what did these people do to you that you have brought so great a sin upon them?'
Mi pregunta es: hermana, ¿cómo podemos evitar llevar a otros hermanos y hermanas al pecado?;My question is, 'Sister, how can we avoid leading other brothers and sisters to sin?'
Sí. Éxodo 32 del versículo 2 al 4 y versículo 21. Un becerro de fundición.;Yes. Exodus 32 from verse 2 to 4 and verse 21. A molded calf.
Un becerro de fundición, quizás para evitar llevar a alguien a cometer pecado. Es porque yo soy el primero en cometer el pecado.;A molded calf perhaps to avoid leading someone to commit sin. It's because I'm the one first committing the sin.
Sí, así es. Así que si yo soy el primero en cometer el pecado, entonces hago que la otra persona caiga.;Yes, that's right. So, if I'm the first one committing the sin, then I cause the other person to fall.
Si estoy enojado, entonces ofendo a la persona. Digo algo que le duele, se disgusta por eso, luego se enoja, así que también va a pecar.;If I am angry, then I offend the person. I say something that hurts them, they get upset about it, then they get angry, so they're going to sin, too.
Por lo tanto, necesito tener cuidado de no causar que otra persona peque o caiga simplemente por mi debilidad, mi falta de prudencia, mi falta de sabiduría, mi falta de convicción, mi falta de conversión a Dios.;Therefore, I need to be careful not to cause another person to sin or fall simply because of my weakness, my lack of prudence, my lack of wisdom, my lack of conviction, my lack of conversion to God.
Necesito ser una persona en mi posición que sea modesta, honesta, íntegra, recta en todo, para que otra persona no caiga por mi comportamiento.;I need to be a person in my position who is modest, honest, has integrity, upright in all things, so that another person doesn't fall because of my behavior.
Ya sea a través de hablar o de mirar, lo que sea, mis comportamientos, concretos o abstractos, no deben hacer que la persona perciba eso en mí para que no cometa un error o un pecado.;Whether it's through speaking or through looking, whatever it may be, my behaviors, concrete or abstract, should not cause the person to perceive that in me so that they may not make a mistake or commit a sin.
Así que necesitamos imponer respeto, ser sinceros, rectos, decir siempre la verdad, ser honestos en todos los sentidos para que los demás vean eso en nosotros.;So we need to command respect, be sincere, upright, always tell the truth, be honest in all senses so that others see that in us.
Por lo tanto, la persona tendrá respeto y no caerá en la trampa. Eso es lo que es llevar al pecado.;Therefore, the person will have respect and won't fall into the trap. That's what it is to lead into sin.
Es como cuando el diablo tienta a alguien que tiene una debilidad y el diablo pone la tentación allí para que caiga.;It's like when the devil tempts someone who has a weakness and the devil places the temptation there for them to fall.
Así que eso es todo. Debemos comportarnos como hijos de Dios, como hijos de Dios, para no ofender a nadie ni causar que otros destruyan su vida espiritual por mi culpa, mi mala acción, mi mala manera de hablar, mi manera de proceder.;So that's it. We must behave as children of God, as children of God, so as not to offend anyone or cause others to destroy their spiritual life because of my fault, my bad action, my bad way of speaking, my way of proceeding.
Eso es todo. Sí. Bien. Muy bien.;That's it. Yes. Good. All right.
Solo que la hermana nos leyó algo aquí sobre la idolatría del pueblo. Aquí mismo. Pues quizás con la pregunta que la hermana nos hizo, no encaja del todo con lo que leímos aquí.;It's just that the sister read us something here about the idolatry of the people. Right here. Well, perhaps with the question that the sister asked us, it doesn't quite go with what we read here.
Leímos que Moisés estaba en el monte Sinaí hablando con Dios, el pueblo de Israel estaba allí en algunos campamentos.;We read that Moses was up on Mount Sinai talking to God, the people of Israel were there in some camps.
Y como Moisés estuvo 40 días y 40 noches en el Sinaí hablando con Dios, el pueblo se desesperó y le dijo a Aarón, que era el hermano de Moisés, y Aarón iba a ser designado por Dios como sacerdote más adelante.;And since Moses was for 40 days and 40 nights on Sinai talking to God, the people became desperate and told Aaron, who was Moses' brother, and Aaron was going to be appointed by God as a priest later.
Así que el pueblo le dijo a Aarón: Moisés nos abandonó. Él nos sacó de Egipto. Ahora estamos aquí abandonados en este desierto y se fue allá arriba y no aparece.;So the people told Aaron, 'Moses abandoned us. He took us out of Egypt. Now we are here abandoned in this desert and he went up there and doesn't appear.'
Así que ahora estamos aquí sin Dios. Hagamos algo. Hagamos un dios para adorar porque nos sentimos solos. Eso fue lo que el pueblo le decía a Aarón.;So now we are here without God. Let's do something. Let's make a god to worship because we feel alone. That's what the people were telling Aaron.
Así que Aarón se dejó convencer por el pueblo y les dijo a todas las mujeres que le dieran sus joyas, ya que eran joyas de oro. Todo era oro.;So Aaron let himself be convinced by the people and told all the women to give him their jewelry as these were gold jewelry. It was all gold.
Así que denme todas las joyas que tienen y las fundieron y las convirtieron en un becerro de oro. Convirtieron las joyas en eso.;So give me all the jewelry you have and they melted them and turned them into a golden calf. They turned the jewelry into that.
Entonces Aarón dijo: 'Mira a tu Dios. Este es el Dios que te sacó de Egipto.' Por supuesto, el Señor se disgustó. Nuestro Dios se puso celoso.;So Aaron said, 'Look at your God. This is the God who brought you out of Egypt.' Of course, the Lord was upset. Our God was jealous.
¿Cómo pudo el pueblo hacer estas cosas? Así que Dios castigó al pueblo duramente. Castigó a Aarón.;How could the people do these things? So God punished the people harshly. He punished Aaron.
