Hermana, buenas noches. Que el Señor te bendiga. Gracias por venir a la iglesia en Poota,;Sister, good evening. May the Lord bless you. Thank you for coming to the church in Poota,
y para deleitarnos con tu presencia, hermana. Mi pregunta es de la Biblia en Proverbios 226, sí.;and for delighting us with your presence, sister. My question is from the Bible in Proverbs 226, yes.
Proverbios 226, sí, hermana, ¿puedo leerlo, hermana?;Proverbs 22 226, yes, sister, may I read it, sister?
Dice: "Sube a un niño en la forma en que debe ir,;It says, 'Train up a child in the way he should go,
y cuando sea viejo no se apartará de ella?;and when he is old he will not depart from it.'?
Mi pregunta se centra en el tema de la crianza. Este versículo nos dice que podemos entrenar a un niño desde una edad temprana en todos los asuntos de Dios.;My question is focused on the topic of upbringing. This verse tells us that we can train up a child from an early age in all matters of God.
Sin embargo, esto no garantiza que como adolescente el niño no tome un camino diferente;However, this does not guarantee that as a teenager the child will not take a different path
y se alejan del camino de Dios. He tenido la oportunidad de conocer a los niños que nacen en la iglesia;and stray from God's way. I have had the opportunity to know children who are born in the church
y crecer aprendiendo sobre Dios. Sin embargo, hay dos casos, aquellos que permanecen en el camino de Dios;and grow up learning about God. However, there are two instances, those who remain in God's path
y otros que se alejan de ella. Entonces, mi pregunta, hermana,;and others who stray from it. So, my question, sister,
es: ¿qué consejo puedes dar a aquellos que ya son padres o que se convertirán en padres,;is: what advice can you give to those who are already parents or who will become parents,
¿Para que Dios tenga misericordia de ellos, de sus hijos, y no les permita alejarse de su camino?;so that God may have mercy on them, on their children, and not allow them to stray from his path?
Porque al final creo que cada padre quiere que su hijo permanezca en el camino del Señor hasta la muerte.;Because in the end I believe that every parent wants their child to remain in the Lord's path until death.
Que Dios te bendiga. También he visto en la iglesia lo que la hermana dice que ha visto en la iglesia: niños que asisten y,;May God bless you. I have also seen in the church what the sister says she has seen in the church: children that attend and,
bueno, son felices, y memorizan los coros, oran, cantan a Dios,;well, they are happy, and they memorize the choruses, pray, sing to God,
y cuando son adolescentes se van. También he visto este fenómeno, pero he visto que los adolescentes se van,;and when they are teenagers they leave. I have also seen this phenomenon, but I have seen that teenagers leave,
y pasan algunos años fuera, y vuelven a la iglesia.;and they spend some years outside, and they return to the church.
Vuelven a la iglesia, eso es lo que he visto. De acuerdo, eso me da consuelo a los padres.;They return to the church, that's what I've seen. All right, that gives me comfort to the parents.
¿Qué podemos decir? Esto es inevitable. ¿Cómo puede un ser humano obligar a otro ser humano a creer, a sentir?;What can we say? This is inevitable. How can one human being force another human being to believe, to feel?
No se puede hacer. Sólo el buen testimonio, correcto, el buen testimonio;It can't be done. Only the good testimony, right, the good testimony
y el buen ejemplo de los padres, la educación, los valores, la crianza,;and the good example of the parents, the education, the values, the upbringing,
y los padres se preocupan en la casa. Como decía anoche en la otra iglesia,;and the parents care in the home. As I was saying last night in the other church,
que la lucha no debe comenzar: conflictos, perturbaciones, disputas en el hogar, en la familia, en ese núcleo familiar,;that the fight should not start: conflicts, disturbances, disputes in the home, in the family, in that family core,
palabras obscenas, insultos, falta de respeto del marido hacia la esposa, la esposa hacia él.;obscene words, insult, lack of respect from the husband towards the wife, the wife towards him.
No se respetan, no se valoran, no se dan el uno al otro su lugar,;They do not respect each other, they do not value each other, they do not give each other their place,
no se dan una oportunidad, no trabajan como un equipo en el hogar.;they do not give each other a chance, they do not work as a team in the home.
Entonces vienen las mentiras, el pecado viene, tantas cosas vienen,;Then come the lies, sin comes, so many things come,
y los niños están viendo todo eso, así que pone un mal ejemplo, es un mal testimonio.;and the children are seeing all of that, so it sets a bad example, it's a bad testimony.
Pero si hay una familia, un matrimonio donde el padre y la madre buscan a Dios con todo su corazón;But if there is a family, a marriage where the father and mother seek God with all their their heart
y con fidelidad y con todo respeto con los valores haciendo la voluntad de Dios buscando a Dios, esos niños ven ese ejemplo;and with faithfulness and with all respect with values doing God's will seeking God, those children see that example
y eso es lo que permanecerá grabado en su corazón;and that is what will stay engraved in their heart
y en sus pensamientos. Eso permanecerá grabado en su ser.;and in their thoughts. That will stay engraved in their being.
Entonces ellos, como dice la Biblia, entrenan a un niño en la forma en que debe ir;Then they, as the Bible says, train up a child in the way he should go
y cuando sea viejo no se apartará de ella.;and when he's old he will not depart from it.
Si la Biblia lo dice, así será. Y así, aunque veamos que se retiraron;If the Bible says it, so it will be. And so, even though we see that they withdrew
y izquierda, la Biblia se cumple y el Señor un día los traerá;and left, the Bible is fulfilled and the Lord one day will bring them
y volverán a buscar a Dios. Eso es.;and they will return again to seek God. That's it.
Pero el buen testimonio, el buen ejemplo y buscando a Dios con todo tu corazón.;But the good testimony, the the good example and seeking God with all your heart.
Porque hay familias que no buscan a Dios, hay tanto conflicto,;Because there are families there are people who do not seek God, there is so much conflict,
ya no se aman los unos a los otros ya no se quieren, el amor ha terminado, el afecto ha terminado.;they no longer love each other they no longer want each other, love is over, affection is over.
Entonces vienen las infidelidades, los niños se dan cuenta de que sufren, y entonces, bueno, eso no es bueno.;Then come the infidelities, the children realize they suffer, and then, well, that is not good.
Así que cuando sabemos el camino de Dios valoramos;So when we know the way of God we value
y respetar la palabra de Dios y cada uno de nosotros vive una vida justa;and respect the word of God and each one of us lives a righteous life both he
y ella. Así que eso ayuda mucho cuando así todos nuestros descendientes seguirán Ese ejemplo,;and she. So that helps a lot when so that all our descendants Will Follow That example,
y eso es lo que queremos hacer: dar un buen ejemplo para que la gente siga, los niños sigan,;and that's what we want to do: set a good example so that people follow, the children follow,
los adolescentes siguen, y cuando, incluso cuando es viejo, como dice aquí, así será.;the teenagers follow, and when, even when he is old, as it says here, so it will be.
No se apartarán del camino de nuestro Dios.;They will not depart from the way of our God.
