Y estoy maravillado también, de la manera que Dios ha permitido que en este tiempo que estamos viviendo.;And I am marveled as well, in the way that God has allowed that in this time that we are living.
El Señor ha permitido que la tecnología avance, y que ahora las Naciones Y toda la gente que vive en cualquier parte del mundo puede tener la oportunidad de escuchar la palabra de Dios.;The Lord has allowed for technology to advance, and that now Nations And all the people who live in any part of the world may have the opportunity to listen to the word of God.
tener la oportunidad también de cantar al Señor.;to have the opportunity as well to sing to the Lord.
Eso es algo maravilloso, algo que nunca hemos tenido en mente.;That is something wonderful, something that we've never had in mind.
Nunca pensamos, ni podríamos imaginar que las cosas pasarían así,;We never thought, nor could we ever imagine that things would happen this way,
y ahora mucha gente es evangelizada a través de las redes sociales, a través de internet.;and so now many people is evangelized through social media, through the internet.
Muchas personas están recibiendo la Palabra de Dios, y vamos a ver el cumplimiento de la orden que el Señor Jesucristo dio a sus Apóstoles cuando él dijo.;Many people are receiving the Word of God, and we are going to see the fulfillment of the order that the Lord Jesus Christ gave to his Apostles when he said.
'Ve al mundo y predica.' Pero el Señor no quería decirle a los discípulos lo que iba a suceder durante este tiempo.;'Go into the world and preach.' But the Lord did not want to tell the disciples what was going to happen during this time.
porque entonces habrían dicho: "El Señor está hablando cosas locas";because then they would have said, 'The Lord is speaking crazy things.'
Pero hoy, verdaderamente el mundo será evangelizado de esta manera, a través de las redes sociales, a través de Internet.;But today, truly the world will be evangelized in this way, through social media, through the internet.
El mundo será evangelizado, y nadie tendrá esa justificación ante Dios diciendo:,;The world will be evangelized, and no one will have that justification a before God saying,
Nadie me predicó, nadie me habló de Dios, nadie me enseñó,;'No one preached to me, no one spoke to me about God, no one taught me,
Porque la palabra de Dios está allí. Su manifestación está en todos los testimonios,;' because the word of God is there. His manifestation is in all the testimonies,
y todo lo que podemos hacer es humanamente posible, Dios lo prosperará,;and everything that we can do that is humanly possible, God will be prospering it,
y Dios apoyará todo. Por lo tanto, la obra que tenemos en el presente, en el futuro,;and God will be supporting everything. Therefore the work that we have in the present, in the future,
y las futuras Generaciones tienen mucho trabajo para seguir evangelizando el mundo,;and the future Generations have a lot of work to continue to evangelize the world,
Hablando con el mundo que Dios existe, porque es muy triste que haya muchos lugares donde la palabra Dios no se les menciona.;Talking to the world that God exists, because it's very sad that there are many places where the word God is not mentioned to them.
No conocen a Dios, nunca han oído hablar de Dios. Pero lo hermoso es que cuando el Espíritu Santo ha hablado con estas personas que nunca fueron enseñadas que Dios existe.;They don't know God, they've never heard of God. But the beautiful thing is that when the Holy Spirit has spoken to these people who was never taught that God exists.
