Voy a leer en 1 Reyes capítulo 4 versículo 29.;I am going to read in 1st Kings chapter 4 verse 29.
1 Reyes 4:29. Y Dios dio a Salomón sabiduría y una comprensión excesivamente grande y amplitud de corazón como la arena de la orilla del mar.;1 Kings 4:29. And God gave Solomon wisdom and exceedingly great understanding and largeness of heart like the sand on the seashore.
Hermana María Luisa, en este versículo vemos que se mencionan tres virtudes que nuestro Dios le dio a Salomón.;Sister Maria Luisa, in this verse we see that three virtues are mentioned that our God gave to Solomon.
Sabiduría, prudencia y amplitud de corazón.;Wisdom, prudence, and largeness of heart.
En varias ocasiones, hermana, usted nos ha explicado la sabiduría que Dios le dio al rey Salomón.;On several occasions, sister, you have explained to us the wisdom that God gave to King Solomon.
Podemos entender qué es la prudencia, pero me gustaría que nos explicara esta otra virtud, la amplitud de corazón.;We can understand, sister, what prudence is, but I would like if you could explain to us this other virtue, largeness of heart.
Hermana, ¿cómo se manifestó en el rey Salomón? Muchas gracias, hermana, y que Dios la bendiga grandemente.;Sister, how did it manifest in King Solomon? Thank you very much, sister, and may God bless you greatly.
Gracias. Creo que cuando la Biblia habla de que a Salomón se le dio sabiduría, una comprensión excesivamente grande y amplitud de corazón.;Thank you. I believe that when the Bible speaks of Solomon being given wisdom, exceedingly great understanding, and a largeness of heart.
Esa amplitud de corazón se refiere a un gran corazón, capaz de abrazar a su pueblo y todos los asuntos que observaba entre ellos.;That largeness of heart refers to a great heart, capable of embracing his people and all the matters he observed among them.
Verdaderamente tenía un corazón bueno, noble, recto, amable, generoso y abierto, ¿verdad?;He truly had a good, noble, righteous, kind, generous, and open heart, right?
Hay personas que no son generosas, que no dan, que no ayudan y que no muestran misericordia.;There are people who aren't generous, who don't give, who don't help, and who show no mercy.
Ven a otros sufrir y ni siquiera les tienden una mano. ¿Por qué? Porque sus corazones están cerrados y son pequeños.;They see others suffering and don't even offer them a helping hand. Why? Because their hearts are closed and small.
Dios le dio a Salomón esta amplitud de corazón para ser justo y actuar con justicia, ya que también tenía que servir como juez.;God gave Solomon this largeness of heart to be fair and act with justice, since he also had to serve as a judge.
Así que eso es lo que significaba la amplitud de corazón. Un corazón que no era codicioso.;So, that's what largeness of heart meant. A heart that was not greedy.
Sino uno que veía las necesidades del pueblo con misericordia, compasión y generosidad.;But one that saw the needs of the people with mercy, compassion, and generosity.
Tenemos, por ejemplo, el caso cuando dos mujeres se presentaron ante él, cada una reclamando: "El niño es mío." "No, es mío.";We have, for example, the instance when two women came to him, each claiming "The child is mine." "No, he's mine."
Salomón sintió el dolor de la verdadera madre porque su corazón era así. Sintió el dolor de la verdadera madre.;Solomon felt the pain of the true mother because his heart was like that. He felt the pain of the true mother.
Y Dios le dio la sabiduría en ese momento para juzgar y decir: "No, el niño debe ser dividido a la mitad.";And God gave him the wisdom at that moment to judge and say, "No, the child must be divided in half."
"Para que cada una pueda tener una mitad.";So that each one can have a half.
Así que Dios le mostró y le dijo: "La verdadera madre dirá que no. Dáselo a la otra mujer, pero que viva porque ella es la verdadera.";So, God showed him and said to him, "The true mother will say no. Give him to the other woman, but let him live because she is the true one."
Así era su corazón, para hacer las cosas bien para que la gente fuera feliz.;So, that was his heart to do things right so that people would be happy.
Por eso muchos lo visitaban y escuchaban su sabiduría.;That's why many visited him and listened to his wisdom.
Leemos Proverbios, Eclesiastés, el Cantar de los Cantares. Todos estos fueron escritos por Salomón porque Dios estaba con él.;We read Proverbs, Ecclesiastes, the Song of Solomon. All of these were written by Solomon because God was with him.
